,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,2012886.xml,14,14,Ø,13.59,1.94,86.4,12.13,1.94,2.63,97.36,707,5,7,2,719,714
1,2012995.xml,6,5,6,2.41,0.42,97.58,2.41,0.42,0.84,99.15,1403,6,0,0,1409,1409
2,2012907.xml,57,21,Ø,12.28,5.05,87.71,10.52,5.03,8.02,91.97,1076,35,17,5,1128,1116
3,2012947.xml,9,14,Ø,6.11,0.6,93.88,5.02,0.6,0.87,99.12,1482,4,4,1,1490,1487
4,2012919.xml,92,53,Ø,28.64,7.33,71.35,21.08,7.04,8.96,91.03,1214,25,16,51,1255,1290
5,2012896.xml,16,8,Ø,5.0,1.42,95.0,4.06,1.42,2.3,97.69,1110,10,5,1,1125,1121
6,2012935.xml,17,10,Ø,4.65,1.22,95.34,3.95,1.22,2.07,97.92,1374,12,1,4,1387,1390
7,2012966.xml,4,4,Ø,1.68,0.26,98.31,1.68,0.26,0.39,99.6,1499,2,2,0,1503,1501
8,2012972.xml,29,23,Ø,9.46,1.86,90.53,7.61,1.86,3.0,96.99,1528,18,8,3,1554,1549
9,2012900.xml,2,2,Ø,1.16,0.17,98.83,1.16,0.17,0.26,99.73,1121,1,0,1,1122,1123
10,2012998.xml,3,4,Ø,1.71,0.19,98.28,1.5,0.19,0.32,99.67,1541,2,0,1,1543,1544
11,2012899.xml,1,1,Ø,0.57,0.08,99.42,0.57,0.08,0.08,99.91,1120,0,1,0,1121,1120
12,2012958.xml,12,14,Ø,5.73,0.77,94.26,4.71,0.77,1.22,98.77,1535,7,2,3,1544,1545
13,2012970.xml,14,12,Ø,5.26,0.96,94.73,3.94,0.96,1.3,98.69,1442,5,2,7,1449,1454
14,2012928.xml,12,11,Ø,5.09,0.87,94.9,4.39,0.87,1.38,98.61,1353,7,4,1,1364,1361
15,2012976.xml,13,11,Ø,4.95,0.93,95.04,4.05,0.93,1.43,98.56,1375,7,2,4,1384,1386
16,2012888.xml,22,6,Ø,3.38,1.97,96.61,3.1,1.97,3.47,96.52,1092,17,5,0,1114,1109
17,2012936.xml,16,14,Ø,5.88,1.06,94.11,5.04,1.06,1.72,98.27,1491,10,2,4,1503,1505
18,2012902.xml,12,12,Ø,6.55,1.04,93.44,6.28,1.04,1.47,98.52,1137,5,5,2,1147,1144
19,2012988.xml,17,18,Ø,8.14,1.2,91.85,6.78,1.19,1.69,98.3,1400,7,3,7,1410,1414
20,2012904.xml,4,4,Ø,2.35,0.35,97.64,2.35,0.35,0.53,99.46,1123,2,2,0,1127,1125
21,2012979.xml,15,15,Ø,6.52,1.03,93.47,5.21,1.03,1.3,98.69,1437,4,2,9,1443,1450
22,312_bc383_default.xml,54,24,Ø,11.94,4.0,88.05,10.69,3.97,6.35,93.64,1303,33,13,8,1349,1344
23,2012922.xml,53,18,Ø,8.41,3.58,91.58,7.47,3.57,6.58,93.41,1428,46,3,4,1477,1478
24,2012898.xml,18,11,Ø,6.54,1.59,93.45,5.65,1.59,2.56,97.43,1109,11,6,1,1126,1121
25,2012940.xml,21,13,407,5.41,1.36,94.58,5.0,1.36,2.32,97.67,1519,15,3,3,1537,1537
26,2012963.xml,15,8,Ø,3.84,1.17,96.15,3.36,1.17,1.95,98.04,1259,10,5,0,1274,1269
27,283_3e2b0_default.xml,30,13,Ø,5.75,2.24,94.24,5.08,2.24,3.93,96.06,1306,23,6,1,1335,1330
28,2012980.xml,14,11,Ø,4.74,0.91,95.25,3.87,0.91,1.49,98.5,1520,9,2,3,1531,1532
29,2012932.xml,17,14,Ø,6.79,1.34,93.2,6.06,1.34,2.13,97.86,1243,10,7,0,1260,1253
30,2012994.xml,15,17,Ø,8.17,1.08,91.82,6.49,1.08,1.51,98.48,1369,6,2,7,1377,1382
31,2012924.xml,13,14,Ø,6.42,0.91,93.57,5.73,0.91,1.54,98.45,1406,9,3,1,1418,1416
32,2012914.xml,19,14,Ø,7.17,1.49,92.82,5.64,1.49,2.27,97.72,1254,10,4,5,1268,1269
33,2012897.xml,4,3,331,1.85,0.35,98.14,1.85,0.35,0.53,99.46,1122,2,1,1,1125,1125
34,2012971.xml,19,15,416,7.69,1.47,92.3,6.41,1.47,2.31,97.68,1273,11,4,4,1288,1288
35,2012959.xml,16,16,Ø,7.65,1.22,92.34,6.45,1.22,1.9,98.09,1291,9,1,6,1301,1306
36,2012992.xml,22,17,Ø,7.98,1.51,92.01,7.04,1.51,2.47,97.52,1429,14,5,3,1448,1446
37,2012996.xml,11,14,Ø,6.11,0.76,93.88,5.02,0.76,0.96,99.03,1435,3,3,5,1441,1443
38,2012955.xml,47,19,Ø,8.05,3.26,91.94,7.41,3.24,5.4,94.59,1401,32,7,8,1440,1441
39,2012961.xml,6,3,Ø,1.43,0.41,98.56,1.43,0.41,0.68,99.31,1454,4,2,0,1460,1458
40,2012989.xml,16,22,Ø,10.83,1.13,89.16,8.62,1.12,1.33,98.66,1404,3,5,8,1412,1415
41,2012931.xml,14,9,1023,3.68,0.93,96.31,3.48,0.93,1.73,98.26,1483,12,1,1,1496,1496
42,2012901.xml,20,12,Ø,7.05,1.74,92.94,6.47,1.74,2.52,97.47,1125,9,9,2,1143,1136
43,2012950.xml,8,8,Ø,4.59,0.7,95.4,4.02,0.7,1.14,98.85,1127,5,2,1,1134,1133
44,2012930.xml,7,9,481,4.47,0.51,95.52,3.48,0.51,0.73,99.26,1359,3,2,2,1364,1364
45,2012892.xml,6,7,Ø,4.02,0.53,95.97,3.73,0.53,0.62,99.37,1120,1,4,1,1125,1122
46,488_6c491_default.xml,33,8,Ø,3.38,2.2,96.61,2.96,2.2,3.84,96.15,1465,25,7,1,1497,1491
47,2013003.xml,6,10,Ø,5.46,0.51,94.53,4.37,0.5,0.67,99.32,1172,2,1,3,1175,1177
48,2012915.xml,6,7,Ø,3.13,0.41,96.86,2.46,0.41,0.55,99.44,1441,2,1,3,1444,1446
49,2012906.xml,4,6,Ø,3.77,0.36,96.22,3.14,0.36,0.45,99.54,1103,1,1,2,1105,1106
50,2012964.xml,18,16,Ø,6.63,1.22,93.36,5.6,1.21,1.82,98.17,1463,9,2,7,1474,1479
51,486_8a0e8_default.xml,21,15,Ø,7.69,1.56,92.3,6.66,1.56,2.67,97.32,1321,15,2,4,1338,1340
52,2012891.xml,6,10,Ø,5.74,0.52,94.25,4.59,0.52,0.6,99.39,1142,1,4,1,1147,1144
