,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,2012886.xml,18,20,596,18.34,2.42,81.65,17.43,2.41,4.0,95.99,727,12,3,3,742,742
1,2012995.xml,14,10,Ø,4.54,0.95,95.45,4.54,0.95,1.49,98.5,1456,8,5,1,1469,1465
2,2012907.xml,83,28,Ø,15.9,7.19,84.09,14.2,7.16,12.98,87.01,1076,72,5,6,1153,1154
3,2012947.xml,11,16,Ø,6.69,0.7,93.3,5.64,0.7,1.02,98.97,1546,5,5,1,1556,1552
4,2012919.xml,139,72,Ø,33.8,10.91,66.19,31.45,10.44,15.05,84.94,1192,64,18,57,1274,1313
5,2012896.xml,23,13,Ø,7.47,1.97,92.52,6.32,1.97,3.41,96.58,1142,17,4,2,1163,1161
6,2012935.xml,28,16,Ø,7.07,1.94,92.92,6.41,1.94,3.37,96.62,1413,21,5,2,1439,1436
7,2012966.xml,10,10,Ø,4.08,0.64,95.91,4.08,0.64,0.89,99.1,1552,4,6,0,1562,1556
8,2012972.xml,46,27,Ø,10.67,2.81,89.32,8.89,2.81,4.49,95.5,1589,28,16,2,1633,1619
9,2012900.xml,10,9,371,4.97,0.85,95.02,4.97,0.85,1.53,98.46,1161,8,1,1,1170,1170
10,2012998.xml,6,7,Ø,2.82,0.37,97.17,2.62,0.37,0.56,99.43,1600,3,2,1,1605,1604
11,2012899.xml,3,3,Ø,1.59,0.25,98.4,1.59,0.25,0.33,99.66,1176,1,2,0,1179,1177
12,2012958.xml,17,17,Ø,6.8,1.05,93.19,5.8,1.05,1.54,98.45,1600,8,7,2,1615,1610
13,2012970.xml,24,19,Ø,7.85,1.57,92.14,6.4,1.56,2.34,97.65,1510,12,5,7,1527,1529
14,2012928.xml,22,19,Ø,8.44,1.56,91.55,7.55,1.55,2.47,97.52,1389,13,6,3,1408,1405
15,2012976.xml,24,16,Ø,6.83,1.64,93.16,5.98,1.64,2.46,97.53,1436,12,9,3,1457,1451
16,2012888.xml,46,15,Ø,8.15,3.88,91.84,7.88,3.87,6.81,93.18,1142,36,6,4,1184,1182
17,2012936.xml,28,19,Ø,7.63,1.76,92.36,6.82,1.76,2.76,97.23,1560,16,9,3,1585,1579
18,2012902.xml,27,26,Ø,13.82,2.25,86.17,13.56,2.25,3.74,96.25,1169,18,8,1,1195,1188
19,2012988.xml,24,20,Ø,8.62,1.62,91.37,7.32,1.62,2.62,97.37,1457,15,4,5,1476,1477
20,2012904.xml,9,9,Ø,5.0,0.76,95.0,5.0,0.76,1.26,98.73,1174,6,3,0,1183,1180
21,2012979.xml,23,22,1223,9.09,1.51,90.9,8.05,1.5,2.09,97.9,1505,9,7,7,1521,1521
22,312_bc383_default.xml,87,32,Ø,14.95,6.19,85.04,13.78,6.14,10.85,89.14,1328,70,7,10,1405,1408
23,2012922.xml,81,21,Ø,9.41,5.35,90.58,8.52,5.32,10.01,89.98,1439,75,0,6,1514,1520
24,2012898.xml,27,16,Ø,9.14,2.32,90.85,8.57,2.32,3.92,96.07,1136,19,7,1,1162,1156
25,2012940.xml,30,15,Ø,5.88,1.84,94.11,5.49,1.84,3.17,96.82,1597,22,5,3,1624,1622
26,2012963.xml,28,12,Ø,5.55,2.12,94.44,5.09,2.11,3.53,96.46,1293,19,8,1,1320,1313
27,283_3e2b0_default.xml,46,16,Ø,6.83,3.29,93.16,5.98,3.29,5.86,94.13,1352,37,5,4,1394,1393
28,2012980.xml,29,14,Ø,5.66,1.82,94.33,4.85,1.82,3.13,96.86,1558,21,7,1,1586,1580
29,2012932.xml,21,15,Ø,6.84,1.58,93.15,6.16,1.58,2.78,97.21,1301,16,4,1,1321,1318
30,2012994.xml,22,22,Ø,10.0,1.51,90.0,8.4,1.5,2.12,97.87,1435,9,7,6,1451,1450
31,2012924.xml,18,18,Ø,7.69,1.22,92.3,6.83,1.22,1.89,98.1,1454,10,7,1,1471,1465
32,2012914.xml,29,22,Ø,10.67,2.18,89.32,9.46,2.17,3.5,96.49,1304,18,7,4,1329,1326
33,2012897.xml,11,11,Ø,6.5,0.95,93.49,6.21,0.94,1.29,98.7,1148,4,5,2,1157,1154
34,2012971.xml,27,19,Ø,9.35,1.99,90.64,8.12,1.98,3.29,96.7,1333,18,5,4,1356,1355
35,2012959.xml,20,17,Ø,7.79,1.46,92.2,6.65,1.45,2.39,97.6,1351,13,2,5,1366,1369
36,2012992.xml,28,20,Ø,9.17,1.85,90.82,8.25,1.85,3.03,96.96,1482,18,8,2,1508,1502
37,2012996.xml,13,17,Ø,7.14,0.86,92.85,5.88,0.86,1.26,98.73,1485,6,4,3,1495,1494
38,2012955.xml,72,25,Ø,10.04,4.76,89.95,9.23,4.73,8.29,91.7,1447,56,7,9,1510,1512
39,2012961.xml,16,14,Ø,6.25,1.04,93.75,6.25,1.04,1.5,98.49,1513,7,9,0,1529,1520
40,2012989.xml,20,25,Ø,11.21,1.34,88.78,9.19,1.33,1.8,98.19,1473,7,6,7,1486,1487
41,2012931.xml,34,19,Ø,7.39,2.17,92.6,7.0,2.17,3.55,96.44,1532,22,11,1,1565,1555
42,2012901.xml,31,16,Ø,8.93,2.61,91.06,8.37,2.6,4.01,95.98,1158,17,12,2,1187,1177
43,2012950.xml,10,12,Ø,6.55,0.85,93.44,5.73,0.85,1.27,98.72,1165,5,4,1,1174,1171
44,2012930.xml,15,16,Ø,7.4,1.04,92.59,6.48,1.04,1.38,98.61,1426,5,7,3,1438,1434
45,2012892.xml,11,11,Ø,6.11,0.94,93.88,5.83,0.93,1.28,98.71,1160,4,5,2,1169,1166
46,488_6c491_default.xml,58,16,Ø,6.34,3.72,93.65,5.75,3.71,6.51,93.48,1504,45,6,7,1555,1556
47,2013003.xml,10,13,Ø,6.73,0.8,93.26,5.69,0.8,0.96,99.03,1233,2,5,3,1240,1238
48,2012915.xml,13,15,1269,6.38,0.85,93.61,5.53,0.85,1.31,98.68,1506,7,3,3,1516,1516
49,2012906.xml,10,11,Ø,6.5,0.86,93.49,5.91,0.86,1.21,98.78,1144,4,4,2,1152,1150
50,2012964.xml,25,24,Ø,9.48,1.58,90.51,8.3,1.57,2.2,97.79,1558,10,9,6,1577,1574
51,486_8a0e8_default.xml,36,21,Ø,10.44,2.59,89.55,9.45,2.58,4.55,95.44,1358,28,3,5,1389,1391
52,2012891.xml,10,14,Ø,7.77,0.84,92.22,6.66,0.84,1.17,98.82,1178,4,5,1,1187,1183
53,2012941.xml,9,9,Ø,3.98,0.62,96.01,3.76,0.62,1.03,98.96,1438,6,1,2,1445,1446
54,2012977.xml,36,29,Ø,12.55,2.54,87.44,11.25,2.54,4.27,95.72,1380,25,7,4,1412,1409
55,2012945.xml,15,13,Ø,5.6,1.04,94.39,5.6,1.04,1.8,98.19,1422,11,4,0,1437,1433
56,2012890.xml,7,8,157,4.9,0.6,95.09,4.6,0.6,1.03,98.96,1156,5,1,1,1162,1162
57,2012918.xml,33,13,Ø,9.09,3.48,90.9,7.69,3.47,6.33,93.66,917,28,1,4,946,949
58,2012943.xml,31,17,Ø,7.02,2.01,92.97,6.19,2.01,3.42,96.57,1509,22,5,4,1536,1535
59,2012908.xml,12,12,Ø,16.66,2.41,83.33,15.97,2.39,3.78,96.21,488,7,2,3,497,498
60,2012951.xml,19,13,Ø,5.57,1.21,94.42,5.57,1.21,1.72,98.27,1542,8,8,3,1558,1553
61,2012969.xml,12,13,Ø,5.6,0.83,94.39,4.52,0.82,1.24,98.75,1435,6,4,2,1445,1443
62,2012983.xml,49,24,Ø,10.08,3.1,89.91,9.24,3.08,5.3,94.69,1537,36,7,6,1580,1579
63,2012903.xml,24,27,Ø,15.16,2.04,84.83,13.76,2.04,2.97,97.02,1151,11,11,2,1173,1164
64,2012893.xml,15,16,Ø,8.98,1.25,91.01,8.42,1.25,2.08,97.91,1181,10,5,0,1196,1191
65,2012967.xml,47,21,Ø,9.17,3.17,90.82,8.73,3.17,5.47,94.52,1435,35,12,0,1482,1470
66,2012939.xml,30,13,Ø,7.06,2.52,92.93,6.79,2.52,4.5,95.49,1158,24,4,2,1186,1184
67,2012982.xml,12,13,Ø,5.37,0.74,94.62,4.95,0.74,0.99,99.0,1597,4,7,1,1608,1602
68,2012997.xml,15,17,Ø,7.23,0.95,92.76,6.59,0.95,1.33,98.66,1555,6,7,2,1568,1563
69,2012925.xml,32,18,Ø,7.92,2.14,92.07,7.48,2.14,3.46,96.53,1462,20,9,3,1491,1485
70,495_2893e_default.xml,25,15,338,6.66,1.73,93.33,6.44,1.73,3.17,96.82,1415,21,2,2,1438,1438
71,2012978.xml,51,36,Ø,14.87,3.26,85.12,13.01,3.25,5.25,94.74,1518,32,12,7,1562,1557
72,2012933.xml,7,7,Ø,2.75,0.43,97.24,2.55,0.43,0.43,99.56,1602,0,6,1,1608,1603
73,2012986.xml,20,23,Ø,9.42,1.27,90.57,7.78,1.27,1.59,98.4,1551,5,8,7,1564,1563
74,6_32167_default.xml,39,18,Ø,10.28,3.42,89.71,9.42,3.41,6.13,93.86,1104,32,2,5,1138,1141
75,2013001.xml,8,4,Ø,1.75,0.55,98.24,1.75,0.55,0.96,99.03,1437,6,0,2,1443,1445
76,2012921.xml,82,23,Ø,10.64,5.7,89.35,9.49,5.66,10.19,89.8,1366,69,2,11,1437,1446
77,2012895.xml,59,11,Ø,6.25,5.1,93.75,5.68,5.09,9.61,90.38,1100,55,1,3,1156,1158
78,319_9ddef_default.xml,4,5,1043,2.23,0.25,97.76,2.0,0.25,0.38,99.61,1548,2,1,1,1551,1551
79,2012942.xml,39,19,Ø,7.59,2.47,92.4,6.8,2.46,4.21,95.78,1540,28,9,2,1577,1570
80,2012981.xml,16,19,Ø,8.11,1.02,91.88,7.05,1.02,1.15,98.84,1549,2,10,4,1561,1555
81,2012968.xml,30,18,Ø,8.25,2.08,91.74,7.33,2.08,3.51,96.48,1412,21,7,2,1440,1435
82,2012956.xml,27,21,Ø,8.53,1.73,91.46,7.92,1.73,2.75,97.24,1530,16,8,3,1554,1549
83,2012923.xml,16,12,Ø,4.76,1.0,95.23,4.36,1.0,1.69,98.3,1570,11,5,0,1586,1581
84,2012913.xml,12,12,742,9.37,1.49,90.62,8.59,1.48,2.22,97.77,794,6,3,3,803,803
85,2012929.xml,14,14,Ø,7.32,1.13,92.67,6.02,1.13,1.7,98.29,1217,7,5,2,1229,1226
86,2012885.xml,22,15,Ø,19.23,4.36,80.76,17.94,4.34,7.22,92.77,484,15,5,2,504,501
87,2012887.xml,17,12,Ø,9.3,2.0,90.69,8.52,2.0,3.17,96.82,831,10,6,1,847,842
88,2012953.xml,11,11,Ø,4.52,0.71,95.47,4.52,0.71,1.17,98.82,1519,7,3,1,1529,1527
89,2012920.xml,35,26,Ø,11.15,2.37,88.84,9.87,2.36,3.7,96.29,1444,20,9,6,1473,1470
90,2012984.xml,22,30,Ø,12.65,1.38,87.34,10.12,1.37,1.92,98.07,1582,9,1,12,1592,1603
91,2012960.xml,29,26,Ø,11.15,1.87,88.84,10.72,1.87,3.08,96.91,1519,19,6,4,1544,1542
93,2012944.xml,19,11,Ø,4.6,1.25,95.39,4.6,1.25,1.97,98.02,1499,11,8,0,1518,1510
94,2012934.xml,11,12,Ø,5.45,0.76,94.54,5.22,0.76,1.25,98.74,1423,7,3,1,1433,1431
95,2012962.xml,20,10,930,4.23,1.29,95.76,3.6,1.29,2.19,97.8,1524,14,3,3,1541,1541
96,32_e329e_default.xml,25,18,Ø,7.65,1.65,92.34,7.23,1.64,2.55,97.44,1495,14,4,7,1513,1516
97,2013000.xml,5,5,Ø,2.18,0.34,97.81,1.96,0.34,0.48,99.51,1436,2,2,1,1440,1439
98,2012946.xml,17,11,Ø,4.52,1.08,95.47,3.9,1.08,1.72,98.27,1548,10,5,2,1563,1560
100,2012973.xml,57,21,Ø,8.64,3.59,91.35,7.4,3.58,6.38,93.61,1535,46,5,6,1586,1587
101,2012927.xml,8,11,Ø,4.68,0.55,95.31,4.04,0.55,0.69,99.3,1428,2,4,2,1434,1432
102,2012965.xml,30,13,Ø,5.34,1.9,94.65,5.14,1.9,3.22,96.77,1544,21,9,0,1574,1565
103,2012974.xml,72,20,Ø,7.87,4.37,92.12,7.28,4.36,7.92,92.07,1577,61,8,3,1646,1641
104,4_6c6d2_default.xml,10,8,Ø,6.25,1.18,93.75,6.25,1.18,1.88,98.11,837,6,3,1,846,844
105,5_a1010_default.xml,51,17,Ø,9.23,4.32,90.76,8.96,4.3,7.72,92.27,1133,42,3,6,1178,1181
106,2012938.xml,38,14,Ø,5.51,2.41,94.48,5.11,2.41,4.04,95.95,1534,26,11,1,1571,1561
107,2012985.xml,50,20,922,8.65,3.21,91.34,7.57,3.2,5.57,94.42,1511,38,6,6,1555,1555
108,2012954.xml,66,21,670,8.53,4.16,91.46,7.92,4.15,7.31,92.68,1524,52,7,7,1583,1583
109,2012999.xml,25,18,Ø,7.69,1.71,92.3,6.41,1.71,2.52,97.47,1436,12,9,4,1457,1452
110,2012926.xml,15,11,Ø,4.88,0.97,95.11,4.44,0.97,1.55,98.44,1529,9,5,1,1543,1539
111,2012917.xml,28,26,Ø,12.03,2.03,87.96,9.95,2.02,2.81,97.18,1355,11,7,10,1373,1376
112,2012937.xml,12,17,Ø,7.94,0.91,92.05,7.0,0.91,1.29,98.7,1303,5,3,4,1311,1312
113,2012916.xml,30,25,Ø,10.5,2.0,89.49,9.03,1.99,3.24,96.75,1473,19,5,6,1497,1498
114,2012952.xml,23,14,Ø,5.76,1.47,94.23,5.14,1.47,2.48,97.51,1539,16,5,2,1560,1557
116,2012993.xml,36,20,Ø,9.25,2.52,90.74,8.1,2.51,4.23,95.76,1395,25,6,5,1426,1425
117,2013002.xml,28,12,Ø,4.74,1.72,95.25,3.95,1.72,3.29,96.7,1598,26,0,2,1624,1626
118,2012957.xml,31,21,Ø,8.75,2.0,91.25,7.91,2.0,3.22,96.77,1513,19,11,1,1543,1533
119,2012975.xml,74,23,Ø,11.27,5.3,88.72,9.8,5.27,9.31,90.68,1328,59,8,7,1395,1394
120,2012987.xml,19,19,Ø,7.98,1.2,92.01,7.14,1.2,1.89,98.1,1557,11,5,3,1573,1571
121,284_bb953_default.xml,37,10,Ø,4.06,2.41,95.93,3.65,2.4,4.32,95.67,1499,30,1,6,1530,1535
122,2012991.xml,32,11,Ø,4.68,2.1,95.31,4.46,2.09,3.71,96.28,1493,25,4,3,1522,1521
123,2012949.xml,19,19,Ø,8.79,1.35,91.2,8.33,1.35,2.2,97.79,1382,12,7,0,1401,1394
124,2012905.xml,24,24,Ø,14.54,2.16,85.45,13.93,2.16,3.67,96.32,1083,17,7,0,1107,1100
125,2012990.xml,23,28,Ø,11.47,1.49,88.52,9.83,1.48,1.87,98.12,1526,6,11,6,1543,1538
126,2012894.xml,70,16,Ø,8.33,5.78,91.66,7.81,5.78,10.63,89.36,1141,62,7,1,1210,1204
127,2012889.xml,45,18,Ø,10.28,3.91,89.71,10.28,3.9,6.52,93.47,1108,31,11,3,1150,1142
128,2012948.xml,15,15,Ø,6.81,1.02,93.18,6.36,1.02,1.43,98.56,1446,6,7,2,1459,1454
129,33_425fa_default.xml,30,19,Ø,7.85,2.0,92.14,7.02,1.99,3.04,96.95,1474,16,10,4,1500,1494
