,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,2012886.xml,14,16,Ø,14.67,1.88,85.32,13.76,1.87,2.54,97.45,732,5,7,2,744,739
1,2012995.xml,11,7,Ø,3.18,0.75,96.81,3.18,0.75,1.29,98.7,1453,8,3,0,1464,1461
2,2012907.xml,56,21,Ø,11.93,4.85,88.06,10.22,4.83,7.76,92.23,1103,35,16,5,1154,1143
3,2012947.xml,9,14,Ø,5.85,0.58,94.14,4.81,0.58,0.83,99.16,1541,4,4,1,1549,1546
4,2012919.xml,100,57,Ø,26.76,7.77,73.23,24.41,7.53,10.63,89.36,1227,42,18,40,1287,1309
5,2012896.xml,16,10,Ø,5.74,1.37,94.25,4.59,1.37,2.22,97.77,1147,10,5,1,1162,1158
6,2012935.xml,18,11,Ø,4.86,1.25,95.13,4.2,1.24,2.14,97.85,1423,13,2,3,1438,1439
7,2012966.xml,4,4,Ø,1.63,0.25,98.36,1.63,0.25,0.38,99.61,1547,2,2,0,1551,1549
8,2012972.xml,34,25,Ø,9.88,2.09,90.11,8.1,2.09,3.18,96.81,1592,18,13,3,1623,1613
9,2012900.xml,3,3,Ø,1.65,0.25,98.34,1.65,0.25,0.42,99.57,1171,2,1,0,1174,1173
10,2012998.xml,5,6,Ø,2.41,0.31,97.58,2.21,0.31,0.43,99.56,1606,2,2,1,1610,1609
11,2012899.xml,1,1,Ø,0.53,0.08,99.46,0.53,0.08,0.08,99.91,1166,0,1,0,1167,1166
12,2012958.xml,16,17,Ø,6.8,0.99,93.19,5.8,0.99,1.48,98.51,1598,8,6,2,1612,1608
13,2012970.xml,17,15,Ø,6.19,1.11,93.8,4.75,1.11,1.5,98.49,1513,6,3,8,1522,1527
14,2012928.xml,13,14,Ø,6.22,0.92,93.77,5.33,0.92,1.41,98.58,1400,7,5,1,1412,1408
15,2012976.xml,19,12,Ø,5.12,1.31,94.87,4.27,1.31,1.92,98.07,1431,9,7,3,1447,1443
16,2012888.xml,24,8,Ø,4.34,2.06,95.65,4.07,2.06,3.58,96.41,1141,18,6,0,1165,1159
17,2012936.xml,21,16,Ø,6.42,1.33,93.57,5.62,1.33,2.09,97.9,1553,12,6,3,1571,1568
18,2012902.xml,13,13,Ø,6.91,1.09,93.08,6.64,1.09,1.68,98.31,1173,7,5,1,1185,1181
19,2012988.xml,19,19,Ø,8.18,1.28,91.81,6.89,1.28,1.82,98.17,1463,8,5,6,1476,1477
20,2012904.xml,4,4,Ø,2.22,0.34,97.77,2.22,0.34,0.51,99.48,1162,2,2,0,1166,1164
21,2012979.xml,19,18,Ø,7.43,1.25,92.56,6.4,1.24,1.76,98.23,1505,8,3,8,1516,1521
22,312_bc383_default.xml,58,26,Ø,12.14,4.13,87.85,10.98,4.11,6.46,93.53,1353,34,14,10,1401,1397
23,2012922.xml,53,18,Ø,8.07,3.46,91.92,7.17,3.45,6.36,93.63,1480,46,3,4,1529,1530
24,2012898.xml,18,11,Ø,6.28,1.54,93.71,5.71,1.54,2.48,97.51,1146,11,6,1,1163,1158
25,2012940.xml,22,14,Ø,5.49,1.36,94.5,5.09,1.36,2.28,97.71,1594,15,4,3,1613,1612
26,2012963.xml,16,9,Ø,4.16,1.21,95.83,3.7,1.21,1.96,98.03,1301,10,6,0,1317,1311
27,283_3e2b0_default.xml,35,15,Ø,6.41,2.51,93.58,5.55,2.5,4.26,95.73,1360,25,8,2,1393,1387
28,2012980.xml,16,11,Ø,4.45,1.0,95.54,3.64,1.0,1.82,98.17,1570,13,2,1,1585,1584
29,2012932.xml,16,14,Ø,6.39,1.21,93.6,5.7,1.21,1.96,98.03,1306,10,6,0,1322,1316
30,2012994.xml,19,19,Ø,8.63,1.31,91.36,7.04,1.3,1.79,98.2,1432,7,5,7,1444,1446
31,2012924.xml,14,15,Ø,6.41,0.94,93.58,5.55,0.94,1.54,98.45,1467,9,4,1,1480,1477
32,2012914.xml,23,19,Ø,9.22,1.73,90.77,8.0,1.72,2.76,97.23,1309,14,6,3,1329,1326
33,2012897.xml,4,5,346,2.95,0.34,97.04,2.66,0.34,0.51,99.48,1155,2,1,1,1158,1158
34,2012971.xml,21,15,1223,7.38,1.56,92.61,6.15,1.55,2.51,97.48,1327,13,4,4,1344,1344
35,2012959.xml,20,17,Ø,7.79,1.46,92.2,6.65,1.45,2.39,97.6,1352,13,2,5,1367,1370
36,2012992.xml,22,17,Ø,7.79,1.45,92.2,6.88,1.45,2.37,97.62,1491,14,5,3,1510,1508
37,2012996.xml,11,16,Ø,6.72,0.73,93.27,5.46,0.73,1.06,98.93,1492,5,2,4,1499,1501
38,2012955.xml,50,21,Ø,8.43,3.31,91.56,7.63,3.29,5.42,94.57,1468,33,8,9,1509,1510
39,2012961.xml,7,4,Ø,1.78,0.46,98.21,1.78,0.46,0.72,99.27,1512,4,3,0,1519,1516
40,2012989.xml,18,22,Ø,9.86,1.2,90.13,7.84,1.2,1.53,98.46,1480,5,6,7,1491,1492
