,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,2012886.xml,14,13,Ø,12.62,1.95,87.37,11.65,1.93,2.9,97.09,708,7,2,5,717,720
1,2012995.xml,1,2,Ø,0.96,0.07,99.03,0.72,0.07,0.07,99.92,1414,0,0,1,1414,1415
2,2012907.xml,47,22,Ø,12.86,4.17,87.13,11.69,4.11,6.25,93.74,1096,25,6,16,1127,1137
3,2012947.xml,5,6,Ø,2.62,0.33,97.37,2.4,0.33,0.6,99.39,1492,4,1,0,1497,1496
4,2012919.xml,134,67,Ø,36.21,10.78,63.78,28.91,10.19,13.56,86.43,1180,45,17,72,1242,1297
5,2012896.xml,14,4,Ø,2.5,1.24,97.5,2.5,1.23,2.02,97.97,1117,9,0,5,1126,1131
6,2012935.xml,3,2,Ø,0.93,0.21,99.06,0.93,0.21,0.35,99.64,1386,2,0,1,1388,1389
7,2012966.xml,2,1,Ø,0.42,0.13,99.57,0.42,0.13,0.19,99.8,1513,1,0,1,1514,1515
8,2012972.xml,7,7,Ø,2.88,0.44,97.11,2.26,0.44,0.57,99.42,1559,2,3,2,1564,1563
9,2012900.xml,13,6,Ø,3.5,1.16,96.49,3.5,1.15,1.68,98.31,1112,6,0,7,1118,1125
10,2012998.xml,4,5,Ø,2.14,0.26,97.85,1.71,0.25,0.32,99.67,1537,1,0,3,1538,1541
11,2012899.xml,4,3,Ø,1.71,0.35,98.28,1.71,0.35,0.44,99.55,1131,1,1,2,1133,1134
12,2012958.xml,2,4,1000,1.63,0.12,98.36,1.22,0.12,0.12,99.87,1546,0,1,1,1547,1547
13,2012970.xml,4,5,Ø,2.19,0.27,97.8,1.75,0.27,0.34,99.65,1453,1,0,3,1454,1457
14,2012928.xml,13,8,Ø,3.7,0.95,96.29,3.47,0.95,1.53,98.46,1352,8,0,5,1360,1365
15,2012976.xml,5,3,Ø,1.35,0.35,98.64,1.12,0.35,0.57,99.42,1391,3,0,2,1394,1396
16,2012888.xml,26,12,Ø,6.77,2.29,93.22,6.49,2.26,3.13,96.86,1121,10,2,14,1133,1145
17,2012936.xml,7,6,Ø,2.52,0.46,97.47,2.1,0.46,0.65,99.34,1513,3,1,3,1517,1519
18,2012902.xml,32,20,Ø,10.92,2.76,89.07,10.92,2.73,3.83,96.16,1140,13,4,15,1157,1168
19,2012988.xml,8,7,Ø,3.16,0.56,96.83,2.71,0.56,0.84,99.15,1406,4,0,4,1410,1414
20,2012904.xml,8,6,589,3.52,0.69,96.47,3.52,0.69,1.04,98.95,1138,4,2,2,1144,1144
21,2012979.xml,3,4,Ø,1.73,0.2,98.26,1.3,0.2,0.2,99.79,1447,0,1,2,1448,1449
22,312_bc383_default.xml,44,18,Ø,8.95,3.25,91.04,8.45,3.21,4.86,95.13,1325,23,5,16,1353,1364
23,2012922.xml,26,17,Ø,7.94,1.77,92.05,7.71,1.76,2.77,97.22,1446,15,1,10,1462,1471
24,2012898.xml,22,13,Ø,7.73,1.95,92.26,7.14,1.93,2.81,97.18,1113,10,2,10,1125,1133
25,2012940.xml,3,1,Ø,0.41,0.19,99.58,0.41,0.19,0.25,99.74,1547,1,0,2,1548,1550
26,2012963.xml,9,7,Ø,3.36,0.7,96.63,3.12,0.7,1.09,98.9,1271,5,1,3,1277,1279
27,283_3e2b0_default.xml,15,8,930,3.53,1.12,96.46,3.31,1.11,1.63,98.36,1325,7,4,4,1336,1336
28,2012980.xml,1,2,Ø,0.86,0.06,99.13,0.64,0.06,0.06,99.93,1532,0,0,1,1532,1533
29,2012932.xml,5,3,Ø,1.45,0.39,98.54,1.45,0.39,0.71,99.28,1255,4,0,1,1259,1260
30,2012994.xml,5,6,Ø,2.88,0.36,97.11,2.4,0.36,0.5,99.49,1381,2,1,2,1384,1385
31,2012924.xml,7,6,Ø,2.75,0.49,97.24,2.52,0.49,0.63,99.36,1403,2,4,1,1409,1406
32,2012914.xml,17,12,Ø,6.15,1.34,93.84,5.12,1.33,2.03,97.96,1258,9,1,7,1268,1274
33,2012897.xml,7,6,Ø,3.7,0.62,96.29,3.39,0.62,0.88,99.11,1120,3,1,3,1124,1126
34,2012971.xml,5,2,1171,1.02,0.38,98.97,0.76,0.38,0.46,99.53,1297,1,2,2,1300,1300
