,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,T_M_Daneau_1_Tim_C2_2012996.xml,3,5,Ø,2.1,0.2,97.89,1.68,0.2,0.2,99.79,1495,0,0,3,1495,1498
1,T_M_Daneau_1_Tim_C1_2012894.xml,29,14,Ø,7.29,2.39,92.7,7.03,2.37,3.58,96.41,1193,15,2,12,1210,1220
2,T_M_Daneau_1_Tim_C2_2012984.xml,9,11,Ø,4.64,0.56,95.35,4.0,0.56,0.75,99.24,1588,3,1,5,1592,1596
3,T_M_Daneau_1_Tim_C1_2012927.xml,2,3,Ø,1.27,0.13,98.72,1.06,0.13,0.2,99.79,1432,1,1,0,1434,1433
4,T_M_Daneau_1_Tim_C2_2012961.xml,1,2,Ø,0.89,0.06,99.1,0.66,0.06,0.06,99.93,1528,0,1,0,1529,1528
5,T_M_Daneau_1_Tim_C1_2012893.xml,12,8,Ø,4.49,1.0,95.5,4.49,0.99,1.41,98.58,1189,5,2,5,1196,1199
6,T_M_Daneau_1_Tim_C2_2012969.xml,6,7,Ø,3.01,0.41,96.98,2.58,0.41,0.62,99.37,1441,3,1,2,1445,1446
7,T_M_Daneau_1_Tim_C2_2012968.xml,5,2,Ø,0.91,0.34,99.08,0.91,0.34,0.55,99.44,1437,3,0,2,1440,1442
8,T_M_Daneau_1_Tim_C1_2012936.xml,13,11,Ø,4.41,0.82,95.58,3.81,0.81,1.06,98.93,1578,4,3,6,1585,1588
9,T_M_Daneau_1_Tim_C1_2012935.xml,7,4,468,1.76,0.48,98.23,1.76,0.48,0.83,99.16,1433,5,1,1,1439,1439
10,T_M_Daneau_1_Tim_C1_2012923.xml,5,5,1082,1.98,0.31,98.01,1.58,0.31,0.37,99.62,1583,1,2,2,1586,1586
11,T_M_Daneau_1_Tim_C1_2012903.xml,14,13,534,7.3,1.19,92.69,6.74,1.18,1.69,98.3,1163,6,4,4,1173,1173
12,T_M_Daneau_1_Tim_C1_2012901.xml,23,16,Ø,8.93,1.93,91.06,8.1,1.92,2.67,97.32,1170,9,8,6,1187,1185
13,T_M_Daneau_1_Tim_C1_2012906.xml,9,5,Ø,2.95,0.78,97.04,2.95,0.77,1.2,98.79,1147,5,0,4,1152,1156
14,T_M_Daneau_1_Tim_C2_2012978.xml,12,13,Ø,5.37,0.76,94.62,4.54,0.76,1.08,98.91,1553,5,4,3,1562,1561
15,T_M_Daneau_1_Tim_C1_2012947.xml,8,10,Ø,4.18,0.51,95.81,3.55,0.51,0.83,99.16,1548,5,3,0,1556,1553
16,T_M_Daneau_1_Tim_C2_2012953.xml,7,7,352,2.88,0.45,97.11,2.46,0.45,0.65,99.34,1524,3,2,2,1529,1529
17,T_M_Daneau_1_Tim_C2_2012964.xml,7,11,Ø,4.34,0.44,95.65,3.55,0.44,0.56,99.43,1573,2,2,3,1577,1578
18,T_M_Daneau_1_Tim_C1_2012932.xml,5,3,Ø,1.36,0.37,98.63,1.36,0.37,0.67,99.32,1317,4,0,1,1321,1322
19,Daneau_1-Tim_33_425fa_default.xml,11,14,Ø,5.78,0.73,94.21,4.75,0.73,0.99,99.0,1492,4,4,3,1500,1499
20,T_M_Daneau_1_Tim_C2_2012975.xml,20,12,Ø,5.88,1.43,94.11,5.14,1.42,2.13,97.86,1383,10,2,8,1395,1401
21,T_M_Daneau_1_Tim_C1_2012916.xml,11,11,350,4.62,0.73,95.37,4.2,0.73,1.19,98.8,1488,7,2,2,1497,1497
22,T_M_Daneau_1_Tim_C1_2012938.xml,8,8,Ø,3.14,0.5,96.85,2.75,0.5,0.69,99.3,1565,3,3,2,1571,1570
23,Daneau_1-Tim_4_6c6d2_default.xml,10,6,Ø,4.68,1.18,95.31,4.68,1.17,1.87,98.12,839,6,1,3,846,848
25,Daneau_1-Tim_488_6c491_default.xml,33,15,Ø,5.95,2.12,94.04,5.35,2.1,2.92,97.07,1538,13,4,16,1555,1567
26,T_M_Daneau_1_Tim_C1_2012946.xml,7,4,Ø,1.64,0.44,98.35,1.44,0.44,0.7,99.29,1558,4,1,2,1563,1564
27,T_M_Daneau_1_Tim_C1_2012937.xml,5,5,Ø,2.33,0.38,97.66,1.86,0.38,0.53,99.46,1309,2,0,3,1311,1314
28,T_M_Daneau_1_Tim_C1_2012949.xml,8,7,Ø,3.24,0.57,96.75,2.77,0.57,0.85,99.14,1394,4,3,1,1401,1399
