,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,page_00469.xml,10,10,Ø,7.46,1.12,92.53,7.46,1.12,1.68,98.31,877,5,3,2,885,884
1,2013001.xml,7,4,Ø,1.79,0.5,98.2,1.79,0.5,0.93,99.06,1386,6,0,1,1392,1393
2,312_bc383_default.xml,83,30,Ø,14.92,6.13,85.07,13.68,6.09,10.91,89.08,1278,69,6,8,1353,1355
3,32_e329e_default.xml,21,16,Ø,7.17,1.44,92.82,6.72,1.43,2.31,97.68,1442,13,1,7,1456,1462
4,2012923.xml,15,12,Ø,5.12,0.98,94.87,4.7,0.98,1.64,98.35,1503,10,4,1,1517,1514
5,2012991.xml,30,9,Ø,4.12,2.04,95.87,3.89,2.04,3.71,96.28,1438,25,3,2,1466,1465
6,6289349.xml,27,27,Ø,15.08,2.32,84.91,13.68,2.31,3.25,96.74,1138,11,14,2,1163,1151
7,2012917.xml,23,18,Ø,8.82,1.74,91.17,7.84,1.73,2.25,97.74,1306,7,4,12,1317,1325
8,2012971.xml,25,19,Ø,9.74,1.92,90.25,8.46,1.91,3.13,96.86,1279,16,5,4,1300,1299
9,2012987.xml,16,18,Ø,8.03,1.05,91.96,7.14,1.05,1.51,98.48,1503,7,4,5,1514,1515
10,149_e44d1_default.xml,53,55,Ø,25.58,3.77,74.41,22.09,3.76,5.37,94.62,1354,23,26,4,1403,1381
11,2012903.xml,23,25,Ø,14.45,2.02,85.54,13.29,2.01,2.89,97.1,1116,10,11,2,1137,1128
12,2012888.xml,44,14,Ø,7.9,3.88,92.09,7.62,3.86,6.85,93.14,1093,35,5,4,1133,1132
13,2012970.xml,22,16,Ø,7.01,1.51,92.98,5.7,1.5,2.18,97.81,1439,10,5,7,1454,1456
14,2012992.xml,28,20,Ø,9.38,1.93,90.61,8.45,1.93,3.16,96.83,1420,18,8,2,1446,1440
15,2012947.xml,11,16,Ø,6.98,0.73,93.01,5.89,0.73,1.06,98.93,1487,5,5,1,1497,1493
16,page_05588.xml,44,18,Ø,9.83,3.77,90.16,9.28,3.76,6.66,93.33,1125,35,5,4,1165,1164
17,2012913.xml,12,12,706,9.83,1.56,90.16,9.01,1.55,2.33,97.66,758,6,3,3,767,767
18,2012944.xml,16,10,Ø,4.4,1.1,95.59,4.4,1.1,1.78,98.21,1438,10,6,0,1454,1448
19,2012937.xml,12,14,Ø,6.93,0.95,93.06,6.43,0.95,1.19,98.8,1249,3,4,5,1256,1257
20,2012997.xml,12,15,Ø,6.75,0.79,93.24,6.08,0.79,0.99,99.0,1503,3,6,3,1512,1509
21,2012943.xml,29,17,Ø,7.2,1.97,92.79,6.35,1.96,3.43,96.56,1446,22,4,3,1472,1471
22,page_00083.xml,14,13,Ø,7.14,1.24,92.85,6.31,1.24,1.86,98.13,1112,7,5,2,1124,1121
23,2012890.xml,7,8,148,5.19,0.62,94.8,4.87,0.62,1.07,98.92,1112,5,1,1,1118,1118
24,2012909.xml,84,68,Ø,41.21,7.98,58.78,33.93,7.8,11.66,88.33,992,43,17,24,1052,1059
25,2012928.xml,21,16,Ø,7.4,1.54,92.59,6.71,1.54,2.48,97.51,1342,13,5,3,1360,1358
26,2012935.xml,26,15,Ø,6.97,1.87,93.02,6.27,1.87,3.35,96.64,1364,21,3,2,1388,1387
27,2012897.xml,11,9,Ø,5.55,0.97,94.44,5.55,0.97,1.33,98.66,1115,4,5,2,1124,1121
28,page_001.xml,9,9,Ø,8.49,1.32,91.5,7.54,1.32,1.91,98.08,670,4,4,1,678,675
29,2012910.xml,41,33,297,50.0,10.12,50.0,42.42,9.92,15.63,84.36,372,25,8,8,405,405
30,33_425fa_default.xml,20,17,Ø,7.72,1.4,92.27,6.81,1.4,2.31,97.68,1403,13,3,4,1419,1420
31,2012948.xml,12,13,Ø,6.16,0.86,93.83,5.68,0.86,1.22,98.77,1379,5,5,2,1389,1386
32,2012958.xml,13,14,320,5.73,0.84,94.26,4.71,0.83,1.28,98.71,1537,7,3,3,1547,1547
33,2013002.xml,28,10,Ø,4.23,1.8,95.76,3.6,1.8,3.44,96.55,1526,26,0,2,1552,1554
34,page_00238.xml,28,26,Ø,14.68,2.4,85.31,12.99,2.39,3.57,96.42,1142,14,8,6,1164,1162
35,2012907.xml,82,28,912,16.37,7.27,83.62,14.61,7.23,13.03,86.96,1051,70,6,6,1127,1127
36,2012988.xml,22,19,Ø,8.59,1.56,91.4,7.23,1.55,2.53,97.46,1394,14,2,6,1410,1414
37,21301625.xml,90,65,Ø,18.05,3.77,81.94,17.91,3.76,6.4,93.59,2302,65,18,7,2385,2374
38,2012990.xml,20,21,Ø,9.01,1.35,90.98,7.72,1.34,1.68,98.31,1465,5,8,7,1478,1477
39,2012972.xml,41,25,Ø,10.28,2.62,89.71,8.43,2.61,4.37,95.62,1525,28,11,2,1564,1555
40,6_32167_default.xml,38,17,Ø,10.17,3.46,89.82,9.28,3.45,6.27,93.72,1063,32,1,5,1096,1100
41,2012895.xml,59,11,Ø,6.5,5.27,93.49,5.91,5.26,9.84,90.15,1062,54,2,3,1118,1119
42,2013003.xml,9,13,Ø,7.1,0.76,92.89,6.01,0.76,0.92,99.07,1175,2,4,3,1181,1180
43,2012953.xml,8,8,713,3.53,0.55,96.46,3.53,0.55,0.96,99.03,1443,6,1,1,1450,1450
44,2012963.xml,27,11,Ø,5.28,2.11,94.71,4.8,2.11,3.57,96.42,1251,19,7,1,1277,1271
45,72_9304e_default.xml,54,53,Ø,23.98,3.65,76.01,20.36,3.64,5.37,94.62,1427,26,24,4,1477,1457
46,283_3e2b0_default.xml,42,14,1200,6.19,3.14,93.8,5.53,3.13,5.6,94.39,1298,34,4,4,1336,1336
47,2012904.xml,9,9,Ø,5.29,0.78,94.7,5.29,0.78,1.3,98.69,1135,6,3,0,1144,1141
48,page_00008.xml,31,13,Ø,7.42,2.6,92.57,6.57,2.59,4.47,95.52,1165,23,3,5,1191,1193
49,2012945.xml,10,10,Ø,4.56,0.72,95.43,4.56,0.72,1.15,98.84,1370,6,3,1,1379,1377
