,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,page_00469.xml,7,7,Ø,5.1,0.76,94.89,4.74,0.75,1.08,98.91,915,3,1,3,919,921
1,2013001.xml,2,1,Ø,0.43,0.13,99.56,0.43,0.13,0.2,99.79,1442,1,0,1,1443,1444
2,312_bc383_default.xml,44,18,Ø,8.41,3.13,91.58,7.94,3.09,4.69,95.3,1377,23,5,16,1405,1416
3,32_e329e_default.xml,24,19,Ø,8.08,1.58,91.91,7.87,1.57,2.42,97.57,1499,13,1,10,1513,1522
4,2012923.xml,6,6,Ø,2.38,0.37,97.61,2.18,0.37,0.56,99.43,1582,3,1,2,1586,1587
5,2012991.xml,8,4,Ø,1.7,0.52,98.29,1.7,0.52,0.91,99.08,1516,6,0,2,1522,1524
6,6289349.xml,16,19,Ø,10.38,1.33,89.61,9.01,1.33,1.74,98.25,1185,5,10,1,1200,1191
7,2012917.xml,12,9,Ø,4.16,0.87,95.83,3.7,0.87,1.37,98.62,1366,7,0,5,1373,1378
8,2012971.xml,5,2,1218,0.98,0.36,99.01,0.73,0.36,0.44,99.55,1353,1,2,2,1356,1356
9,2012987.xml,3,4,Ø,1.68,0.19,98.31,1.47,0.19,0.25,99.74,1572,1,0,2,1573,1575
10,149_e44d1_default.xml,14,13,Ø,5.75,0.96,94.24,5.3,0.96,1.43,98.56,1443,7,3,4,1453,1454
11,2012903.xml,17,13,Ø,7.3,1.44,92.69,6.74,1.44,2.12,97.87,1159,8,6,3,1173,1170
12,2012888.xml,27,13,Ø,7.06,2.28,92.93,6.79,2.25,3.24,96.75,1170,12,2,13,1184,1195
13,2012970.xml,5,5,Ø,2.06,0.32,97.93,1.65,0.32,0.45,99.54,1525,2,0,3,1527,1530
14,2012992.xml,7,7,Ø,3.21,0.46,96.78,2.98,0.46,0.66,99.33,1504,3,1,3,1508,1510
15,2012947.xml,6,7,212,2.92,0.38,97.07,2.71,0.38,0.64,99.35,1551,4,1,1,1556,1556
16,page_05588.xml,28,14,Ø,7.4,2.31,92.59,6.61,2.29,3.43,96.56,1192,14,5,9,1211,1215
17,2012913.xml,4,2,195,1.56,0.49,98.43,1.56,0.49,0.74,99.25,800,2,1,1,803,803
18,2012944.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1518,0,0,0,1518,1518
19,2012937.xml,5,6,Ø,2.8,0.38,97.19,2.57,0.38,0.68,99.31,1307,4,0,1,1311,1312
20,2012997.xml,7,7,Ø,2.97,0.44,97.02,2.76,0.44,0.7,99.29,1563,4,1,2,1568,1569
21,2012943.xml,12,8,Ø,3.3,0.78,96.69,3.09,0.77,1.16,98.83,1528,6,2,4,1536,1538
