,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,T_M_Daneau_1_Tim_C2_2012998.xml,2,3,Ø,1.28,0.12,98.71,1.07,0.12,0.19,99.8,1542,1,0,1,1543,1544
1,T_M_Daneau_1_Tim_C2_2013002.xml,1,1,Ø,0.42,0.06,99.57,0.42,0.06,0.06,99.93,1548,0,1,0,1549,1548
2,T_M_Daneau_1_Tim_C1_2012925.xml,4,4,Ø,1.83,0.27,98.16,1.6,0.27,0.27,99.72,1432,0,4,0,1436,1432
3,Aretius_1-Tim_page_00083.xml,8,9,Ø,4.94,0.71,95.05,4.12,0.71,1.06,98.93,1114,4,4,0,1122,1118
4,T_M_Daneau_1_Tim_C2_2012960.xml,6,6,1065,2.66,0.4,97.33,2.44,0.4,0.54,99.45,1468,2,2,2,1472,1472
5,T_M_Daneau_1_Tim_C1_2012921.xml,9,8,Ø,3.92,0.64,96.07,3.18,0.64,1.0,98.99,1379,5,1,3,1385,1387
6,T_M_Daneau_1_Tim_C2_2012971.xml,3,2,Ø,1.02,0.23,98.97,0.76,0.23,0.31,99.68,1285,1,2,0,1288,1286
7,T_M_Daneau_1_Tim_C2_2012954.xml,8,2,Ø,0.85,0.52,99.14,0.85,0.52,0.79,99.2,1509,4,3,1,1516,1514
8,Aretius_1-Tim_page_00076.xml,10,8,Ø,4.67,0.83,95.32,4.09,0.83,0.91,99.08,1194,1,8,1,1203,1196
9,Daneau_1-Tim_319_9ddef_default.xml,3,3,3,1.42,0.2,98.57,1.42,0.2,0.4,99.59,1491,3,0,0,1494,1494
10,T_M_Daneau_1_Tim_C2_2012987.xml,3,4,Ø,1.78,0.19,98.21,1.56,0.19,0.32,99.67,1512,2,0,1,1514,1515
12,T_M_Daneau_1_Tim_C2_2012962.xml,3,5,1271,2.22,0.2,97.77,1.77,0.2,0.26,99.73,1484,1,1,1,1486,1486
13,Bucer_Eph_b_81_c9c48_default.xml,11,12,Ø,5.35,0.74,94.64,5.13,0.74,0.87,99.12,1466,2,9,0,1477,1468
14,T_M_Daneau_1_Tim_C1_2012890.xml,2,1,57,0.64,0.17,99.35,0.64,0.17,0.17,99.82,1123,0,1,1,1124,1124
15,T_M_Daneau_1_Tim_C2_2012988.xml,5,7,Ø,3.16,0.35,96.83,2.71,0.35,0.56,99.43,1407,3,0,2,1410,1412
16,T_M_Daneau_1_Tim_C1_2012885.xml,6,4,457,5.4,1.22,94.59,5.4,1.21,2.02,97.97,486,4,1,1,491,491
17,T_M_Daneau_1_Tim_C2_2012965.xml,3,5,Ø,2.16,0.19,97.83,1.73,0.19,0.26,99.73,1502,1,2,0,1505,1503
18,T_M_Daneau_1_Tim_C1_2012936.xml,6,7,Ø,2.94,0.39,97.05,2.31,0.39,0.46,99.53,1500,1,2,3,1503,1504
19,T_M_Daneau_1_Tim_C2_2012984.xml,8,10,Ø,4.46,0.52,95.53,3.79,0.52,0.72,99.27,1507,3,1,4,1511,1514
20,T_M_Daneau_1_Tim_C2_2012980.xml,1,2,Ø,0.86,0.06,99.13,0.64,0.06,0.06,99.93,1531,0,0,1,1531,1532
21,T_M_Daneau_1_Tim_C2_2012982.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1548,0,0,0,1548,1548
22,test_2013288.xml,4,4,Ø,1.61,0.26,98.38,1.41,0.26,0.45,99.54,1529,3,0,1,1532,1533
23,Aretius_1-Tim_page_00008.xml,4,3,Ø,1.71,0.33,98.28,1.42,0.33,0.42,99.57,1181,1,2,1,1184,1183
24,T_M_Daneau_1_Tim_C1_2012897.xml,2,1,Ø,0.61,0.17,99.38,0.61,0.17,0.17,99.82,1123,0,2,0,1125,1123
25,T_M_Daneau_1_Tim_C2_2012963.xml,3,4,Ø,1.92,0.23,98.07,1.68,0.23,0.23,99.76,1272,0,2,1,1274,1273
26,T_M_Daneau_1_Tim_C1_2012905.xml,4,5,Ø,3.12,0.37,96.87,2.81,0.37,0.46,99.53,1065,1,3,0,1069,1066
27,Megander_Eph_page_010.xml,6,5,Ø,4.09,0.78,95.9,3.68,0.77,1.29,98.7,764,4,0,2,768,770
28,T_M_Daneau_1_Tim_C2_2012970.xml,4,8,Ø,3.5,0.27,96.49,2.63,0.27,0.27,99.72,1448,0,1,3,1449,1451
29,Daneau_1-Tim_6_32167_default.xml,1,1,1,0.59,0.09,99.4,0.59,0.09,0.17,99.82,1110,1,0,0,1111,1111
30,T_M_Daneau_1_Tim_C1_2012908.xml,4,3,Ø,4.41,0.85,95.58,4.41,0.85,0.85,99.14,466,0,1,3,467,469
31,T_M_Daneau_1_Tim_C1_2012940.xml,3,2,Ø,0.83,0.19,99.16,0.83,0.19,0.32,99.67,1535,2,0,1,1537,1538
32,T_M_Daneau_1_Tim_C1_2012886.xml,2,1,Ø,0.97,0.27,99.02,0.97,0.27,0.41,99.58,717,1,1,0,719,718
33,Daneau_1-Tim_283_3e2b0_default.xml,2,2,Ø,0.88,0.14,99.11,0.66,0.14,0.14,99.85,1333,0,2,0,1335,1333
34,test_2123062.xml,6,6,Ø,3.87,0.6,96.12,3.87,0.6,0.8,99.19,993,2,4,0,999,995
35,T_M_Daneau_1_Tim_C1_2012894.xml,5,6,Ø,3.19,0.43,96.8,2.92,0.43,0.6,99.39,1152,2,2,1,1156,1155
36,T_M_Daneau_1_Tim_C2_2012995.xml,1,2,Ø,0.96,0.07,99.03,0.72,0.07,0.07,99.92,1409,0,0,1,1409,1410
37,T_M_Daneau_1_Tim_C1_2012913.xml,5,5,Ø,4.09,0.63,95.9,3.27,0.63,0.89,99.1,778,2,2,1,782,781
38,Bucer_Eph_b_180_8a70d_default.xml,22,27,Ø,12.05,1.46,87.94,10.04,1.45,1.92,98.07,1486,7,11,4,1504,1497
39,T_M_Daneau_1_Tim_C1_2012907.xml,10,8,Ø,4.67,0.88,95.32,4.09,0.88,0.97,99.02,1119,1,8,1,1128,1121
40,T_M_Daneau_1_Tim_C1_2012899.xml,1,1,Ø,0.57,0.08,99.42,0.57,0.08,0.08,99.91,1120,0,1,0,1121,1120
41,T_M_Daneau_1_Tim_C2_2012966.xml,2,2,2,0.84,0.13,99.15,0.84,0.13,0.26,99.73,1501,2,0,0,1503,1503
42,T_M_Daneau_1_Tim_C1_2012935.xml,2,2,2,0.93,0.14,99.06,0.93,0.14,0.28,99.71,1385,2,0,0,1387,1387
43,test_21301625.xml,37,35,Ø,9.74,1.56,90.25,9.47,1.55,2.68,97.31,2338,27,6,4,2371,2369
44,Daneau_1-Tim_4_6c6d2_default.xml,4,3,Ø,2.43,0.49,97.56,2.43,0.49,0.85,99.14,809,3,1,0,813,812
45,Megander_Eph_page_108.xml,2,4,Ø,3.12,0.24,96.87,2.34,0.24,0.24,99.75,800,0,2,0,802,800
46,T_M_Daneau_1_Tim_C1_2012934.xml,5,7,Ø,3.31,0.36,96.68,2.84,0.36,0.58,99.41,1369,3,0,2,1372,1374
47,Bucer_Eph_b_72_9304e_default.xml,14,14,Ø,6.33,0.94,93.66,5.42,0.94,1.28,98.71,1464,5,9,0,1478,1469
48,T_M_Daneau_1_Tim_C1_2012917.xml,10,6,Ø,2.94,0.76,97.05,2.45,0.75,1.06,98.93,1307,4,1,5,1312,1316
49,Aretius_1-Tim_page_00493.xml,5,6,Ø,3.19,0.41,96.8,2.65,0.41,0.49,99.5,1213,1,4,0,1218,1214
51,T_M_Daneau_1_Tim_C1_2012906.xml,2,2,Ø,1.25,0.18,98.74,1.25,0.18,0.27,99.72,1104,1,0,1,1105,1106
52,index_Lambert_2012909.xml,31,39,Ø,23.63,2.94,76.36,18.48,2.92,3.77,96.22,1030,9,13,9,1052,1048
53,T_M_Daneau_1_Tim_C2_2012956.xml,5,5,Ø,2.1,0.34,97.89,1.68,0.34,0.4,99.59,1463,1,1,3,1465,1467
54,T_M_Daneau_1_Tim_C2_2012979.xml,6,9,Ø,3.91,0.41,96.08,3.26,0.41,0.48,99.51,1440,1,2,3,1443,1444
