,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,T_M_Daneau_1_Tim_C2_2012998.xml,5,5,Ø,2.01,0.31,97.98,1.81,0.31,0.43,99.56,1602,2,1,2,1605,1606
1,T_M_Daneau_1_Tim_C2_2013002.xml,7,3,Ø,1.18,0.43,98.81,1.18,0.43,0.61,99.38,1620,3,1,3,1624,1626
2,T_M_Daneau_1_Tim_C1_2012925.xml,6,5,Ø,2.2,0.4,97.79,1.76,0.4,0.53,99.46,1486,2,3,1,1491,1489
3,Aretius_1-Tim_page_00083.xml,10,10,Ø,5.4,0.85,94.59,4.59,0.85,1.27,98.72,1161,5,4,1,1170,1167
4,T_M_Daneau_1_Tim_C2_2012960.xml,9,10,Ø,4.29,0.58,95.7,3.86,0.58,0.96,99.03,1536,6,2,1,1544,1543
5,T_M_Daneau_1_Tim_C1_2012921.xml,33,15,Ø,6.94,2.29,93.05,6.25,2.27,3.36,96.63,1420,16,1,16,1437,1452
6,T_M_Daneau_1_Tim_C2_2012971.xml,6,3,1218,1.47,0.44,98.52,1.23,0.44,0.58,99.41,1352,2,2,2,1356,1356
7,T_M_Daneau_1_Tim_C2_2012954.xml,25,9,Ø,3.65,1.57,96.34,3.45,1.57,2.5,97.49,1567,15,1,9,1583,1591
8,Aretius_1-Tim_page_00076.xml,31,22,Ø,12.5,2.5,87.5,11.07,2.48,3.6,96.39,1216,14,7,10,1237,1240
9,Daneau_1-Tim_319_9ddef_default.xml,5,4,Ø,1.78,0.32,98.21,1.78,0.32,0.57,99.42,1547,4,0,1,1551,1552
10,T_M_Daneau_1_Tim_C2_2012987.xml,4,5,Ø,2.1,0.25,97.89,1.89,0.25,0.38,99.61,1571,2,0,2,1573,1575
12,T_M_Daneau_1_Tim_C2_2012962.xml,11,7,Ø,2.96,0.71,97.03,2.54,0.71,1.03,98.96,1535,5,1,5,1541,1545
13,Bucer_Eph_b_81_c9c48_default.xml,17,15,Ø,6.46,1.12,93.53,6.25,1.12,1.71,98.28,1497,9,6,2,1512,1508
14,T_M_Daneau_1_Tim_C1_2012890.xml,8,6,Ø,3.68,0.68,96.31,3.37,0.68,1.02,98.97,1157,4,1,3,1162,1164
15,T_M_Daneau_1_Tim_C2_2012988.xml,9,9,Ø,3.87,0.6,96.12,3.44,0.6,0.94,99.05,1471,5,0,4,1476,1480
16,T_M_Daneau_1_Tim_C1_2012885.xml,12,8,Ø,10.25,2.38,89.74,10.25,2.37,3.73,96.26,494,7,3,2,504,503
17,T_M_Daneau_1_Tim_C2_2012965.xml,7,6,1167,2.46,0.44,97.53,2.05,0.44,0.63,99.36,1569,3,2,2,1574,1574
18,T_M_Daneau_1_Tim_C1_2012936.xml,13,11,Ø,4.41,0.82,95.58,3.81,0.81,1.06,98.93,1578,4,3,6,1585,1588
19,T_M_Daneau_1_Tim_C2_2012984.xml,9,11,Ø,4.64,0.56,95.35,4.0,0.56,0.75,99.24,1588,3,1,5,1592,1596
20,T_M_Daneau_1_Tim_C2_2012980.xml,2,3,Ø,1.21,0.12,98.78,1.01,0.12,0.12,99.87,1586,0,0,2,1586,1588
21,T_M_Daneau_1_Tim_C2_2012982.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1608,0,0,0,1608,1608
22,test_2013288.xml,5,5,638,1.99,0.31,98.0,1.79,0.31,0.5,99.49,1588,3,1,1,1592,1592
23,Aretius_1-Tim_page_00008.xml,14,12,Ø,6.52,1.12,93.47,5.7,1.12,1.59,98.4,1235,6,2,6,1243,1247
24,T_M_Daneau_1_Tim_C1_2012897.xml,8,6,885,3.55,0.69,96.44,3.25,0.68,0.86,99.13,1152,2,3,3,1157,1157
25,T_M_Daneau_1_Tim_C2_2012963.xml,8,6,1010,2.77,0.6,97.22,2.54,0.6,0.75,99.24,1315,2,3,3,1320,1320
26,T_M_Daneau_1_Tim_C1_2012905.xml,26,16,Ø,9.69,2.34,90.3,9.39,2.32,3.38,96.61,1092,12,3,11,1107,1115
27,Megander_Eph_page_010.xml,15,10,Ø,8.0,1.84,92.0,7.59,1.84,3.05,96.94,800,10,1,4,811,814
28,T_M_Daneau_1_Tim_C2_2012970.xml,7,9,Ø,3.71,0.45,96.28,2.89,0.45,0.58,99.41,1524,2,1,4,1527,1530
29,Daneau_1-Tim_6_32167_default.xml,21,11,Ø,6.28,1.84,93.71,6.28,1.82,2.69,97.3,1127,10,1,10,1138,1147
30,T_M_Daneau_1_Tim_C1_2012908.xml,14,9,Ø,12.5,2.81,87.5,12.5,2.78,3.96,96.03,489,6,2,6,497,501
31,T_M_Daneau_1_Tim_C1_2012940.xml,8,6,Ø,2.35,0.49,97.64,2.35,0.49,0.79,99.2,1619,5,0,3,1624,1627
