,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,Guillet_1546_bpt6k3182270_95.xml,6,6,Ø,4.58,0.79,95.41,4.58,0.78,1.04,98.95,756,2,0,4,758,762
1,Sceve_1544_btv1b8609581h_5.xml,4,5,Ø,20.83,3.03,79.16,18.75,3.0,3.76,96.23,129,1,2,1,132,131
2,Apologia_1534_77_6fdbc_default.xml,40,32,959,18.93,3.75,81.06,16.56,3.69,4.45,95.54,1042,8,16,16,1066,1066
3,Tyard_1549_btv1b8617188p_90.xml,1,1,Ø,0.89,0.16,99.1,0.89,0.16,0.16,99.83,621,0,1,0,622,621
4,desAutels_1550_bpt6k15272172_17.xml,1,1,1,0.66,0.12,99.33,0.66,0.12,0.25,99.74,790,1,0,0,791,791
5,Apologia_1534_36_6c6d4_default.xml,42,40,Ø,20.83,3.16,79.16,18.75,3.14,3.82,96.17,1294,9,26,7,1329,1310
6,Tyard_1549_btv1b8617188p_34.xml,3,3,Ø,2.32,0.41,97.67,1.93,0.41,0.41,99.58,722,0,2,1,724,723
7,Montenay_btv1b8609568n_133.xml,2,2,Ø,3.22,0.59,96.77,3.22,0.59,0.89,99.1,333,1,1,0,335,334
8,Labe_1555_btv1b86095588_122.xml,12,11,337,5.67,1.14,94.32,5.41,1.13,1.89,98.1,1041,8,2,2,1051,1051
9,desRoches_1585_bpt6k706947_32.xml,7,9,Ø,5.32,0.74,94.67,4.73,0.73,1.26,98.73,940,5,0,2,945,947
10,Labe_1555_btv1b86095588_53.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1099,0,0,0,1099,1099
11,Aretius_1-Tim_page_00076.xml,58,26,Ø,15.2,4.82,84.79,13.15,4.79,7.84,92.15,1151,38,14,6,1203,1195
12,Montenay_btv1b8609568n_93.xml,1,1,Ø,2.0,0.3,98.0,2.0,0.3,0.3,99.69,325,0,1,0,326,325
14,Liber_loquitur_1520_15_0caf1_default.xml,4,4,Ø,4.0,0.63,96.0,4.0,0.63,1.11,98.88,624,3,0,1,627,628
15,Marquets_1562_bpt6k1521180m_34.xml,2,2,Ø,2.04,0.36,97.95,2.04,0.36,0.36,99.63,548,0,0,2,548,550
16,Labe_1555_btv1b86095588_109.xml,20,7,Ø,3.51,1.78,96.48,2.26,1.78,1.86,98.13,1103,1,19,0,1123,1104
17,T_M_Daneau_1_Tim_C1_2012901.xml,20,12,Ø,7.05,1.74,92.94,6.47,1.74,2.52,97.47,1125,9,9,2,1143,1136
18,Labe_1555_btv1b86095588_64.xml,6,2,Ø,1.05,0.54,98.94,0.78,0.54,0.63,99.36,1103,1,5,0,1109,1104
19,Magny_1553_bpt6k8711906g_68.xml,1,1,1,0.54,0.09,99.45,0.54,0.09,0.18,99.81,1079,1,0,0,1080,1080
20,Marquets_1562_bpt6k1521180m_10.xml,2,2,Ø,1.78,0.3,98.21,1.78,0.3,0.45,99.54,653,1,0,1,654,655
21,Guillet_1546_bpt6k3182270_88.xml,5,5,Ø,3.75,0.64,96.24,3.38,0.64,0.77,99.22,774,1,3,1,778,776
22,Marquets_1562_bpt6k1521180m_45.xml,4,4,Ø,1.81,0.32,98.18,1.81,0.32,0.32,99.67,1221,0,0,4,1221,1225
23,Labe_1555_btv1b86095588_106.xml,52,30,Ø,14.42,4.61,85.57,12.74,4.59,6.0,93.99,1079,16,32,4,1127,1099
24,T_M_Daneau_1_Tim_C1_2012938.xml,19,11,Ø,4.52,1.26,95.47,3.9,1.25,2.04,97.95,1489,12,5,2,1506,1503
25,Sceve_1544_btv1b8609581h_65.xml,4,3,Ø,1.69,0.39,98.3,1.69,0.39,0.59,99.4,1007,2,2,0,1011,1009
26,desAutels_1550_bpt6k15272172_33.xml,2,2,2,1.61,0.29,98.38,1.61,0.29,0.59,99.4,668,2,0,0,670,670
27,Apologia_1534_14_295a5_default.xml,25,24,Ø,12.43,1.92,87.56,11.39,1.91,2.37,97.62,1281,6,10,9,1297,1296
28,T_M_Daneau_1_Tim_C2_2012987.xml,12,13,Ø,5.8,0.79,94.19,4.91,0.78,1.18,98.81,1507,6,1,5,1514,1518
29,index_Lambert_2012910.xml,41,33,296,50.0,10.12,50.0,42.42,9.92,15.63,84.36,372,25,8,8,405,405
30,desAutels_1550_bpt6k15272172_24.xml,2,2,2,1.43,0.27,98.56,1.43,0.27,0.55,99.44,720,2,0,0,722,722
31,T_M_Daneau_1_Tim_C1_2012908.xml,7,7,Ø,10.29,1.49,89.7,9.55,1.48,1.7,98.29,464,1,2,4,467,469
32,Sceve_1544_btv1b8609581h_6.xml,5,5,Ø,2.42,0.4,97.57,2.42,0.4,0.4,99.59,1230,0,2,3,1232,1233
34,Herbarum_eicones_1530_Herbarum_1530.xml,38,29,Ø,19.2,3.92,80.79,17.54,3.89,6.3,93.69,937,24,8,6,969,967
35,T_M_Daneau_1_Tim_C1_2012915.xml,6,7,Ø,3.13,0.41,96.86,2.46,0.41,0.55,99.44,1441,2,1,3,1444,1446
36,Guillet_1546_bpt6k3182270_63.xml,6,5,Ø,4.13,0.95,95.86,3.71,0.95,0.95,99.04,622,0,5,1,627,623
37,Guillet_1546_bpt6k3182270_87.xml,12,12,Ø,8.69,1.57,91.3,8.69,1.57,1.96,98.03,751,3,6,3,760,757
38,Magny_1553_bpt6k8711906g_70.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1057,0,0,0,1057,1057
39,Megander_Eph_page_105.xml,8,7,Ø,5.88,1.05,94.11,5.88,1.05,1.32,98.67,747,2,6,0,755,749
40,Labe_1555_btv1b86095588_21.xml,8,3,Ø,1.57,0.81,98.42,1.31,0.81,1.11,98.88,974,3,0,5,977,982
41,Bucer_1530_Bucer_1530.xml,31,24,Ø,19.19,3.73,80.8,16.8,3.71,5.94,94.05,803,19,9,3,831,825
42,Labe_1555_btv1b86095588_42.xml,7,3,Ø,1.55,0.63,98.44,1.29,0.63,0.72,99.27,1091,1,6,0,1098,1092
43,Montenay_btv1b8609568n_35.xml,2,2,86,3.38,0.59,96.61,3.38,0.59,0.59,99.4,333,0,1,1,334,334
44,Sceve_1544_btv1b8609581h_47.xml,2,2,Ø,1.94,0.34,98.05,1.94,0.34,0.34,99.65,576,0,0,2,576,578
45,Tyard_1549_btv1b8617188p_41.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,568,0,0,0,568,568
46,desRoches_1585_bpt6k706947_6.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,446,0,0,0,446,446
47,T_M_Daneau_1_Tim_C1_2012894.xml,44,15,Ø,7.97,3.8,92.02,7.44,3.78,6.06,93.93,1117,27,12,5,1156,1149
48,Aretius_1-Tim_page_00238.xml,22,22,Ø,12.42,1.88,87.57,10.73,1.87,2.8,97.19,1152,11,7,4,1170,1167
49,poetry_13982576.xml,37,40,Ø,20.2,2.84,79.79,18.68,2.82,4.11,95.88,1272,17,12,8,1301,1297
