,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,Guillet_1546_bpt6k3182270_95.xml,3,3,Ø,2.18,0.37,97.81,2.18,0.37,0.62,99.37,800,2,0,1,802,803
1,Sceve_1544_btv1b8609581h_5.xml,4,5,Ø,20.83,2.87,79.16,18.75,2.85,3.57,96.42,136,1,2,1,139,138
2,Apologia_1534_77_6fdbc_default.xml,42,32,Ø,18.6,3.79,81.39,16.27,3.74,5.08,94.91,1079,15,12,15,1106,1109
3,Tyard_1549_btv1b8617188p_90.xml,2,2,Ø,1.72,0.3,98.27,1.72,0.3,0.3,99.69,657,0,2,0,659,657
4,desAutels_1550_bpt6k15272172_17.xml,3,3,3,1.98,0.36,98.01,1.98,0.36,0.72,99.27,821,3,0,0,824,824
5,Apologia_1534_36_6c6d4_default.xml,45,43,Ø,22.16,3.28,77.83,20.1,3.26,4.07,95.92,1332,11,27,7,1370,1350
6,Tyard_1549_btv1b8617188p_34.xml,3,2,Ø,1.52,0.39,98.47,1.14,0.39,0.39,99.6,754,0,2,1,756,755
7,Montenay_btv1b8609568n_133.xml,2,2,Ø,3.22,0.57,96.77,3.22,0.57,0.86,99.13,346,1,1,0,348,347
8,Labe_1555_btv1b86095588_122.xml,13,12,Ø,6.03,1.17,93.96,5.77,1.17,1.89,98.1,1095,8,3,2,1106,1105
9,desRoches_1585_bpt6k706947_32.xml,7,9,Ø,5.29,0.71,94.7,4.7,0.71,1.22,98.77,968,5,0,2,973,975
10,Labe_1555_btv1b86095588_53.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1136,0,0,0,1136,1136
11,Aretius_1-Tim_page_00076.xml,58,30,Ø,17.04,4.66,82.95,14.48,4.64,7.67,92.32,1190,39,13,6,1242,1235
12,Montenay_btv1b8609568n_93.xml,1,1,Ø,1.92,0.29,98.07,1.92,0.29,0.29,99.7,336,0,1,0,337,336
14,Liber_loquitur_1520_15_0caf1_default.xml,6,6,Ø,6.0,0.91,94.0,6.0,0.91,1.37,98.62,650,3,1,2,654,655
15,Marquets_1562_bpt6k1521180m_34.xml,3,3,Ø,2.94,0.53,97.05,2.94,0.52,0.52,99.47,566,0,0,3,566,569
16,Labe_1555_btv1b86095588_109.xml,22,7,Ø,3.38,1.88,96.61,2.17,1.88,1.96,98.03,1148,1,21,0,1170,1149
17,T_M_Daneau_1_Tim_C1_2012901.xml,24,14,Ø,7.82,2.02,92.17,7.26,2.02,2.77,97.22,1162,9,12,3,1183,1174
18,Labe_1555_btv1b86095588_64.xml,6,2,Ø,1.03,0.52,98.96,0.77,0.52,0.61,99.38,1137,1,5,0,1143,1138
19,Magny_1553_bpt6k8711906g_68.xml,1,1,1,0.53,0.09,99.46,0.53,0.09,0.18,99.81,1108,1,0,0,1109,1109
20,Marquets_1562_bpt6k1521180m_10.xml,1,1,1,0.86,0.14,99.13,0.86,0.14,0.29,99.7,676,1,0,0,677,677
21,Guillet_1546_bpt6k3182270_88.xml,4,5,Ø,3.62,0.49,96.37,3.26,0.49,0.61,99.38,807,1,2,1,810,809
22,Marquets_1562_bpt6k1521180m_45.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1267,0,0,0,1267,1267
23,Labe_1555_btv1b86095588_106.xml,55,29,Ø,13.67,4.72,86.32,12.26,4.71,6.16,93.83,1111,17,35,3,1163,1131
24,T_M_Daneau_1_Tim_C1_2012938.xml,21,13,Ø,5.11,1.33,94.88,4.72,1.33,2.15,97.84,1550,13,6,2,1569,1565
25,Sceve_1544_btv1b8609581h_65.xml,5,5,Ø,2.79,0.47,97.2,2.79,0.47,0.66,99.33,1053,2,1,2,1056,1057
26,desAutels_1550_bpt6k15272172_33.xml,3,3,Ø,2.39,0.42,97.59,2.39,0.42,0.71,99.28,699,2,1,0,702,701
27,Apologia_1534_14_295a5_default.xml,29,26,Ø,13.0,2.15,87.0,12.0,2.13,2.58,97.41,1327,6,12,11,1345,1344
28,T_M_Daneau_1_Tim_C2_2012987.xml,15,14,Ø,5.88,0.95,94.11,5.04,0.95,1.58,98.41,1561,10,2,3,1573,1574
29,index_Lambert_2012910.xml,46,34,Ø,50.0,9.78,50.0,41.91,9.62,14.6,85.39,432,25,13,8,470,465
30,desAutels_1550_bpt6k15272172_24.xml,2,2,2,1.42,0.26,98.57,1.42,0.26,0.53,99.46,749,2,0,0,751,751
31,T_M_Daneau_1_Tim_C1_2012908.xml,9,9,Ø,12.5,1.82,87.5,11.8,1.8,2.01,97.98,489,1,3,5,493,495
32,Sceve_1544_btv1b8609581h_6.xml,5,5,Ø,2.28,0.39,97.71,2.28,0.39,0.46,99.53,1274,1,0,4,1275,1279
34,Herbarum_eicones_1530_Herbarum_1530.xml,41,31,Ø,20.26,4.08,79.73,18.62,4.06,6.67,93.32,967,27,9,5,1003,999
35,T_M_Daneau_1_Tim_C1_2012915.xml,7,10,Ø,4.25,0.46,95.74,3.4,0.46,0.73,99.26,1496,4,1,2,1501,1502
36,Guillet_1546_bpt6k3182270_63.xml,3,2,Ø,1.65,0.45,98.34,1.23,0.45,0.45,99.54,658,0,3,0,661,658
37,Guillet_1546_bpt6k3182270_87.xml,6,6,Ø,4.25,0.75,95.74,4.25,0.75,1.13,98.86,788,3,1,2,792,793
