,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,Guillet_1546_bpt6k3182270_95.xml,15,14,Ø,10.68,1.97,89.31,10.68,1.96,3.25,96.74,748,10,0,5,758,763
1,Sceve_1544_btv1b8609581h_5.xml,4,5,Ø,20.83,3.03,79.16,18.75,3.0,3.76,96.23,129,1,2,1,132,131
2,Apologia_1534_77_6fdbc_default.xml,46,35,Ø,20.71,4.29,79.28,18.34,4.25,5.91,94.08,1034,18,20,8,1072,1060
3,Tyard_1549_btv1b8617188p_90.xml,3,2,377,1.78,0.47,98.21,1.78,0.47,0.63,99.36,623,1,1,1,625,625
4,desAutels_1550_bpt6k15272172_17.xml,4,3,Ø,2.0,0.5,98.0,2.0,0.5,0.75,99.24,791,2,0,2,793,795
5,Apologia_1534_36_6c6d4_default.xml,40,42,Ø,21.87,3.0,78.12,19.79,3.0,4.34,95.65,1291,18,20,2,1329,1311
6,Tyard_1549_btv1b8617188p_34.xml,7,5,Ø,3.87,0.96,96.12,3.48,0.95,1.23,98.76,723,2,2,3,727,728
7,Montenay_btv1b8609568n_133.xml,3,3,Ø,4.83,0.88,95.16,4.83,0.88,1.47,98.52,336,2,1,0,339,338
8,Labe_1555_btv1b86095588_122.xml,13,12,337,6.18,1.23,93.81,5.92,1.22,2.07,97.92,1045,9,2,2,1056,1056
9,desRoches_1585_bpt6k706947_32.xml,8,10,Ø,5.91,0.83,94.08,5.32,0.83,1.46,98.53,948,6,0,2,954,956
10,Labe_1555_btv1b86095588_53.xml,2,1,Ø,0.51,0.18,99.48,0.51,0.18,0.27,99.72,1104,1,0,1,1105,1106
11,Aretius_1-Tim_page_00076.xml,82,33,Ø,19.29,6.84,80.7,16.95,6.82,12.15,87.84,1120,68,10,4,1198,1192
12,Montenay_btv1b8609568n_93.xml,4,3,200,6.0,1.22,94.0,6.0,1.22,1.83,98.16,323,2,1,1,326,326
14,Liber_loquitur_1520_15_0caf1_default.xml,4,4,4,4.0,0.63,96.0,4.0,0.63,1.26,98.73,627,4,0,0,631,631
15,Marquets_1562_bpt6k1521180m_34.xml,4,3,Ø,3.06,0.72,96.93,3.06,0.72,0.9,99.09,548,1,0,3,549,552
16,Labe_1555_btv1b86095588_109.xml,20,7,Ø,3.51,1.76,96.48,2.26,1.76,1.85,98.14,1115,1,19,0,1135,1116
17,T_M_Daneau_1_Tim_C1_2012901.xml,27,14,Ø,8.23,2.35,91.76,7.64,2.35,3.81,96.18,1121,17,9,1,1147,1139
18,Labe_1555_btv1b86095588_64.xml,6,2,Ø,1.05,0.53,98.94,0.78,0.53,0.62,99.37,1109,1,5,0,1115,1110
19,Magny_1553_bpt6k8711906g_68.xml,1,1,1,0.54,0.09,99.45,0.54,0.09,0.18,99.81,1074,1,0,0,1075,1075
20,Marquets_1562_bpt6k1521180m_10.xml,6,4,Ø,3.57,0.9,96.42,3.57,0.9,1.34,98.65,660,3,0,3,663,666
21,Guillet_1546_bpt6k3182270_88.xml,15,12,Ø,9.02,1.9,90.97,8.64,1.89,2.89,97.1,778,8,3,4,789,790
22,Marquets_1562_bpt6k1521180m_45.xml,7,6,Ø,2.72,0.56,97.27,2.72,0.56,0.64,99.35,1234,1,1,5,1236,1240
23,Labe_1555_btv1b86095588_106.xml,52,30,Ø,14.42,4.58,85.57,12.74,4.57,6.05,93.94,1085,17,31,4,1133,1106
24,T_M_Daneau_1_Tim_C1_2012938.xml,36,12,Ø,4.93,2.38,95.06,4.32,2.38,4.01,95.98,1473,25,10,1,1508,1499
25,Sceve_1544_btv1b8609581h_65.xml,25,16,Ø,9.03,2.46,90.96,9.03,2.44,3.88,96.11,998,15,2,8,1015,1021
26,desAutels_1550_bpt6k15272172_33.xml,2,2,2,1.61,0.29,98.38,1.61,0.29,0.59,99.4,670,2,0,0,672,672
