,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,Guillet_1546_bpt6k3182270_95.xml,6,6,Ø,4.58,0.79,95.41,4.58,0.78,1.04,98.95,756,2,0,4,758,762
1,Sceve_1544_btv1b8609581h_5.xml,4,5,Ø,20.83,3.03,79.16,18.75,3.0,3.76,96.23,129,1,2,1,132,131
2,Apologia_1534_77_6fdbc_default.xml,9,5,Ø,2.95,0.84,97.04,2.66,0.84,1.21,98.78,1060,4,2,3,1066,1067
3,Tyard_1549_btv1b8617188p_90.xml,2,2,269,1.78,0.32,98.21,1.78,0.32,0.32,99.67,621,0,1,1,622,622
4,desAutels_1550_bpt6k15272172_17.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,791,0,0,0,791,791
5,Apologia_1534_36_6c6d4_default.xml,14,11,Ø,5.72,1.05,94.27,5.2,1.05,1.2,98.79,1316,2,11,1,1329,1319
6,Tyard_1549_btv1b8617188p_34.xml,3,3,Ø,2.32,0.41,97.67,1.93,0.41,0.41,99.58,722,0,2,1,724,723
7,Montenay_btv1b8609568n_133.xml,1,1,Ø,1.61,0.29,98.38,1.61,0.29,0.29,99.7,334,0,1,0,335,334
8,Labe_1555_btv1b86095588_122.xml,6,8,Ø,4.12,0.57,95.87,3.6,0.57,0.66,99.33,1046,1,4,1,1051,1048
9,desRoches_1585_bpt6k706947_32.xml,2,3,Ø,1.77,0.21,98.22,1.47,0.21,0.21,99.78,945,0,0,2,945,947
10,Labe_1555_btv1b86095588_53.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1099,0,0,0,1099,1099
11,Aretius_1-Tim_page_00076.xml,8,8,Ø,4.67,0.66,95.32,4.09,0.66,0.83,99.16,1196,2,5,1,1203,1199
12,Montenay_btv1b8609568n_93.xml,2,2,222,4.0,0.61,96.0,4.0,0.61,0.61,99.38,325,0,1,1,326,326
14,Liber_loquitur_1520_15_0caf1_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,627,0,0,0,627,627
15,Marquets_1562_bpt6k1521180m_34.xml,4,4,Ø,4.08,0.72,95.91,4.08,0.72,1.08,98.91,546,2,0,2,548,550
16,Labe_1555_btv1b86095588_109.xml,20,7,Ø,3.51,1.78,96.48,2.26,1.77,1.78,98.21,1104,0,19,1,1123,1105
17,T_M_Daneau_1_Tim_C1_2012901.xml,9,7,Ø,4.11,0.78,95.88,3.82,0.78,1.13,98.86,1134,4,5,0,1143,1138
18,Labe_1555_btv1b86095588_64.xml,6,2,Ø,1.05,0.54,98.94,0.78,0.54,0.63,99.36,1103,1,5,0,1109,1104
19,Magny_1553_bpt6k8711906g_68.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1080,0,0,0,1080,1080
20,Marquets_1562_bpt6k1521180m_10.xml,2,2,Ø,1.78,0.3,98.21,1.78,0.3,0.45,99.54,653,1,0,1,654,655
21,Guillet_1546_bpt6k3182270_88.xml,4,3,Ø,2.25,0.51,97.74,2.25,0.51,0.64,99.35,775,1,2,1,778,777
22,Marquets_1562_bpt6k1521180m_45.xml,3,3,390,1.36,0.24,98.63,1.36,0.24,0.32,99.67,1219,1,1,1,1221,1221
23,Labe_1555_btv1b86095588_106.xml,32,19,Ø,9.13,2.83,90.86,8.89,2.83,3.54,96.45,1096,8,23,1,1127,1105
24,T_M_Daneau_1_Tim_C1_2012938.xml,3,3,Ø,1.23,0.19,98.76,1.23,0.19,0.33,99.66,1504,2,0,1,1506,1507
25,Sceve_1544_btv1b8609581h_65.xml,5,4,Ø,2.25,0.49,97.74,2.25,0.49,0.69,99.3,1006,2,3,0,1011,1008
26,desAutels_1550_bpt6k15272172_33.xml,1,1,Ø,0.8,0.14,99.19,0.8,0.14,0.14,99.85,669,0,1,0,670,669
27,Apologia_1534_14_295a5_default.xml,4,2,572,1.03,0.3,98.96,1.03,0.3,0.3,99.69,1295,0,2,2,1297,1297
28,T_M_Daneau_1_Tim_C2_2012987.xml,2,3,Ø,1.33,0.13,98.66,1.11,0.13,0.19,99.8,1513,1,0,1,1514,1515
29,index_Lambert_2012910.xml,9,13,Ø,19.69,2.22,80.3,15.15,2.22,2.95,97.04,396,3,6,0,405,399
30,desAutels_1550_bpt6k15272172_24.xml,1,1,Ø,0.71,0.13,99.28,0.71,0.13,0.13,99.86,721,0,1,0,722,721
31,T_M_Daneau_1_Tim_C1_2012908.xml,6,6,Ø,8.82,1.28,91.17,8.08,1.27,1.27,98.72,465,0,2,4,467,469
32,Sceve_1544_btv1b8609581h_6.xml,5,5,Ø,2.42,0.4,97.57,2.18,0.4,0.4,99.59,1230,0,2,3,1232,1233
34,Herbarum_eicones_1530_Herbarum_1530.xml,4,4,550,2.64,0.41,97.35,2.64,0.41,0.41,99.58,967,0,2,2,969,969
35,T_M_Daneau_1_Tim_C1_2012915.xml,1,2,Ø,0.89,0.06,99.1,0.67,0.06,0.06,99.93,1444,0,0,1,1444,1445
36,Guillet_1546_bpt6k3182270_63.xml,8,8,Ø,6.61,1.27,93.38,5.78,1.26,1.43,98.56,622,1,4,3,627,626
37,Guillet_1546_bpt6k3182270_87.xml,6,7,Ø,5.07,0.78,94.92,4.71,0.78,0.91,99.08,756,1,3,2,760,759
38,Magny_1553_bpt6k8711906g_70.xml,1,1,Ø,0.54,0.09,99.45,0.54,0.09,0.09,99.9,1056,0,1,0,1057,1056
39,Megander_Eph_page_105.xml,3,3,Ø,2.52,0.39,97.47,2.1,0.39,0.52,99.47,754,1,0,2,755,757
40,Labe_1555_btv1b86095588_21.xml,7,3,Ø,1.57,0.71,98.42,1.31,0.71,0.91,99.08,974,2,1,4,977,980
41,Bucer_1530_Bucer_1530.xml,12,10,Ø,8.0,1.44,92.0,7.59,1.44,2.27,97.72,821,7,3,2,831,830
42,Labe_1555_btv1b86095588_42.xml,5,1,Ø,0.51,0.45,99.48,0.25,0.45,0.45,99.54,1093,0,5,0,1098,1093
43,Montenay_btv1b8609568n_35.xml,2,2,86,3.38,0.59,96.61,3.38,0.59,0.59,99.4,333,0,1,1,334,334
44,Sceve_1544_btv1b8609581h_47.xml,1,1,1,0.97,0.17,99.02,0.97,0.17,0.34,99.65,575,1,0,0,576,576
45,Tyard_1549_btv1b8617188p_41.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,568,0,0,0,568,568
46,desRoches_1585_bpt6k706947_6.xml,1,1,Ø,1.26,0.22,98.73,1.26,0.22,0.22,99.77,446,0,0,1,446,447
47,T_M_Daneau_1_Tim_C1_2012894.xml,5,6,Ø,3.19,0.43,96.8,2.92,0.43,0.6,99.39,1153,2,1,2,1156,1157
48,Aretius_1-Tim_page_00238.xml,4,5,Ø,2.82,0.34,97.17,2.54,0.34,0.59,99.4,1166,3,1,0,1170,1169
49,poetry_13982576.xml,27,27,Ø,13.63,2.07,86.36,13.13,2.07,3.51,96.48,1274,19,8,0,1301,1293
