,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,Guillet_1546_bpt6k3182270_95.xml,2,2,2,1.45,0.24,98.54,1.45,0.24,0.49,99.5,800,2,0,0,802,802
1,Sceve_1544_btv1b8609581h_5.xml,4,5,Ø,20.83,2.87,79.16,18.75,2.85,3.57,96.42,136,1,2,1,139,138
2,Apologia_1534_77_6fdbc_default.xml,9,5,Ø,2.9,0.81,97.09,2.61,0.81,1.17,98.82,1100,4,2,3,1106,1107
3,Tyard_1549_btv1b8617188p_90.xml,2,2,112,1.72,0.3,98.27,1.72,0.3,0.3,99.69,658,0,1,1,659,659
4,desAutels_1550_bpt6k15272172_17.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,824,0,0,0,824,824
5,Apologia_1534_36_6c6d4_default.xml,14,11,Ø,5.67,1.02,94.32,5.15,1.02,1.16,98.83,1357,2,11,1,1370,1360
6,Tyard_1549_btv1b8617188p_34.xml,3,2,Ø,1.52,0.39,98.47,1.14,0.39,0.39,99.6,754,0,2,1,756,755
7,Montenay_btv1b8609568n_133.xml,1,1,Ø,1.61,0.28,98.38,1.61,0.28,0.28,99.71,347,0,1,0,348,347
8,Labe_1555_btv1b86095588_122.xml,5,7,Ø,3.51,0.45,96.48,3.01,0.45,0.54,99.45,1101,1,4,0,1106,1102
9,desRoches_1585_bpt6k706947_32.xml,2,3,Ø,1.76,0.2,98.23,1.47,0.2,0.3,99.69,972,1,0,1,973,974
10,Labe_1555_btv1b86095588_53.xml,1,1,Ø,0.49,0.08,99.5,0.49,0.08,0.08,99.91,1136,0,0,1,1136,1137
11,Aretius_1-Tim_page_00076.xml,9,9,Ø,5.11,0.72,94.88,4.54,0.72,0.88,99.11,1234,2,6,1,1242,1237
12,Montenay_btv1b8609568n_93.xml,3,3,232,5.76,0.89,94.23,5.76,0.88,1.18,98.81,335,1,1,1,337,337
14,Liber_loquitur_1520_15_0caf1_default.xml,1,1,Ø,1.0,0.15,99.0,1.0,0.15,0.15,99.84,654,0,0,1,654,655
15,Marquets_1562_bpt6k1521180m_34.xml,5,5,Ø,4.9,0.88,95.09,4.9,0.87,1.22,98.77,564,2,0,3,566,569
16,Labe_1555_btv1b86095588_109.xml,21,6,Ø,2.89,1.79,97.1,1.69,1.79,1.79,98.2,1149,0,21,0,1170,1149
17,T_M_Daneau_1_Tim_C1_2012901.xml,11,7,Ø,3.91,0.92,96.08,3.63,0.92,1.26,98.73,1172,4,7,0,1183,1176
18,Labe_1555_btv1b86095588_64.xml,6,2,Ø,1.03,0.52,98.96,0.77,0.52,0.61,99.38,1137,1,5,0,1143,1138
19,Magny_1553_bpt6k8711906g_68.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1109,0,0,0,1109,1109
20,Marquets_1562_bpt6k1521180m_10.xml,1,1,1,0.86,0.14,99.13,0.86,0.14,0.29,99.7,676,1,0,0,677,677
21,Guillet_1546_bpt6k3182270_88.xml,2,2,Ø,1.44,0.24,98.55,1.44,0.24,0.37,99.62,808,1,1,0,810,809
22,Marquets_1562_bpt6k1521180m_45.xml,1,1,1,0.43,0.07,99.56,0.43,0.07,0.15,99.84,1266,1,0,0,1267,1267
23,Labe_1555_btv1b86095588_106.xml,35,21,Ø,9.9,3.0,90.09,9.43,3.0,3.69,96.3,1129,8,26,1,1163,1138
24,T_M_Daneau_1_Tim_C1_2012938.xml,3,3,Ø,1.18,0.19,98.81,1.18,0.19,0.31,99.68,1567,2,0,1,1569,1570
25,Sceve_1544_btv1b8609581h_65.xml,4,4,Ø,2.23,0.37,97.76,2.23,0.37,0.56,99.43,1054,2,0,2,1056,1058
26,desAutels_1550_bpt6k15272172_33.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,702,0,0,0,702,702
27,Apologia_1534_14_295a5_default.xml,4,2,Ø,1.0,0.29,99.0,1.0,0.29,0.37,99.62,1342,1,2,1,1345,1344
