,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,Bucer_Eph_b_72_9304e_default.xml,14,14,Ø,6.33,0.94,93.66,5.42,0.94,1.28,98.71,1464,5,9,0,1478,1469
1,Sceve_1544_btv1b8609581h_89.xml,5,5,Ø,2.87,0.5,97.12,2.87,0.5,0.81,99.18,978,3,0,2,981,983
2,Tyard_1549_btv1b8617188p_25.xml,2,1,287,0.81,0.28,99.18,0.81,0.28,0.28,99.71,693,0,1,1,694,694
4,T_M_Daneau_1_Tim_C2_2012996.xml,2,4,Ø,1.74,0.13,98.25,1.31,0.13,0.13,99.86,1441,0,0,2,1441,1443
5,Epigrammata_1520_35_6ad07_default.xml,1,2,Ø,1.61,0.12,98.38,1.2,0.12,0.12,99.87,798,0,1,0,799,798
6,Sceve_1544_btv1b8609581h_29.xml,4,4,201,2.2,0.4,97.79,2.2,0.4,0.6,99.39,985,2,1,1,988,988
7,desAutels_1550_bpt6k15272172_19.xml,2,2,Ø,1.22,0.21,98.77,1.22,0.21,0.32,99.67,909,1,0,1,910,911
8,Tyard_1549_btv1b8617188p_78.xml,6,6,Ø,4.25,0.8,95.74,3.9,0.8,1.07,98.92,739,2,1,3,742,744
9,Montenay_btv1b8609568n_79.xml,1,1,1,1.53,0.29,98.46,1.53,0.29,0.58,99.41,343,1,0,0,344,344
10,desAutels_1550_bpt6k15272172_60.xml,6,6,Ø,3.63,0.66,96.36,3.33,0.66,0.87,99.12,903,2,0,4,905,909
11,Apologia_1534_26_2ac30_default.xml,2,1,Ø,0.53,0.15,99.46,0.53,0.15,0.15,99.84,1289,0,2,0,1291,1289
12,Tyard_1549_btv1b8617188p_69.xml,2,2,2,1.55,0.28,98.44,1.55,0.28,0.57,99.42,695,2,0,0,697,697
13,Sceve_1544_btv1b8609581h_70.xml,3,2,59,1.12,0.29,98.87,1.12,0.29,0.39,99.6,1001,1,1,1,1003,1003
14,Bucer_Eph_b_81_c9c48_default.xml,11,12,Ø,5.35,0.74,94.64,5.13,0.74,0.87,99.12,1466,2,9,0,1477,1468
15,Apologia_1534_81_4af17_default.xml,19,12,Ø,6.12,1.63,93.87,5.61,1.63,2.66,97.33,1142,12,5,2,1159,1156
16,desAutels_1550_bpt6k15272172_31.xml,2,2,Ø,1.09,0.2,98.9,1.09,0.2,0.3,99.69,971,1,0,1,972,973
17,Montenay_btv1b8609568n_215.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,305,0,0,0,305,305
19,Montenay_btv1b8609568n_63.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,327,0,0,0,327,327
20,Montenay_btv1b8609568n_5.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,132,0,0,0,132,132
21,T_M_Daneau_1_Tim_C1_2012894.xml,5,6,Ø,3.19,0.43,96.8,2.92,0.43,0.6,99.39,1152,2,2,1,1156,1155
22,T_M_Daneau_1_Tim_C2_2012984.xml,8,10,Ø,4.46,0.52,95.53,3.79,0.52,0.72,99.27,1507,3,1,4,1511,1514
23,Montenay_btv1b8609568n_179.xml,1,1,Ø,1.72,0.29,98.27,1.72,0.29,0.29,99.7,339,0,0,1,339,340
25,desAutels_1550_bpt6k15272172_49.xml,3,3,Ø,2.14,0.39,97.85,2.14,0.38,0.38,99.61,767,0,0,3,767,770
26,Aphorismi_1519_0_2ba54_default.xml,2,2,Ø,2.81,0.41,97.18,2.81,0.41,0.62,99.37,481,1,0,1,482,483
27,Guillet_1546_bpt6k3182270_73.xml,3,3,Ø,3.4,0.62,96.59,3.4,0.62,0.62,99.37,479,0,0,3,479,482
28,Montenay_btv1b8609568n_181.xml,4,4,Ø,6.55,1.19,93.44,6.55,1.19,2.07,97.92,332,3,0,1,335,336
29,Marquets_1562_bpt6k1521180m_44.xml,18,18,Ø,8.29,1.42,91.7,7.37,1.41,1.72,98.27,1255,4,4,10,1263,1269
30,Megander_Eph_page_102.xml,4,4,Ø,3.27,0.53,96.72,2.86,0.52,0.66,99.33,752,1,0,3,753,756
31,T_M_Daneau_1_Tim_C1_2012927.xml,2,3,Ø,1.39,0.14,98.6,1.16,0.14,0.22,99.77,1360,1,1,0,1362,1361
33,Labe_1555_btv1b86095588_105.xml,12,10,Ø,4.92,1.07,95.07,4.67,1.07,1.86,98.13,1109,9,1,2,1119,1120
34,test_6289387.xml,5,5,Ø,2.52,0.4,97.47,2.52,0.4,0.73,99.26,1224,4,0,1,1228,1229
35,Tyard_1549_btv1b8617188p_27.xml,1,1,1,0.71,0.13,99.28,0.71,0.13,0.26,99.73,763,1,0,0,764,764
36,Bucer_Eph_b_62_cadb9_default.xml,12,15,Ø,6.75,0.82,93.24,5.63,0.82,0.96,99.03,1447,2,7,3,1456,1452
38,Apologia_1534_45_4c823_default.xml,7,5,Ø,2.8,0.53,97.19,2.52,0.53,0.53,99.46,1299,0,7,0,1306,1299
40,Montenay_btv1b8609568n_135.xml,3,3,Ø,5.45,0.93,94.54,5.45,0.92,0.92,99.07,321,0,1,2,322,323
41,desAutels_1550_bpt6k15272172_42.xml,2,2,Ø,1.12,0.21,98.87,1.12,0.2,0.31,99.68,951,1,0,1,952,953
42,Magny_1553_bpt6k8711906g_56.xml,5,5,Ø,2.67,0.45,97.32,2.67,0.45,0.45,99.54,1102,0,0,5,1102,1107
43,Apologia_1534_27_ff9f9_default.xml,5,3,Ø,1.54,0.38,98.45,1.54,0.38,0.45,99.54,1300,1,4,0,1305,1301
44,Montenay_btv1b8609568n_21.xml,4,4,Ø,7.01,1.24,92.98,7.01,1.23,1.53,98.46,321,1,0,3,322,325
47,Guillet_1546_bpt6k3182270_99.xml,3,2,473,1.33,0.37,98.66,1.33,0.37,0.5,99.49,795,1,1,1,797,797
48,Marquets_1562_bpt6k1521180m_27.xml,7,8,Ø,4.02,0.57,95.97,3.76,0.57,0.9,99.09,1209,4,0,3,1213,1216
49,Montenay_btv1b8609568n_159.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,322,0,0,0,322,322
50,Labe_1555_btv1b86095588_17.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,975,0,0,0,975,975
51,Sceve_1544_btv1b8609581h_43.xml,5,5,Ø,4.8,0.84,95.19,4.8,0.84,1.01,98.98,589,1,1,3,591,593
52,desRoches_1585_bpt6k706947_69.xml,7,7,Ø,5.51,0.94,94.48,5.51,0.94,1.48,98.51,734,4,0,3,738,741
53,T_M_Daneau_1_Tim_C2_2012961.xml,1,2,Ø,0.95,0.06,99.04,0.71,0.06,0.06,99.93,1459,0,1,0,1460,1459
54,Labe_1555_btv1b86095588_13.xml,1,1,1,0.81,0.14,99.18,0.81,0.14,0.27,99.72,713,1,0,0,714,714
55,Guillet_1546_bpt6k3182270_69.xml,5,5,Ø,5.88,1.08,94.11,5.88,1.07,1.29,98.7,459,1,0,4,460,464
57,Montenay_btv1b8609568n_83.xml,2,2,2,3.77,0.61,96.22,3.77,0.61,1.23,98.76,321,2,0,0,323,323
58,Sceve_1544_btv1b8609581h_73.xml,4,4,698,2.38,0.42,97.61,2.38,0.42,0.63,99.36,938,2,1,1,941,941
59,Guillet_1546_bpt6k3182270_20.xml,3,3,Ø,2.29,0.42,97.7,2.29,0.42,0.71,99.28,699,2,0,1,701,702
62,Apologia_1534_38_21492_default.xml,10,6,Ø,3.26,0.78,96.73,3.26,0.78,0.78,99.21,1259,0,10,0,1269,1259
63,desAutels_1550_bpt6k15272172_43.xml,2,2,Ø,1.3,0.22,98.69,1.3,0.22,0.34,99.65,874,1,0,1,875,876
64,Sceve_1544_btv1b8609581h_97.xml,3,2,Ø,1.19,0.31,98.8,0.89,0.31,0.31,99.68,940,0,2,1,942,941
65,Montenay_btv1b8609568n_7.xml,6,6,Ø,5.66,1.0,94.33,5.66,0.99,1.49,98.5,597,3,0,3,600,603
66,desRoches_1585_bpt6k706947_5.xml,4,4,Ø,3.36,0.57,96.63,3.36,0.57,0.71,99.28,697,1,3,0,701,698
67,Apologia_1534_80_94f42_default.xml,2,2,Ø,1.12,0.17,98.87,1.12,0.17,0.17,99.82,1132,0,0,2,1132,1134
69,desRoches_1585_bpt6k706947_24.xml,3,2,Ø,1.58,0.47,98.41,1.58,0.47,0.79,99.2,624,2,1,0,627,626
70,T_M_Daneau_1_Tim_C1_2012893.xml,3,3,Ø,1.79,0.26,98.2,1.79,0.26,0.34,99.65,1143,1,2,0,1146,1144
72,Apologia_1534_50_c0361_default.xml,1,2,Ø,1.04,0.07,98.95,0.78,0.07,0.07,99.92,1295,0,1,0,1296,1295
73,Guillet_1546_bpt6k3182270_61.xml,3,3,Ø,2.3,0.43,97.69,2.3,0.42,0.42,99.57,695,0,0,3,695,698
74,Tyard_1549_btv1b8617188p_56.xml,1,1,Ø,0.88,0.14,99.11,0.88,0.14,0.14,99.85,668,0,0,1,668,669
75,Magny_1553_bpt6k8711906g_15.xml,8,5,Ø,27.77,7.69,72.22,25.0,7.61,12.16,87.83,97,5,2,1,104,103
76,Montenay_btv1b8609568n_117.xml,5,5,Ø,7.81,1.65,92.18,7.81,1.63,2.28,97.71,301,2,0,3,303,306
77,T_M_Daneau_1_Tim_C2_2012969.xml,4,6,768,2.72,0.28,97.27,2.27,0.28,0.43,99.56,1381,2,1,1,1384,1384
78,Sceve_1544_btv1b8609581h_77.xml,5,6,Ø,3.35,0.5,96.64,3.07,0.5,0.6,99.39,981,1,1,3,983,985
79,Marquets_1562_bpt6k1521180m_12.xml,2,3,Ø,6.0,0.65,94.0,5.0,0.65,0.98,99.01,303,1,0,1,304,305
80,T_M_Daneau_1_Tim_C2_2012968.xml,3,2,Ø,0.96,0.21,99.03,0.96,0.21,0.36,99.63,1364,2,0,1,1366,1367
81,test_2013217.xml,8,13,Ø,5.75,0.56,94.24,4.64,0.56,0.63,99.36,1399,1,6,1,1406,1401
82,Guillet_1546_bpt6k3182270_46.xml,9,9,Ø,7.03,1.31,92.96,7.03,1.31,1.6,98.39,677,2,3,4,682,683
83,Tyard_1549_btv1b8617188p_20.xml,5,4,Ø,3.05,0.72,96.94,2.29,0.72,0.72,99.27,682,0,3,2,685,684
84,Montenay_btv1b8609568n_224.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,727,0,0,0,727,727
85,Guillet_1546_bpt6k3182270_94.xml,6,6,Ø,4.47,0.8,95.52,4.47,0.8,0.93,99.06,742,1,0,5,743,748
86,Aretius_1-Tim_page_00073.xml,5,4,Ø,2.64,0.46,97.35,2.64,0.46,0.65,99.34,1061,2,3,0,1066,1063
87,Apologia_1534_35_97fa2_default.xml,17,13,Ø,7.02,1.29,92.97,6.48,1.29,1.52,98.47,1295,3,14,0,1312,1298
88,Marquets_1562_bpt6k1521180m_16.xml,5,7,Ø,7.52,0.87,92.47,6.45,0.86,1.21,98.78,570,2,0,3,572,575
89,desRoches_1585_bpt6k706947_54.xml,5,5,647,4.13,0.73,95.86,3.71,0.73,0.88,99.11,675,1,2,2,678,678
90,Epigrammata_1520_17_ced85_default.xml,1,2,Ø,1.41,0.11,98.58,1.06,0.11,0.11,99.88,872,0,1,0,873,872
91,Montenay_btv1b8609568n_107.xml,1,1,Ø,1.61,0.28,98.38,1.61,0.28,0.28,99.71,345,0,0,1,345,346
92,Montenay_btv1b8609568n_37.xml,3,3,Ø,4.68,0.86,95.31,4.68,0.86,1.14,98.85,345,1,0,2,346,348
93,Labe_1555_btv1b86095588_101.xml,20,5,Ø,2.55,1.77,97.44,1.53,1.77,1.86,98.13,1105,1,19,0,1125,1106
94,Tyard_1549_btv1b8617188p_11.xml,1,1,Ø,1.09,0.2,98.9,1.09,0.2,0.2,99.79,477,0,1,0,478,477
95,Tyard_1549_btv1b8617188p_66.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,694,0,0,0,694,694
97,T_M_Daneau_1_Tim_C1_2012936.xml,6,7,Ø,2.94,0.39,97.05,2.31,0.39,0.46,99.53,1500,1,2,3,1503,1504
98,Apologia_1534_18_0f91d_default.xml,9,5,Ø,2.53,0.68,97.46,2.53,0.67,0.68,99.31,1315,0,8,1,1323,1316
99,Tyard_1549_btv1b8617188p_52.xml,2,2,2,2.53,0.44,97.46,2.53,0.44,0.89,99.1,443,2,0,0,445,445
100,T_M_Daneau_1_Tim_C1_2012935.xml,2,2,2,0.93,0.14,99.06,0.93,0.14,0.28,99.71,1385,2,0,0,1387,1387
101,Sceve_1544_btv1b8609581h_21.xml,4,4,Ø,2.18,0.4,97.81,2.18,0.4,0.5,99.49,993,1,0,3,994,997
102,desRoches_1585_bpt6k706947_41.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,981,0,0,0,981,981
103,Magny_1553_bpt6k8711906g_17.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1025,0,0,0,1025,1025
104,Epigrammata_1520_53_8f47b_default.xml,2,2,485,1.73,0.27,98.26,1.73,0.27,0.27,99.72,734,0,1,1,735,735
105,Montenay_btv1b8609568n_221.xml,7,6,Ø,4.58,0.97,95.41,4.58,0.96,1.24,98.75,718,2,0,5,720,725
106,desAutels_1550_bpt6k15272172_7.xml,1,1,Ø,1.17,0.22,98.82,1.17,0.22,0.22,99.77,447,0,0,1,447,448
107,Sceve_1544_btv1b8609581h_34.xml,9,10,Ø,5.43,0.91,94.56,4.89,0.9,1.21,98.78,982,3,2,4,987,989
108,Montenay_btv1b8609568n_225.xml,3,3,Ø,2.17,0.38,97.82,2.17,0.38,0.38,99.61,770,0,1,2,771,772
109,Epigrammata_1520_5_303bf_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,901,0,0,0,901,901
110,T_M_Daneau_1_Tim_C1_2012923.xml,2,3,Ø,1.28,0.13,98.71,0.85,0.13,0.13,99.86,1511,0,2,0,1513,1511
111,Montenay_btv1b8609568n_95.xml,3,3,Ø,5.45,0.97,94.54,5.45,0.96,0.96,99.03,307,0,0,3,307,310
112,test_2122892.xml,6,5,Ø,3.2,0.6,96.79,3.2,0.6,0.91,99.08,978,3,3,0,984,981
113,desRoches_1585_bpt6k706947_22.xml,4,5,Ø,3.44,0.47,96.55,3.1,0.47,0.59,99.4,839,1,1,2,841,842
115,Liber_loquitur_1520_15_0caf1_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,627,0,0,0,627,627
116,Apologia_1534_65_c2894_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1130,0,0,0,1130,1130
117,Marquets_1562_bpt6k1521180m_15.xml,2,2,Ø,1.52,0.26,98.47,1.52,0.26,0.26,99.73,747,0,0,2,747,749
118,Tyard_1549_btv1b8617188p_55.xml,4,4,Ø,3.05,0.54,96.94,3.05,0.53,0.8,99.19,738,2,0,2,740,742
119,desRoches_1585_bpt6k706947_34.xml,1,1,Ø,0.55,0.1,99.44,0.55,0.1,0.1,99.89,994,0,0,1,994,995
120,Labe_1555_btv1b86095588_37.xml,2,1,Ø,0.51,0.19,99.48,0.51,0.19,0.28,99.71,1039,1,0,1,1040,1041
121,Epigrammata_1520_29_680d5_default.xml,1,1,1,0.71,0.11,99.28,0.71,0.11,0.22,99.77,888,1,0,0,889,889
123,Guillet_1546_bpt6k3182270_80.xml,3,2,Ø,1.58,0.44,98.41,1.58,0.44,0.44,99.55,675,0,1,2,676,677
124,T_M_Daneau_1_Tim_C1_2012903.xml,6,6,Ø,3.46,0.52,96.53,3.17,0.52,0.61,99.38,1132,1,4,1,1137,1134
125,desAutels_1550_bpt6k15272172_8.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,883,0,0,0,883,883
126,Apologia_1534_20_5ff4e_default.xml,10,6,Ø,3.07,0.75,96.92,2.82,0.75,0.75,99.24,1321,0,10,0,1331,1321
127,desAutels_1550_bpt6k15272172_46.xml,3,3,Ø,2.18,0.4,97.81,2.18,0.4,0.4,99.59,740,0,0,3,740,743
128,desAutels_1550_bpt6k15272172_52.xml,3,3,Ø,2.54,0.45,97.45,2.54,0.45,0.61,99.38,652,1,0,2,653,655
129,Megander_Eph_page_105.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,755,0,0,0,755,755
130,Marquets_1562_bpt6k1521180m_34.xml,3,4,Ø,4.08,0.54,95.91,3.57,0.54,0.54,99.45,547,0,1,2,548,549
131,Apologia_1534_10_17511_default.xml,2,1,Ø,0.52,0.15,99.47,0.52,0.15,0.15,99.84,1297,0,2,0,1299,1297
132,Sceve_1544_btv1b8609581h_22.xml,9,7,Ø,4.32,0.94,95.67,4.01,0.94,1.36,98.63,945,4,0,5,949,954
133,Labe_1555_btv1b86095588_109.xml,20,7,Ø,3.51,1.78,96.48,2.26,1.78,1.86,98.13,1103,1,19,0,1123,1104
134,Magny_1553_bpt6k8711906g_52.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1011,0,0,0,1011,1011
