,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,Bucer_Eph_b_72_9304e_default.xml,18,18,Ø,7.92,1.18,92.07,7.04,1.17,1.76,98.23,1510,9,6,3,1525,1522
1,Sceve_1544_btv1b8609581h_89.xml,19,12,Ø,6.81,1.87,93.18,6.81,1.86,3.02,96.97,1001,12,0,7,1013,1020
2,Tyard_1549_btv1b8617188p_25.xml,6,4,Ø,3.2,0.81,96.79,3.2,0.81,1.22,98.77,729,3,1,2,733,734
4,T_M_Daneau_1_Tim_C2_2012996.xml,3,5,Ø,2.1,0.2,97.89,1.68,0.2,0.2,99.79,1495,0,0,3,1495,1498
5,Epigrammata_1520_35_6ad07_default.xml,5,4,Ø,3.22,0.59,96.77,2.82,0.59,0.83,99.16,831,2,1,2,834,835
6,Sceve_1544_btv1b8609581h_29.xml,6,5,Ø,2.71,0.58,97.28,2.71,0.58,1.06,98.93,1026,5,0,1,1031,1032
7,desAutels_1550_bpt6k15272172_19.xml,2,2,2,1.2,0.2,98.79,1.2,0.2,0.41,99.58,955,2,0,0,957,957
8,Tyard_1549_btv1b8617188p_78.xml,14,9,Ø,6.29,1.79,93.7,5.94,1.78,2.91,97.08,772,9,0,5,781,786
9,Montenay_btv1b8609568n_79.xml,1,1,1,1.49,0.28,98.5,1.49,0.28,0.55,99.44,356,1,0,0,357,357
10,desAutels_1550_bpt6k15272172_60.xml,6,6,Ø,3.61,0.63,96.38,3.31,0.63,1.05,98.94,937,4,0,2,941,943
11,Apologia_1534_26_2ac30_default.xml,1,1,Ø,0.52,0.07,99.47,0.52,0.07,0.07,99.92,1352,0,1,0,1353,1352
12,Tyard_1549_btv1b8617188p_69.xml,9,6,Ø,4.51,1.2,95.48,4.51,1.2,1.73,98.26,740,4,2,3,746,747
13,Sceve_1544_btv1b8609581h_70.xml,12,7,Ø,3.86,1.15,96.13,3.86,1.14,1.81,98.18,1035,7,0,5,1042,1047
14,Bucer_Eph_b_81_c9c48_default.xml,17,15,Ø,6.46,1.12,93.53,6.25,1.12,1.71,98.28,1497,9,6,2,1512,1508
15,Apologia_1534_81_4af17_default.xml,22,12,Ø,6.09,1.82,93.9,5.58,1.82,2.73,97.26,1183,11,9,2,1203,1196
16,desAutels_1550_bpt6k15272172_31.xml,4,3,Ø,1.6,0.39,98.39,1.6,0.39,0.69,99.3,1006,3,0,1,1009,1010
17,Montenay_btv1b8609568n_215.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,311,0,0,0,311,311
19,Montenay_btv1b8609568n_63.xml,1,1,Ø,1.81,0.29,98.18,1.81,0.29,0.29,99.7,341,0,0,1,341,342
20,Montenay_btv1b8609568n_5.xml,1,1,1,4.76,0.7,95.23,4.76,0.7,1.41,98.58,140,1,0,0,141,141
21,T_M_Daneau_1_Tim_C1_2012894.xml,29,14,Ø,7.29,2.39,92.7,7.03,2.37,3.58,96.41,1193,15,2,12,1210,1220
22,T_M_Daneau_1_Tim_C2_2012984.xml,9,11,Ø,4.64,0.56,95.35,4.0,0.56,0.75,99.24,1588,3,1,5,1592,1596
23,Montenay_btv1b8609568n_179.xml,1,1,1,1.69,0.28,98.3,1.69,0.28,0.57,99.42,349,1,0,0,350,350
25,desAutels_1550_bpt6k15272172_49.xml,5,4,Ø,2.79,0.62,97.2,2.79,0.62,1.11,98.88,799,4,0,1,803,804
26,Aphorismi_1519_0_2ba54_default.xml,4,3,Ø,4.22,0.79,95.77,4.22,0.79,1.38,98.61,501,3,0,1,504,505
27,Guillet_1546_bpt6k3182270_73.xml,3,3,Ø,3.37,0.59,96.62,3.37,0.59,0.99,99.0,499,2,0,1,501,502
28,Montenay_btv1b8609568n_181.xml,4,4,4,6.34,1.15,93.65,6.34,1.15,2.29,97.7,342,4,0,0,346,346
29,Marquets_1562_bpt6k1521180m_44.xml,22,22,938,9.48,1.65,90.51,8.62,1.64,2.39,97.6,1313,10,6,6,1329,1329
30,Megander_Eph_page_102.xml,10,9,Ø,7.14,1.26,92.85,6.34,1.25,1.88,98.11,785,5,0,5,790,795
31,T_M_Daneau_1_Tim_C1_2012927.xml,2,3,Ø,1.27,0.13,98.72,1.06,0.13,0.2,99.79,1432,1,1,0,1434,1433
33,Labe_1555_btv1b86095588_105.xml,14,12,Ø,5.74,1.2,94.25,5.5,1.2,2.13,97.86,1152,11,2,1,1165,1164
34,test_6289387.xml,11,7,Ø,3.41,0.84,96.58,3.41,0.84,1.38,98.61,1288,7,0,4,1295,1299
35,Tyard_1549_btv1b8617188p_27.xml,17,8,Ø,5.67,2.1,94.32,5.67,2.08,3.17,96.82,800,9,0,8,809,817
36,Bucer_Eph_b_62_cadb9_default.xml,59,31,Ø,13.65,3.92,86.34,12.11,3.85,5.52,94.47,1473,26,5,28,1504,1527
38,Apologia_1534_45_4c823_default.xml,4,5,Ø,2.76,0.29,97.23,2.48,0.29,0.29,99.7,1371,0,4,0,1375,1371
40,Montenay_btv1b8609568n_135.xml,3,3,Ø,5.26,0.89,94.73,5.26,0.89,1.48,98.51,334,2,1,0,337,336
41,desAutels_1550_bpt6k15272172_42.xml,2,2,2,1.12,0.2,98.87,1.12,0.2,0.39,99.6,997,2,0,0,999,999
42,Magny_1553_bpt6k8711906g_56.xml,5,5,5,2.63,0.43,97.36,2.63,0.43,0.87,99.12,1140,5,0,0,1145,1145
43,Apologia_1534_27_ff9f9_default.xml,3,3,Ø,1.53,0.21,98.46,1.53,0.21,0.29,99.7,1363,1,2,0,1366,1364
44,Montenay_btv1b8609568n_21.xml,4,4,Ø,6.89,1.19,93.1,6.89,1.18,1.77,98.22,333,2,0,2,335,337
47,Guillet_1546_bpt6k3182270_99.xml,10,7,Ø,4.57,1.2,95.42,4.57,1.19,1.78,98.21,827,5,1,4,833,836
