,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,Epigrammata_1520_2_4bf64_default.xml,23,11,Ø,68.75,19.65,31.25,62.5,19.16,28.83,71.16,97,13,7,3,117,113
1,Apologia_1534_4_93d6d_default.xml,8,7,Ø,20.58,3.26,79.41,19.11,3.26,4.07,95.92,237,2,6,0,245,239
2,Apologia_1534_82_24d8f_default.xml,17,20,Ø,10.92,1.43,89.07,9.56,1.42,2.42,97.57,1172,12,4,1,1188,1185
3,Epigrammata_1520_45_b007d_default.xml,13,15,Ø,11.71,1.52,88.28,10.15,1.51,1.98,98.01,845,4,5,4,854,853
4,Epigrammata_1520_10_1dff8_default.xml,7,8,Ø,6.77,0.87,93.22,5.93,0.87,1.24,98.75,797,3,4,0,804,800
5,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_14.xml,7,6,Ø,2.83,0.5,97.16,2.59,0.5,0.57,99.42,1375,1,5,1,1381,1377
6,In_Fabrum_1526_0_cbb1c_default.xml,163,42,Ø,37.5,20.22,62.5,33.92,20.0,34.64,65.35,652,146,8,9,806,807
7,Apologia_1534_10_17511_default.xml,37,37,Ø,19.07,2.76,80.92,17.26,2.75,4.14,95.85,1307,19,14,4,1340,1330
8,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_19.xml,26,23,Ø,10.4,1.84,89.59,9.04,1.83,2.74,97.25,1389,13,10,3,1412,1405
9,Apologia_1534_25_bad3e_default.xml,43,42,Ø,21.42,3.16,78.57,20.15,3.15,4.67,95.32,1319,21,17,5,1357,1345
10,Ad_Leonem_1514_5_03975_default.xml,13,13,Ø,8.72,1.33,91.27,8.05,1.33,2.14,97.85,962,8,3,2,973,972
11,Apologia_1534_66_d33e2_default.xml,35,32,Ø,16.93,2.93,83.06,15.07,2.92,4.49,95.5,1160,19,12,4,1191,1183
12,Ad_Sodales_1518_00000174.xml,22,22,Ø,15.94,2.36,84.05,15.21,2.35,3.52,96.47,911,11,9,2,931,924
14,Apologia_1534_53_7214b_default.xml,53,50,Ø,26.17,4.04,73.82,24.08,4.03,6.33,93.66,1262,31,17,5,1310,1298
15,Apologia_1534_7_e3215_default.xml,37,35,Ø,18.04,2.81,81.95,17.26,2.8,4.38,95.61,1280,21,13,3,1314,1304
