,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,Epigrammata_1520_2_4bf64_default.xml,23,11,Ø,68.75,19.82,31.25,62.5,19.32,29.06,70.93,96,13,7,3,116,112
1,Apologia_1534_4_93d6d_default.xml,9,7,Ø,20.58,3.64,79.41,19.11,3.64,4.04,95.95,238,1,8,0,247,239
2,Apologia_1534_82_24d8f_default.xml,16,19,Ø,10.38,1.33,89.61,9.01,1.33,2.0,97.99,1181,8,6,2,1195,1191
3,Epigrammata_1520_45_b007d_default.xml,7,11,Ø,8.59,0.81,91.4,7.03,0.81,0.92,99.07,855,1,4,2,860,858
4,Epigrammata_1520_10_1dff8_default.xml,7,7,Ø,5.93,0.87,94.06,5.08,0.87,0.99,99.0,797,1,6,0,804,798
5,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_14.xml,2,2,Ø,0.94,0.14,99.05,0.7,0.14,0.14,99.85,1379,0,2,0,1381,1379
6,In_Fabrum_1526_0_cbb1c_default.xml,119,41,Ø,36.6,14.7,63.39,33.03,14.56,24.53,75.46,698,92,19,8,809,798
7,Apologia_1534_10_17511_default.xml,32,30,Ø,15.46,2.38,84.53,13.65,2.37,3.26,96.73,1314,12,15,5,1341,1331
8,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_19.xml,17,16,Ø,7.23,1.2,92.76,5.88,1.2,1.76,98.23,1395,8,6,3,1409,1406
9,Apologia_1534_25_bad3e_default.xml,41,35,Ø,17.85,3.05,82.14,16.58,3.02,3.54,96.45,1316,7,21,13,1344,1336
10,Ad_Leonem_1514_5_03975_default.xml,11,10,Ø,6.71,1.13,93.28,6.37,1.13,1.74,98.25,962,6,2,3,970,971
11,Apologia_1534_66_d33e2_default.xml,32,31,Ø,16.4,2.69,83.59,14.55,2.67,3.5,96.49,1166,10,13,9,1189,1185
12,Ad_Sodales_1518_00000174.xml,15,16,Ø,11.59,1.61,88.4,10.86,1.61,2.25,97.74,915,6,7,2,928,923
14,Apologia_1534_53_7214b_default.xml,51,44,Ø,23.03,3.91,76.96,21.2,3.87,5.6,94.39,1264,23,17,11,1304,1298
15,Apologia_1534_7_e3215_default.xml,37,31,Ø,15.97,2.82,84.02,15.2,2.81,3.57,96.42,1279,10,20,7,1309,1296
16,Apologia_1534_59_33b44_default.xml,20,20,Ø,11.83,1.74,88.16,10.94,1.73,2.43,97.56,1131,8,4,8,1143,1147
17,Aphorismi_1519_0_2ba54_default.xml,5,5,Ø,7.04,0.99,92.95,6.33,0.98,1.77,98.22,501,4,0,1,505,506
18,Apologia_1534_17_bee9f_default.xml,24,18,Ø,8.91,1.74,91.08,8.66,1.73,2.02,97.97,1362,4,9,11,1375,1377
19,Epigrammata_1520_32_0ccc5_default.xml,7,8,Ø,5.06,0.76,94.93,4.11,0.76,0.98,99.01,906,2,3,2,911,910
20,Apologia_1534_72_44a88_default.xml,24,21,Ø,12.06,2.07,87.93,11.49,2.06,2.83,97.16,1139,9,10,5,1158,1153
21,Apologia_1534_80_94f42_default.xml,29,25,Ø,14.04,2.48,85.95,12.92,2.46,3.39,96.6,1149,11,8,10,1168,1170
22,Epigrammata_1520_34_57220_default.xml,17,20,Ø,13.79,1.83,86.2,11.72,1.82,2.46,97.53,915,6,7,4,928,925
23,Apologia_1534_44_745b2_default.xml,36,26,1036,13.54,2.65,86.45,12.5,2.62,3.21,96.78,1334,8,14,14,1356,1356
24,Epigrammata_1520_29_680d5_default.xml,20,19,Ø,13.47,2.18,86.52,12.05,2.16,2.92,97.07,904,7,5,8,916,919
25,Epigrammata_1520_46_f31e3_default.xml,11,18,Ø,12.16,1.16,87.83,9.79,1.16,1.48,98.51,932,3,8,0,943,935
26,Apologia_1534_64_c564d_default.xml,26,22,Ø,12.08,2.2,87.91,11.26,2.19,3.11,96.88,1161,11,7,8,1179,1180
27,Apologia_1534_50_c0361_default.xml,23,26,Ø,13.54,1.72,86.45,12.23,1.72,2.31,97.68,1314,8,13,2,1335,1324
28,Liber_loquitur_1520_15_0caf1_default.xml,6,6,Ø,6.0,0.91,94.0,6.0,0.91,1.37,98.62,650,3,1,2,654,655
29,Epigrammata_1520_55_5090d_default.xml,7,9,Ø,8.91,0.99,91.08,6.93,0.99,1.27,98.72,698,2,4,1,704,701
30,Bucer_1530_Bucer_1530.xml,32,25,Ø,19.68,3.72,80.31,17.32,3.71,5.87,94.12,830,19,10,3,859,852
31,Apologia_1534_89_ddfff_default.xml,42,41,Ø,23.83,4.23,76.16,19.47,4.22,5.81,94.18,951,16,24,2,991,969
32,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_15.xml,5,5,Ø,2.45,0.35,97.54,2.45,0.35,0.5,99.49,1387,2,0,3,1389,1392
33,Apologia_1534_35_97fa2_default.xml,44,40,Ø,21.39,3.24,78.6,19.78,3.21,4.02,95.97,1325,11,20,13,1356,1349
34,Apologia_1534_38_21492_default.xml,37,35,Ø,18.13,2.77,81.86,16.83,2.76,3.66,96.33,1299,12,20,5,1331,1316
35,Epigrammata_1520_59_e1ba8_default.xml,15,10,Ø,10.3,2.1,89.69,8.76,2.08,2.64,97.35,703,4,5,6,712,713
36,Apologia_1534_73_b0927_default.xml,16,17,Ø,9.44,1.35,90.55,8.88,1.34,1.84,98.15,1173,6,4,6,1183,1185
37,Apologia_1534_16_ecc71_default.xml,35,31,Ø,15.57,2.57,84.42,13.06,2.55,3.07,96.92,1335,7,16,12,1358,1354
38,Apologia_1534_91_07954_default.xml,3,4,Ø,25.0,3.0,75.0,21.87,3.0,3.98,96.01,97,1,2,0,100,98
39,Epigrammata_1520_9_989dd_default.xml,5,5,Ø,4.31,0.61,95.68,3.87,0.61,0.98,99.01,809,3,2,0,814,812
40,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_23.xml,7,9,1002,4.36,0.49,95.63,3.88,0.49,0.71,99.28,1398,3,2,2,1403,1403
41,Apologia_1534_62_4300c_default.xml,21,21,Ø,11.93,1.84,88.06,11.07,1.82,2.35,97.64,1128,6,7,8,1141,1142
42,Epigrammata_1520_39_bbe26_default.xml,14,18,Ø,12.76,1.55,87.23,9.92,1.54,1.65,98.34,893,1,8,5,902,899
43,Apologia_1534_68_2f81f_default.xml,21,19,Ø,10.38,1.8,89.61,10.1,1.79,2.13,97.86,1152,4,7,10,1163,1166
