,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,Epigrammata_1520_2_4bf64_default.xml,8,3,Ø,18.75,7.07,81.25,18.75,7.01,11.21,88.78,106,5,2,1,113,112
1,Apologia_1534_4_93d6d_default.xml,6,4,181,11.76,2.56,88.23,11.76,2.53,2.54,97.45,231,0,3,3,234,234
2,Apologia_1534_82_24d8f_default.xml,2,2,Ø,1.11,0.17,98.88,1.11,0.17,0.26,99.73,1151,1,1,0,1153,1152
3,Epigrammata_1520_45_b007d_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,828,0,0,0,828,828
4,Epigrammata_1520_10_1dff8_default.xml,2,1,Ø,0.86,0.25,99.13,0.86,0.25,0.25,99.74,771,0,2,0,773,771
5,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_14.xml,2,1,Ø,0.48,0.14,99.51,0.48,0.14,0.22,99.77,1335,1,1,0,1337,1336
6,In_Fabrum_1526_0_cbb1c_default.xml,20,12,Ø,10.81,2.55,89.18,10.36,2.55,3.94,96.05,763,11,8,1,782,775
7,Apologia_1534_10_17511_default.xml,5,4,Ø,2.11,0.38,97.88,1.85,0.38,0.38,99.61,1294,0,5,0,1299,1294
8,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_19.xml,4,0,Ø,0.0,0.29,100.0,0.0,0.29,0.29,99.7,1364,0,4,0,1368,1364
9,Apologia_1534_25_bad3e_default.xml,4,2,Ø,1.05,0.3,98.94,1.05,0.3,0.3,99.69,1292,0,4,0,1296,1292
10,Ad_Leonem_1514_5_03975_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,932,0,0,0,932,932
11,Apologia_1534_66_d33e2_default.xml,2,1,Ø,0.53,0.17,99.46,0.53,0.17,0.26,99.73,1148,1,1,0,1150,1149
12,Ad_Sodales_1518_00000174.xml,3,3,703,2.22,0.33,97.77,2.22,0.33,0.45,99.54,883,1,1,1,885,885
14,Apologia_1534_53_7214b_default.xml,12,9,Ø,4.86,0.95,95.13,4.59,0.95,1.11,98.88,1247,2,8,2,1257,1251
15,Apologia_1534_7_e3215_default.xml,12,7,Ø,3.7,0.94,96.29,3.43,0.94,1.02,98.97,1253,1,10,1,1264,1255
16,Apologia_1534_59_33b44_default.xml,1,1,Ø,0.6,0.09,99.39,0.6,0.09,0.09,99.9,1103,0,0,1,1103,1104
17,Aphorismi_1519_0_2ba54_default.xml,3,4,321,5.63,0.62,94.36,4.92,0.62,0.82,99.17,480,1,1,1,482,482
18,Apologia_1534_17_bee9f_default.xml,6,4,Ø,1.99,0.45,98.0,1.99,0.45,0.45,99.54,1326,0,4,2,1330,1328
19,Epigrammata_1520_32_0ccc5_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,871,0,0,0,871,871
20,Apologia_1534_72_44a88_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1117,0,0,0,1117,1117
21,Apologia_1534_80_94f42_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1132,0,0,0,1132,1132
22,Epigrammata_1520_34_57220_default.xml,1,2,Ø,1.37,0.11,98.62,1.03,0.11,0.11,99.88,897,0,1,0,898,897
23,Apologia_1534_44_745b2_default.xml,4,2,Ø,1.05,0.3,98.94,1.05,0.3,0.3,99.69,1315,0,4,0,1319,1315
24,Epigrammata_1520_29_680d5_default.xml,1,1,Ø,0.71,0.11,99.28,0.71,0.11,0.11,99.88,888,0,1,0,889,888
25,Epigrammata_1520_46_f31e3_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,905,0,0,0,905,905
26,Apologia_1534_64_c564d_default.xml,2,1,531,0.56,0.17,99.43,0.56,0.17,0.17,99.82,1142,0,1,1,1143,1143
27,Apologia_1534_50_c0361_default.xml,5,5,Ø,2.61,0.38,97.38,2.35,0.38,0.38,99.61,1293,0,3,2,1296,1295
28,Liber_loquitur_1520_15_0caf1_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,627,0,0,0,627,627
29,Epigrammata_1520_55_5090d_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,677,0,0,0,677,677
