,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,Epigrammata_1520_2_4bf64_default.xml,8,3,Ø,18.75,6.89,81.25,18.75,6.83,10.93,89.06,109,5,2,1,116,115
1,Apologia_1534_4_93d6d_default.xml,6,4,Ø,11.76,2.42,88.23,11.76,2.4,2.81,97.18,243,1,3,2,247,246
2,Apologia_1534_82_24d8f_default.xml,2,2,Ø,1.09,0.16,98.9,1.09,0.16,0.25,99.74,1193,1,1,0,1195,1194
3,Epigrammata_1520_45_b007d_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,860,0,0,0,860,860
4,Epigrammata_1520_10_1dff8_default.xml,2,1,Ø,0.84,0.24,99.15,0.84,0.24,0.24,99.75,802,0,2,0,804,802
5,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_14.xml,2,1,Ø,0.47,0.14,99.52,0.47,0.14,0.21,99.78,1379,1,1,0,1381,1380
6,In_Fabrum_1526_0_cbb1c_default.xml,20,12,Ø,10.71,2.47,89.28,10.26,2.47,3.93,96.06,789,12,8,0,809,801
7,Apologia_1534_10_17511_default.xml,5,4,Ø,2.06,0.37,97.93,1.8,0.37,0.37,99.62,1336,0,5,0,1341,1336
8,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_19.xml,4,8,Ø,3.61,0.28,96.38,2.71,0.28,0.28,99.71,1405,0,4,0,1409,1405
9,Apologia_1534_25_bad3e_default.xml,4,2,Ø,1.02,0.29,98.97,1.02,0.29,0.29,99.7,1340,0,4,0,1344,1340
10,Ad_Leonem_1514_5_03975_default.xml,1,1,1,0.67,0.1,99.32,0.67,0.1,0.2,99.79,969,1,0,0,970,970
11,Apologia_1534_66_d33e2_default.xml,2,1,Ø,0.52,0.16,99.47,0.52,0.16,0.25,99.74,1187,1,1,0,1189,1188
12,Ad_Sodales_1518_00000174.xml,4,4,740,2.89,0.43,97.1,2.89,0.43,0.64,99.35,925,2,1,1,928,928
14,Apologia_1534_53_7214b_default.xml,12,9,Ø,4.71,0.92,95.28,4.45,0.91,1.14,98.85,1293,3,8,1,1304,1297
15,Apologia_1534_7_e3215_default.xml,12,7,Ø,3.6,0.91,96.39,3.35,0.91,0.99,99.0,1298,1,10,1,1309,1300
16,Apologia_1534_59_33b44_default.xml,2,2,720,1.18,0.17,98.81,1.18,0.17,0.17,99.82,1142,0,1,1,1143,1143
17,Aphorismi_1519_0_2ba54_default.xml,3,4,334,5.63,0.59,94.36,4.92,0.59,0.79,99.2,503,1,1,1,505,505
18,Apologia_1534_17_bee9f_default.xml,6,4,Ø,1.98,0.43,98.01,1.98,0.43,0.5,99.49,1370,1,4,1,1375,1372
19,Epigrammata_1520_32_0ccc5_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,911,0,0,0,911,911
20,Apologia_1534_72_44a88_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1158,0,0,0,1158,1158
21,Apologia_1534_80_94f42_default.xml,1,1,Ø,0.56,0.08,99.43,0.56,0.08,0.08,99.91,1167,0,1,0,1168,1167
22,Epigrammata_1520_34_57220_default.xml,2,3,Ø,2.06,0.21,97.93,1.72,0.21,0.32,99.67,926,1,1,0,928,927
23,Apologia_1534_44_745b2_default.xml,4,2,Ø,1.04,0.29,98.95,1.04,0.29,0.29,99.7,1352,0,4,0,1356,1352
24,Epigrammata_1520_29_680d5_default.xml,3,3,530,2.12,0.32,97.87,2.12,0.32,0.43,99.56,914,1,1,1,916,916
25,Epigrammata_1520_46_f31e3_default.xml,1,1,1,0.67,0.1,99.32,0.67,0.1,0.21,99.78,942,1,0,0,943,943
26,Apologia_1534_64_c564d_default.xml,2,3,550,1.64,0.16,98.35,1.37,0.16,0.16,99.83,1178,0,1,1,1179,1179
27,Apologia_1534_50_c0361_default.xml,5,5,Ø,2.6,0.37,97.39,2.34,0.37,0.44,99.55,1331,1,3,1,1335,1333
28,Liber_loquitur_1520_15_0caf1_default.xml,1,1,Ø,1.0,0.15,99.0,1.0,0.15,0.15,99.84,654,0,0,1,654,655
29,Epigrammata_1520_55_5090d_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,704,0,0,0,704,704
30,Bucer_1530_Bucer_1530.xml,12,10,Ø,7.87,1.39,92.12,7.48,1.39,2.2,97.79,849,7,3,2,859,858
31,Apologia_1534_89_ddfff_default.xml,13,12,Ø,6.97,1.31,93.02,6.39,1.3,2.0,97.99,980,7,4,2,991,989
32,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_15.xml,1,1,Ø,0.49,0.07,99.5,0.49,0.07,0.07,99.92,1389,0,0,1,1389,1390
33,Apologia_1534_35_97fa2_default.xml,13,8,Ø,4.27,0.95,95.72,4.01,0.95,0.95,99.04,1343,0,13,0,1356,1343
34,Apologia_1534_38_21492_default.xml,8,5,Ø,2.59,0.6,97.4,2.59,0.6,0.6,99.39,1323,0,8,0,1331,1323
35,Epigrammata_1520_59_e1ba8_default.xml,2,2,2,2.06,0.28,97.93,2.06,0.28,0.56,99.43,710,2,0,0,712,712
36,Apologia_1534_73_b0927_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1183,0,0,0,1183,1183
37,Apologia_1534_16_ecc71_default.xml,3,4,Ø,2.01,0.22,97.98,1.75,0.22,0.36,99.63,1355,2,1,0,1358,1357
38,Apologia_1534_91_07954_default.xml,1,1,1,6.25,1.0,93.75,6.25,1.0,1.99,98.0,99,1,0,0,100,100
39,Epigrammata_1520_9_989dd_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,814,0,0,0,814,814
40,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_23.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1403,0,0,0,1403,1403
41,Apologia_1534_62_4300c_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1141,0,0,0,1141,1141
42,Epigrammata_1520_39_bbe26_default.xml,2,3,Ø,2.12,0.22,97.87,1.77,0.22,0.22,99.77,902,0,0,2,902,904
43,Apologia_1534_68_2f81f_default.xml,1,2,Ø,1.09,0.08,98.9,0.81,0.08,0.08,99.91,1162,0,1,0,1163,1162
44,Apologia_1534_58_f831b_default.xml,5,3,Ø,2.12,0.53,97.87,2.12,0.53,0.64,99.35,930,1,4,0,935,931
45,Epigrammata_1520_47_87b75_default.xml,3,3,Ø,2.39,0.36,97.59,1.6,0.36,0.36,99.63,811,0,0,3,811,814
