,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,Epigrammata_1520_2_4bf64_default.xml,9,3,19,18.75,7.89,81.25,18.75,7.75,11.9,88.09,107,5,2,2,114,114
1,Apologia_1534_4_93d6d_default.xml,4,4,180,11.76,1.72,88.23,11.76,1.7,1.71,98.28,230,0,2,2,232,232
2,Apologia_1534_82_24d8f_default.xml,3,3,Ø,1.66,0.26,98.33,1.66,0.26,0.43,99.56,1143,2,1,0,1146,1145
3,Epigrammata_1520_45_b007d_default.xml,4,2,Ø,1.58,0.48,98.41,1.58,0.48,0.72,99.27,820,2,0,2,822,824
4,Epigrammata_1520_10_1dff8_default.xml,4,2,554,1.72,0.51,98.27,1.72,0.51,0.77,99.22,770,2,1,1,773,773
5,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_14.xml,4,2,303,0.96,0.29,99.03,0.96,0.29,0.44,99.55,1334,2,1,1,1337,1337
6,In_Fabrum_1526_0_cbb1c_default.xml,78,24,Ø,21.62,10.01,78.37,21.17,9.66,14.93,85.06,729,45,5,28,779,802
7,Apologia_1534_10_17511_default.xml,4,5,Ø,2.64,0.3,97.35,2.38,0.3,0.3,99.69,1294,0,4,0,1298,1294
8,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_19.xml,10,3,Ø,1.43,0.72,98.56,1.43,0.72,0.94,99.05,1364,3,4,3,1371,1370
9,Apologia_1534_25_bad3e_default.xml,3,3,Ø,1.57,0.22,98.42,1.57,0.22,0.22,99.77,1307,0,2,1,1309,1308
10,Ad_Leonem_1514_5_03975_default.xml,1,1,Ø,0.67,0.1,99.32,0.67,0.1,0.1,99.89,934,0,1,0,935,934
11,Apologia_1534_66_d33e2_default.xml,2,1,Ø,0.53,0.17,99.46,0.53,0.17,0.26,99.73,1150,1,1,0,1152,1151
12,Ad_Sodales_1518_00000174.xml,9,8,14,5.92,1.01,94.07,5.92,1.01,1.79,98.2,880,7,1,1,888,888
14,Apologia_1534_53_7214b_default.xml,8,9,Ø,4.86,0.63,95.13,4.59,0.63,0.79,99.2,1257,2,4,2,1263,1261
15,Apologia_1534_7_e3215_default.xml,11,9,Ø,4.76,0.86,95.23,4.49,0.86,1.1,98.89,1261,3,5,3,1269,1267
16,Apologia_1534_59_33b44_default.xml,4,3,Ø,1.82,0.36,98.17,1.82,0.35,0.44,99.55,1110,1,0,3,1111,1114
17,Aphorismi_1519_0_2ba54_default.xml,5,5,Ø,7.04,1.03,92.95,6.33,1.03,1.44,98.55,478,2,1,2,481,482
18,Apologia_1534_17_bee9f_default.xml,5,4,559,1.99,0.37,98.0,1.99,0.37,0.44,99.55,1337,1,2,2,1340,1340
19,Epigrammata_1520_32_0ccc5_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,882,0,0,0,882,882
20,Apologia_1534_72_44a88_default.xml,1,1,Ø,0.59,0.08,99.4,0.59,0.08,0.08,99.91,1114,0,1,0,1115,1114
21,Apologia_1534_80_94f42_default.xml,2,2,Ø,1.12,0.17,98.87,1.12,0.17,0.26,99.73,1133,1,1,0,1135,1134
22,Epigrammata_1520_34_57220_default.xml,5,4,Ø,2.75,0.55,97.24,2.41,0.55,0.77,99.22,898,2,1,2,901,902
23,Apologia_1534_44_745b2_default.xml,3,3,Ø,1.57,0.22,98.42,1.57,0.22,0.22,99.77,1334,0,2,1,1336,1335
24,Epigrammata_1520_29_680d5_default.xml,1,1,Ø,0.71,0.11,99.28,0.71,0.11,0.11,99.88,890,0,1,0,891,890
25,Epigrammata_1520_46_f31e3_default.xml,2,1,Ø,0.67,0.22,99.32,0.67,0.22,0.33,99.66,905,1,0,1,906,907
26,Apologia_1534_64_c564d_default.xml,3,1,535,0.56,0.26,99.43,0.56,0.26,0.34,99.65,1142,1,1,1,1144,1144
27,Apologia_1534_50_c0361_default.xml,6,7,632,3.66,0.46,96.33,3.4,0.46,0.62,99.37,1280,2,2,2,1284,1284
28,Liber_loquitur_1520_15_0caf1_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,631,0,0,0,631,631
29,Epigrammata_1520_55_5090d_default.xml,2,1,Ø,1.01,0.29,98.98,1.01,0.29,0.44,99.55,676,1,0,1,677,678
30,Bucer_1530_Bucer_1530.xml,16,12,787,9.59,1.93,90.4,9.19,1.93,3.12,96.87,813,10,3,3,826,826
31,Apologia_1534_89_ddfff_default.xml,11,8,598,4.73,1.18,95.26,4.43,1.17,1.7,98.29,924,5,3,3,932,932
32,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_15.xml,3,2,Ø,0.99,0.22,99.0,0.99,0.22,0.29,99.7,1358,1,0,2,1359,1361
33,Apologia_1534_35_97fa2_default.xml,8,9,Ø,4.86,0.6,95.13,4.59,0.6,0.6,99.39,1314,0,8,0,1322,1314
34,Apologia_1534_38_21492_default.xml,5,5,Ø,2.71,0.39,97.28,2.71,0.39,0.39,99.6,1262,0,5,0,1267,1262
35,Epigrammata_1520_59_e1ba8_default.xml,2,2,2,2.08,0.29,97.91,2.08,0.29,0.58,99.41,682,2,0,0,684,684
36,Apologia_1534_73_b0927_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1134,0,0,0,1134,1134
37,Apologia_1534_16_ecc71_default.xml,3,4,171,2.09,0.22,97.9,1.83,0.22,0.3,99.69,1319,1,1,1,1321,1321
38,Apologia_1534_91_07954_default.xml,1,1,1,6.25,1.03,93.75,6.25,1.03,2.05,97.94,96,1,0,0,97,97
39,Epigrammata_1520_9_989dd_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,777,0,0,0,777,777
40,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_23.xml,2,1,Ø,0.5,0.14,99.49,0.5,0.14,0.22,99.77,1347,1,0,1,1348,1349
41,Apologia_1534_62_4300c_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1101,0,0,0,1101,1101
42,Epigrammata_1520_39_bbe26_default.xml,3,4,Ø,2.85,0.34,97.14,2.5,0.34,0.45,99.54,877,1,0,2,878,880
43,Apologia_1534_68_2f81f_default.xml,1,2,Ø,1.11,0.08,98.88,0.83,0.08,0.08,99.91,1126,0,1,0,1127,1126
44,Apologia_1534_58_f831b_default.xml,3,3,Ø,2.14,0.33,97.85,2.14,0.33,0.44,99.55,901,1,2,0,904,902
45,Epigrammata_1520_47_87b75_default.xml,7,5,Ø,4.03,0.88,95.96,3.22,0.88,1.13,98.86,788,2,0,5,790,795
46,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_18.xml,13,7,Ø,3.41,0.95,96.58,3.41,0.95,1.39,98.6,1351,6,0,7,1357,1364
47,Ad_Sodales_1518_00000175.xml,5,5,Ø,3.67,0.56,96.32,3.67,0.56,1.01,98.98,881,4,1,0,886,885
48,poetry_13982576.xml,29,28,Ø,14.14,2.21,85.85,13.63,2.21,4.01,95.98,1280,24,5,0,1309,1304
