,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,2012886.xml,18,18,576,17.47,2.51,82.52,16.01,2.5,4.14,95.85,702,12,3,3,717,717
1,2012995.xml,9,8,Ø,3.86,0.63,96.13,3.86,0.63,1.05,98.94,1406,6,2,1,1414,1413
2,2012907.xml,82,28,912,16.37,7.27,83.62,14.61,7.23,13.03,86.96,1051,70,6,6,1127,1127
3,2012947.xml,11,16,Ø,6.98,0.73,93.01,5.89,0.73,1.06,98.93,1487,5,5,1,1497,1493
4,2012919.xml,131,68,Ø,36.75,10.54,63.24,29.18,10.0,13.5,86.49,1179,47,16,68,1242,1294
5,2012896.xml,23,11,Ø,6.87,2.04,93.12,5.93,2.03,3.52,96.47,1105,17,4,2,1126,1124
6,2012935.xml,26,15,Ø,6.97,1.87,93.02,6.27,1.87,3.35,96.64,1364,21,3,2,1388,1387
7,2012966.xml,10,10,Ø,4.21,0.66,95.78,4.21,0.66,0.92,99.07,1504,4,6,0,1514,1508
8,2012972.xml,41,25,Ø,10.28,2.62,89.71,8.43,2.61,4.37,95.62,1525,28,11,2,1564,1555
9,2012900.xml,9,8,Ø,4.67,0.8,95.32,4.67,0.8,1.42,98.57,1111,7,0,2,1118,1120
10,2012998.xml,4,5,Ø,2.14,0.26,97.85,1.93,0.25,0.45,99.54,1535,3,0,1,1538,1539
11,2012899.xml,3,3,Ø,1.71,0.26,98.28,1.71,0.26,0.35,99.64,1130,1,2,0,1133,1131
12,2012958.xml,13,14,320,5.73,0.84,94.26,4.71,0.83,1.28,98.71,1537,7,3,3,1547,1547
13,2012970.xml,22,16,Ø,7.01,1.51,92.98,5.7,1.5,2.18,97.81,1439,10,5,7,1454,1456
14,2012928.xml,21,16,Ø,7.4,1.54,92.59,6.71,1.54,2.48,97.51,1342,13,5,3,1360,1358
15,2012976.xml,18,15,722,6.75,1.29,93.24,5.85,1.28,1.99,98.0,1380,10,4,4,1394,1394
16,2012888.xml,44,14,Ø,7.9,3.88,92.09,7.62,3.86,6.85,93.14,1093,35,5,4,1133,1132
17,2012936.xml,23,17,Ø,7.14,1.51,92.85,6.3,1.51,2.42,97.57,1498,14,5,4,1517,1516
18,2012902.xml,26,25,Ø,13.66,2.24,86.33,13.38,2.24,3.6,96.39,1133,16,8,2,1157,1151
19,2012988.xml,22,19,Ø,8.59,1.56,91.4,7.23,1.55,2.53,97.46,1394,14,2,6,1410,1414
20,2012904.xml,9,9,Ø,5.29,0.78,94.7,5.29,0.78,1.3,98.69,1135,6,3,0,1144,1141
21,2012979.xml,19,19,Ø,8.26,1.31,91.73,6.95,1.3,1.64,98.35,1437,5,6,8,1448,1450
22,312_bc383_default.xml,83,30,Ø,14.92,6.13,85.07,13.68,6.09,10.91,89.08,1278,69,6,8,1353,1355
23,2012922.xml,81,21,Ø,9.81,5.54,90.18,8.87,5.51,10.36,89.63,1387,75,0,6,1462,1468
24,2012898.xml,27,16,Ø,9.52,2.39,90.47,8.63,2.39,4.05,95.94,1099,19,7,1,1125,1119
25,2012940.xml,29,14,Ø,5.83,1.87,94.16,5.41,1.86,3.26,96.73,1522,22,4,3,1548,1547
26,2012963.xml,27,11,Ø,5.28,2.11,94.71,4.8,2.11,3.57,96.42,1251,19,7,1,1277,1271
27,283_3e2b0_default.xml,42,14,1200,6.19,3.14,93.8,5.53,3.13,5.6,94.39,1298,34,4,4,1336,1336
28,2012980.xml,27,14,Ø,6.03,1.76,93.96,5.17,1.75,2.85,97.14,1508,17,7,3,1532,1528
29,2012932.xml,21,15,Ø,7.28,1.66,92.71,6.55,1.66,2.84,97.15,1239,15,5,1,1259,1255
30,2012994.xml,18,20,Ø,9.61,1.3,90.38,7.93,1.29,1.86,98.13,1372,8,4,6,1384,1386
31,2012924.xml,17,17,Ø,7.79,1.2,92.2,7.11,1.2,1.91,98.08,1393,10,6,1,1409,1404
32,2012914.xml,25,17,Ø,8.71,1.97,91.28,7.17,1.96,3.05,96.94,1249,14,5,6,1268,1269
33,2012897.xml,11,9,Ø,5.55,0.97,94.44,5.55,0.97,1.33,98.66,1115,4,5,2,1124,1121
34,2012971.xml,25,19,Ø,9.74,1.92,90.25,8.46,1.91,3.13,96.86,1279,16,5,4,1300,1299
35,2012959.xml,16,16,Ø,7.65,1.23,92.34,6.45,1.22,1.9,98.09,1290,9,1,6,1300,1305
36,2012992.xml,28,20,Ø,9.38,1.93,90.61,8.45,1.93,3.16,96.83,1420,18,8,2,1446,1440
37,2012996.xml,13,15,Ø,6.55,0.9,93.44,5.45,0.9,1.17,98.82,1428,4,5,4,1437,1436
38,2012955.xml,69,23,Ø,9.74,4.78,90.25,9.11,4.76,8.41,91.58,1380,55,6,8,1441,1443
39,2012961.xml,15,13,Ø,6.22,1.02,93.77,6.22,1.02,1.49,98.5,1455,7,8,0,1470,1462
40,2012989.xml,18,25,Ø,12.31,1.27,87.68,10.09,1.27,1.62,98.37,1397,5,5,8,1407,1410
41,2012931.xml,32,16,Ø,6.55,2.12,93.44,6.35,2.12,3.56,96.43,1475,22,9,1,1506,1498
42,2012901.xml,27,14,Ø,8.23,2.35,91.76,7.64,2.35,3.81,96.18,1121,17,9,1,1147,1139
43,2012950.xml,9,9,Ø,5.17,0.79,94.82,4.59,0.79,1.23,98.76,1120,5,3,1,1128,1126
44,2012930.xml,11,13,Ø,6.46,0.79,93.53,5.47,0.79,1.15,98.84,1369,5,4,2,1378,1376
45,2012892.xml,11,11,Ø,6.32,0.97,93.67,6.03,0.97,1.32,98.67,1122,4,5,2,1131,1128
46,488_6c491_default.xml,52,12,Ø,5.08,3.47,94.91,4.66,3.46,6.38,93.61,1447,45,3,4,1495,1496
47,2013003.xml,9,13,Ø,7.1,0.76,92.89,6.01,0.76,0.92,99.07,1175,2,4,3,1181,1180
48,2012915.xml,12,12,Ø,5.38,0.82,94.61,4.7,0.82,1.16,98.83,1451,5,3,4,1459,1460
49,2012906.xml,10,11,Ø,6.91,0.9,93.08,6.28,0.89,1.25,98.74,1103,4,4,2,1111,1109
50,2012964.xml,23,21,1182,8.71,1.54,91.28,7.67,1.53,2.13,97.86,1474,9,7,7,1490,1490
