,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,2012886.xml,9,10,479,9.7,1.25,90.29,8.73,1.24,1.66,98.33,713,3,3,3,719,719
1,2012995.xml,1,2,Ø,0.96,0.07,99.03,0.72,0.07,0.07,99.92,1409,0,0,1,1409,1410
2,2012907.xml,17,13,Ø,7.6,1.5,92.39,6.43,1.5,1.77,98.22,1113,3,12,2,1128,1118
3,2012947.xml,5,6,Ø,2.62,0.33,97.37,2.4,0.33,0.6,99.39,1485,4,1,0,1490,1489
4,2012919.xml,91,51,Ø,27.56,7.25,72.43,20.27,6.95,8.51,91.48,1217,20,18,53,1255,1290
5,2012896.xml,3,1,Ø,0.62,0.26,99.37,0.62,0.26,0.35,99.64,1122,1,2,0,1125,1123
6,2012935.xml,1,1,1,0.46,0.07,99.53,0.46,0.07,0.14,99.85,1386,1,0,0,1387,1387
7,2012966.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1503,0,0,0,1503,1503
8,2012972.xml,6,7,Ø,2.88,0.38,97.11,2.26,0.38,0.51,99.48,1549,2,3,1,1554,1552
9,2012900.xml,1,0,Ø,0.0,0.08,100.0,0.0,0.08,0.08,99.91,1122,0,0,1,1122,1123
10,2012998.xml,2,4,Ø,1.71,0.12,98.28,1.28,0.12,0.12,99.87,1543,0,0,2,1543,1545
11,2012899.xml,1,1,Ø,0.57,0.08,99.42,0.57,0.08,0.08,99.91,1120,0,1,0,1121,1120
12,2012958.xml,2,4,995,1.63,0.12,98.36,1.22,0.12,0.12,99.87,1543,0,1,1,1544,1544
13,2012970.xml,2,4,Ø,1.75,0.13,98.24,1.31,0.13,0.13,99.86,1449,0,0,2,1449,1451
14,2012928.xml,4,5,Ø,2.31,0.29,97.68,2.08,0.29,0.51,99.48,1361,3,0,1,1364,1365
15,2012976.xml,1,2,Ø,0.9,0.07,99.09,0.67,0.07,0.07,99.92,1384,0,0,1,1384,1385
16,2012888.xml,4,5,658,2.82,0.35,97.17,2.54,0.35,0.35,99.64,1112,0,2,2,1114,1114
17,2012936.xml,3,5,594,2.1,0.19,97.89,1.68,0.19,0.26,99.73,1501,1,1,1,1503,1503
18,2012902.xml,5,5,Ø,2.73,0.43,97.26,2.73,0.43,0.43,99.56,1143,0,4,1,1147,1144
19,2012988.xml,3,5,Ø,2.26,0.21,97.73,1.8,0.21,0.28,99.71,1409,1,0,2,1410,1412
20,2012904.xml,3,3,Ø,1.76,0.26,98.23,1.76,0.26,0.35,99.64,1124,1,2,0,1127,1125
21,2012979.xml,3,4,Ø,1.73,0.2,98.26,1.3,0.2,0.2,99.79,1442,0,1,2,1443,1444
22,312_bc383_default.xml,15,8,Ø,3.98,1.11,96.01,3.48,1.11,1.62,98.37,1336,7,6,2,1349,1345
23,2012922.xml,6,6,Ø,2.8,0.4,97.19,2.57,0.4,0.74,99.25,1471,5,1,0,1477,1476
24,2012898.xml,5,7,Ø,4.16,0.44,95.83,3.57,0.44,0.62,99.37,1122,2,2,1,1126,1125
25,2012940.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1537,0,0,0,1537,1537
