,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,2012886.xml,14,15,Ø,13.76,1.88,86.23,13.3,1.87,2.8,97.19,733,7,2,5,742,745
1,2012995.xml,1,2,Ø,0.9,0.06,99.09,0.68,0.06,0.06,99.93,1469,0,0,1,1469,1470
2,2012907.xml,47,22,Ø,12.5,4.07,87.5,11.36,4.02,6.11,93.88,1122,25,6,16,1153,1163
3,2012947.xml,6,7,212,2.92,0.38,97.07,2.71,0.38,0.64,99.35,1551,4,1,1,1556,1556
4,2012919.xml,138,69,Ø,32.39,10.83,67.6,29.81,10.36,14.9,85.09,1194,63,17,58,1274,1315
5,2012896.xml,14,4,Ø,2.29,1.2,97.7,2.29,1.19,1.96,98.03,1154,9,0,5,1163,1168
6,2012935.xml,3,2,Ø,0.88,0.2,99.11,0.88,0.2,0.34,99.65,1437,2,0,1,1439,1440
7,2012966.xml,2,1,Ø,0.4,0.12,99.59,0.4,0.12,0.19,99.8,1561,1,0,1,1562,1563
8,2012972.xml,8,7,1152,2.76,0.48,97.23,2.17,0.48,0.73,99.26,1627,4,2,2,1633,1633
9,2012900.xml,13,8,Ø,4.41,1.11,95.58,4.14,1.1,1.61,98.38,1164,6,0,7,1170,1177
10,2012998.xml,5,6,Ø,2.41,0.31,97.58,2.01,0.31,0.37,99.62,1603,1,1,3,1605,1607
11,2012899.xml,4,3,Ø,1.59,0.33,98.4,1.59,0.33,0.42,99.57,1177,1,1,2,1179,1180
12,2012958.xml,2,4,1047,1.6,0.12,98.4,1.19,0.12,0.12,99.87,1614,0,1,1,1615,1615
13,2012970.xml,5,5,Ø,2.06,0.32,97.93,1.65,0.32,0.45,99.54,1525,2,0,3,1527,1530
14,2012928.xml,13,8,Ø,3.55,0.92,96.44,3.33,0.92,1.48,98.51,1400,8,0,5,1408,1413
15,2012976.xml,6,4,Ø,1.7,0.41,98.29,1.49,0.41,0.61,99.38,1453,3,1,2,1457,1458
16,2012888.xml,27,13,Ø,7.06,2.28,92.93,6.79,2.25,3.24,96.75,1170,12,2,13,1184,1195
17,2012936.xml,7,6,Ø,2.4,0.44,97.59,2.0,0.44,0.62,99.37,1581,3,1,3,1585,1587
18,2012902.xml,32,20,Ø,10.63,2.67,89.36,10.63,2.64,3.71,96.28,1178,13,4,15,1195,1206
19,2012988.xml,8,7,Ø,3.01,0.54,96.98,2.58,0.54,0.81,99.18,1472,4,0,4,1476,1480
20,2012904.xml,8,6,617,3.33,0.67,96.66,3.33,0.67,1.01,98.98,1177,4,2,2,1183,1183
21,2012979.xml,4,5,1146,2.06,0.26,97.93,1.65,0.26,0.26,99.73,1519,0,2,2,1521,1521
22,312_bc383_default.xml,44,18,Ø,8.41,3.13,91.58,7.94,3.09,4.69,95.3,1377,23,5,16,1405,1416
23,2012922.xml,26,17,Ø,7.62,1.71,92.37,7.39,1.7,2.68,97.31,1498,15,1,10,1514,1523
24,2012898.xml,22,13,Ø,7.42,1.89,92.57,6.85,1.87,2.72,97.27,1150,10,2,10,1162,1170
25,2012940.xml,4,2,Ø,0.78,0.24,99.21,0.78,0.24,0.3,99.69,1623,1,0,3,1624,1627
26,2012963.xml,10,8,Ø,3.7,0.75,96.29,3.47,0.75,1.2,98.79,1313,6,1,3,1320,1322
27,283_3e2b0_default.xml,15,9,975,3.84,1.07,96.15,3.41,1.07,1.57,98.42,1383,7,4,4,1394,1394
28,2012980.xml,1,2,Ø,0.8,0.06,99.19,0.6,0.06,0.06,99.93,1586,0,0,1,1586,1587
29,2012932.xml,5,3,Ø,1.36,0.37,98.63,1.36,0.37,0.67,99.32,1317,4,0,1,1321,1322
30,2012994.xml,5,6,Ø,2.72,0.34,97.27,2.27,0.34,0.48,99.51,1448,2,1,2,1451,1452
31,2012924.xml,7,7,Ø,2.99,0.47,97.0,2.56,0.47,0.61,99.38,1465,2,4,1,1471,1468
32,2012914.xml,18,19,Ø,9.22,1.35,90.77,7.52,1.34,1.86,98.13,1319,7,3,8,1329,1334
33,2012897.xml,7,6,Ø,3.55,0.6,96.44,3.25,0.6,0.86,99.13,1153,3,1,3,1157,1159
34,2012971.xml,5,2,1218,0.98,0.36,99.01,0.73,0.36,0.44,99.55,1353,1,2,2,1356,1356
35,2012959.xml,5,10,Ø,4.58,0.36,95.41,3.89,0.36,0.36,99.63,1364,0,2,3,1366,1367
36,2012992.xml,7,7,Ø,3.21,0.46,96.78,2.98,0.46,0.66,99.33,1504,3,1,3,1508,1510
37,2012996.xml,2,4,Ø,1.68,0.13,98.31,1.26,0.13,0.13,99.86,1495,0,0,2,1495,1497
38,2012955.xml,33,12,Ø,4.81,2.18,95.18,4.61,2.16,3.46,96.53,1489,20,1,12,1510,1521
39,2012961.xml,1,1,1,0.44,0.06,99.55,0.44,0.06,0.13,99.86,1528,1,0,0,1529,1529
40,2012989.xml,6,10,Ø,4.48,0.4,95.51,3.58,0.4,0.53,99.46,1484,2,0,4,1486,1490
41,2012931.xml,2,1,Ø,0.38,0.12,99.61,0.38,0.12,0.19,99.8,1564,1,0,1,1565,1566
42,2012901.xml,21,11,Ø,6.14,1.76,93.85,5.86,1.76,2.59,97.4,1171,10,6,5,1187,1186
43,2012950.xml,4,5,Ø,2.73,0.34,97.26,2.18,0.34,0.51,99.48,1170,2,2,0,1174,1172
44,2012930.xml,9,6,Ø,2.77,0.62,97.22,2.77,0.62,0.9,99.09,1432,4,2,3,1438,1439
45,2012892.xml,10,9,844,5.0,0.85,95.0,4.72,0.85,1.02,98.97,1163,2,4,4,1169,1169
46,488_6c491_default.xml,34,17,Ø,6.74,2.18,93.25,5.95,2.16,3.11,96.88,1537,15,3,16,1555,1568
47,2013003.xml,1,2,Ø,1.03,0.08,98.96,0.77,0.08,0.08,99.91,1239,0,1,0,1240,1239
48,2012915.xml,9,6,Ø,2.55,0.59,97.44,2.34,0.59,0.85,99.14,1512,4,0,5,1516,1521
49,2012906.xml,10,7,Ø,4.14,0.86,95.85,3.84,0.86,1.29,98.7,1147,5,0,5,1152,1157
50,2012964.xml,3,5,262,1.97,0.19,98.02,1.58,0.19,0.25,99.74,1575,1,1,1,1577,1577
51,486_8a0e8_default.xml,22,17,Ø,8.45,1.58,91.54,7.46,1.57,2.42,97.57,1375,12,2,8,1389,1395
52,2012891.xml,9,6,Ø,3.33,0.75,96.66,3.33,0.75,1.0,98.99,1182,3,2,4,1187,1189
53,2012941.xml,1,2,Ø,0.88,0.06,99.11,0.66,0.06,0.06,99.93,1445,0,0,1,1445,1446
54,2012977.xml,8,6,Ø,2.59,0.56,97.4,2.16,0.56,0.84,99.15,1407,4,1,3,1412,1414
55,2012945.xml,2,3,2,1.29,0.13,98.7,1.07,0.13,0.27,99.72,1435,2,0,0,1437,1437
56,2012890.xml,9,8,Ø,4.9,0.77,95.09,4.29,0.77,1.11,98.88,1158,4,0,5,1162,1167
57,2012918.xml,10,5,Ø,3.49,1.05,96.5,3.49,1.05,1.78,98.21,939,7,0,3,946,949
58,2012943.xml,12,8,Ø,3.3,0.78,96.69,3.09,0.77,1.16,98.83,1528,6,2,4,1536,1538
59,2012908.xml,16,12,Ø,16.66,3.21,83.33,15.97,3.17,4.54,95.45,488,7,2,7,497,502
60,2012951.xml,2,4,Ø,1.71,0.12,98.28,1.28,0.12,0.12,99.87,1556,0,2,0,1558,1556
61,2012969.xml,5,6,Ø,2.58,0.34,97.41,2.15,0.34,0.48,99.51,1442,2,1,2,1445,1446
62,2012983.xml,15,12,Ø,5.04,0.94,94.95,4.62,0.94,1.51,98.48,1571,9,0,6,1580,1586
63,2012903.xml,17,13,Ø,7.3,1.44,92.69,6.74,1.44,2.12,97.87,1159,8,6,3,1173,1170
64,2012893.xml,14,11,Ø,6.17,1.17,93.82,5.89,1.16,1.57,98.42,1189,5,2,7,1196,1201
65,2012967.xml,7,3,Ø,1.31,0.47,98.68,1.31,0.47,0.74,99.25,1478,4,0,3,1482,1485
66,2012939.xml,6,5,493,2.71,0.5,97.28,2.71,0.5,0.84,99.15,1181,4,1,1,1186,1186
67,2012982.xml,1,2,Ø,0.82,0.06,99.17,0.61,0.06,0.06,99.93,1608,0,0,1,1608,1609
68,2012997.xml,7,7,Ø,2.97,0.44,97.02,2.76,0.44,0.7,99.29,1563,4,1,2,1568,1569
69,2012925.xml,5,3,9,1.32,0.33,98.67,1.1,0.33,0.53,99.46,1487,3,1,1,1491,1491
70,495_2893e_default.xml,20,13,Ø,5.77,1.39,94.22,5.55,1.38,2.06,97.93,1427,10,1,9,1438,1446
71,2012978.xml,12,11,Ø,4.54,0.76,95.45,3.92,0.76,1.08,98.91,1554,5,3,4,1562,1563
72,2012933.xml,2,1,Ø,0.39,0.12,99.6,0.39,0.12,0.18,99.81,1606,1,1,0,1608,1607
73,2012986.xml,6,10,Ø,4.09,0.38,95.9,3.07,0.38,0.38,99.61,1564,0,0,6,1564,1570
74,6_32167_default.xml,25,13,Ø,7.42,2.19,92.57,7.14,2.17,3.29,96.7,1124,13,1,11,1138,1148
75,2013001.xml,2,1,Ø,0.43,0.13,99.56,0.43,0.13,0.2,99.79,1442,1,0,1,1443,1444
76,2012921.xml,33,15,Ø,6.94,2.29,93.05,6.71,2.27,3.57,96.42,1416,19,2,12,1437,1447
77,2012895.xml,23,10,Ø,5.68,1.98,94.31,5.39,1.97,2.98,97.01,1144,12,0,11,1156,1167
78,319_9ddef_default.xml,6,6,209,2.67,0.38,97.32,2.45,0.38,0.64,99.35,1546,4,1,1,1551,1551
79,2012942.xml,9,7,Ø,2.8,0.57,97.2,2.6,0.57,0.94,99.05,1569,6,2,1,1577,1576
80,2012981.xml,4,7,Ø,2.99,0.25,97.0,2.35,0.25,0.25,99.74,1560,0,1,3,1561,1563
81,2012968.xml,5,2,Ø,0.91,0.34,99.08,0.91,0.34,0.48,99.51,1438,2,0,3,1440,1443
82,2012956.xml,7,8,Ø,3.25,0.45,96.74,2.64,0.44,0.51,99.48,1552,1,1,5,1554,1558
83,2012923.xml,6,6,Ø,2.38,0.37,97.61,2.18,0.37,0.56,99.43,1582,3,1,2,1586,1587
84,2012913.xml,4,2,195,1.56,0.49,98.43,1.56,0.49,0.74,99.25,800,2,1,1,803,803
85,2012929.xml,4,5,Ø,2.61,0.32,97.38,2.35,0.32,0.4,99.59,1228,1,0,3,1229,1232
86,2012885.xml,8,4,Ø,5.12,1.58,94.87,5.12,1.58,1.97,98.02,498,2,4,2,504,502
87,2012887.xml,17,12,Ø,9.3,2.0,90.69,8.52,2.0,2.93,97.06,833,8,6,3,847,844
88,2012953.xml,3,2,Ø,0.82,0.19,99.17,0.82,0.19,0.32,99.67,1527,2,0,1,1529,1530
89,2012920.xml,23,17,Ø,7.29,1.56,92.7,6.86,1.55,2.35,97.64,1460,12,1,10,1473,1482
90,2012984.xml,2,4,Ø,1.68,0.12,98.31,1.26,0.12,0.12,99.87,1592,0,0,2,1592,1594
91,2012960.xml,6,4,Ø,1.71,0.38,98.28,1.71,0.38,0.71,99.28,1539,5,0,1,1544,1545
93,2012944.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1518,0,0,0,1518,1518
94,2012934.xml,2,2,2,0.9,0.13,99.09,0.9,0.13,0.27,99.72,1431,2,0,0,1433,1433
95,2012962.xml,10,4,Ø,1.69,0.64,98.3,1.48,0.64,0.96,99.03,1536,5,0,5,1541,1546
96,32_e329e_default.xml,24,19,Ø,8.08,1.58,91.91,7.87,1.57,2.42,97.57,1499,13,1,10,1513,1522
97,2013000.xml,3,6,Ø,2.62,0.2,97.37,1.96,0.2,0.2,99.79,1439,0,1,2,1440,1441
98,2012946.xml,8,5,Ø,2.05,0.51,97.94,1.85,0.51,0.76,99.23,1559,4,0,4,1563,1567
100,2012973.xml,21,14,Ø,5.76,1.32,94.23,4.93,1.31,1.87,98.12,1577,9,0,12,1586,1598
101,2012927.xml,2,3,Ø,1.27,0.13,98.72,1.06,0.13,0.2,99.79,1432,1,1,0,1434,1433
102,2012965.xml,5,3,Ø,1.23,0.31,98.76,1.02,0.31,0.44,99.55,1571,2,1,2,1574,1575
103,2012974.xml,22,11,Ø,4.33,1.33,95.66,4.13,1.32,1.92,98.07,1634,10,2,10,1646,1654
104,4_6c6d2_default.xml,12,8,Ø,6.25,1.41,93.75,6.25,1.41,2.23,97.76,837,7,2,3,846,847
105,5_a1010_default.xml,37,20,Ø,10.86,3.14,89.13,10.05,3.09,4.66,95.33,1158,19,1,17,1178,1194
106,2012938.xml,5,4,Ø,1.57,0.31,98.42,1.57,0.31,0.5,99.49,1568,3,0,2,1571,1573
107,2012985.xml,15,8,Ø,3.46,0.96,96.53,3.03,0.96,1.53,98.46,1546,9,0,6,1555,1561
108,2012954.xml,29,9,Ø,3.65,1.83,96.34,3.25,1.82,3.19,96.8,1560,22,1,6,1583,1588
109,2012999.xml,5,6,Ø,2.56,0.34,97.43,1.92,0.34,0.47,99.52,1455,2,0,3,1457,1460
110,2012926.xml,2,1,Ø,0.44,0.12,99.55,0.44,0.12,0.19,99.8,1542,1,0,1,1543,1544
111,2012917.xml,12,9,Ø,4.16,0.87,95.83,3.7,0.87,1.37,98.62,1366,7,0,5,1373,1378
112,2012937.xml,5,6,Ø,2.8,0.38,97.19,2.57,0.38,0.68,99.31,1307,4,0,1,1311,1312
113,2012916.xml,15,14,Ø,5.88,1.0,94.11,5.46,1.0,1.79,98.2,1485,12,0,3,1497,1500
114,2012952.xml,6,7,Ø,2.88,0.38,97.11,2.46,0.38,0.57,99.42,1556,3,1,2,1560,1561
116,2012993.xml,13,9,Ø,4.16,0.91,95.83,3.47,0.9,1.39,98.6,1419,7,0,6,1426,1432
117,2013002.xml,7,3,Ø,1.18,0.43,98.81,1.18,0.43,0.61,99.38,1620,3,1,3,1624,1626
118,2012957.xml,6,8,87,3.33,0.38,96.66,2.7,0.38,0.51,99.48,1539,2,2,2,1543,1543
119,2012975.xml,19,10,Ø,4.9,1.36,95.09,4.41,1.35,2.06,97.93,1384,10,1,8,1395,1402
120,2012987.xml,3,4,Ø,1.68,0.19,98.31,1.47,0.19,0.25,99.74,1572,1,0,2,1573,1575
121,284_bb953_default.xml,27,15,Ø,6.09,1.76,93.9,5.28,1.74,2.58,97.41,1517,13,0,14,1530,1544
122,2012991.xml,8,4,Ø,1.7,0.52,98.29,1.7,0.52,0.91,99.08,1516,6,0,2,1522,1524
123,2012949.xml,7,8,Ø,3.7,0.49,96.29,3.24,0.49,0.64,99.35,1397,2,2,3,1401,1402
124,2012905.xml,27,17,Ø,10.3,2.43,89.69,10.0,2.41,3.56,96.43,1092,13,2,12,1107,1117
125,2012990.xml,7,9,Ø,3.68,0.45,96.31,2.86,0.45,0.51,99.48,1542,1,0,6,1543,1549
126,2012894.xml,29,13,Ø,6.77,2.39,93.22,6.51,2.36,3.5,96.49,1195,14,1,14,1210,1223
127,2012889.xml,20,11,Ø,6.28,1.73,93.71,6.28,1.73,2.67,97.32,1136,11,3,6,1150,1153
128,2012948.xml,2,2,Ø,0.9,0.13,99.09,0.9,0.13,0.13,99.86,1459,0,0,2,1459,1461
129,33_425fa_default.xml,10,11,Ø,4.54,0.66,95.45,3.92,0.66,0.99,99.0,1493,5,2,3,1500,1501
