,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,2012886.xml,9,12,499,11.0,1.2,88.99,10.55,1.2,1.6,98.39,738,3,3,3,744,744
1,2012995.xml,1,2,Ø,0.9,0.06,99.09,0.68,0.06,0.06,99.93,1464,0,0,1,1464,1465
2,2012907.xml,17,13,Ø,7.38,1.47,92.61,6.25,1.47,1.73,98.26,1139,3,12,2,1154,1144
3,2012947.xml,6,7,213,2.92,0.38,97.07,2.71,0.38,0.64,99.35,1544,4,1,1,1549,1549
4,2012919.xml,95,53,Ø,24.88,7.38,75.11,22.3,7.16,9.98,90.01,1231,38,18,39,1287,1308
5,2012896.xml,3,1,Ø,0.57,0.25,99.42,0.57,0.25,0.34,99.65,1159,1,2,0,1162,1160
6,2012935.xml,1,1,1,0.44,0.06,99.55,0.44,0.06,0.13,99.86,1437,1,0,0,1438,1438
7,2012966.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1551,0,0,0,1551,1551
8,2012972.xml,7,7,Ø,2.76,0.43,97.23,2.17,0.43,0.67,99.32,1617,4,2,1,1623,1622
9,2012900.xml,1,2,Ø,1.1,0.08,98.89,0.82,0.08,0.08,99.91,1174,0,0,1,1174,1175
10,2012998.xml,3,5,Ø,2.01,0.18,97.98,1.61,0.18,0.18,99.81,1609,0,1,2,1610,1611
11,2012899.xml,1,1,Ø,0.53,0.08,99.46,0.53,0.08,0.08,99.91,1166,0,1,0,1167,1166
12,2012958.xml,2,4,1042,1.6,0.12,98.4,1.19,0.12,0.12,99.87,1611,0,1,1,1612,1612
13,2012970.xml,3,4,Ø,1.65,0.19,98.34,1.23,0.19,0.26,99.73,1521,1,0,2,1522,1524
14,2012928.xml,4,5,Ø,2.22,0.28,97.77,2.0,0.28,0.49,99.5,1409,3,0,1,1412,1413
15,2012976.xml,2,3,84,1.28,0.13,98.71,1.06,0.13,0.13,99.86,1446,0,1,1,1447,1447
16,2012888.xml,5,6,Ø,3.26,0.42,96.73,2.98,0.42,0.6,99.39,1161,2,2,1,1165,1164
17,2012936.xml,3,5,626,2.0,0.19,97.99,1.6,0.19,0.25,99.74,1569,1,1,1,1571,1571
18,2012902.xml,5,5,Ø,2.65,0.42,97.34,2.65,0.42,0.42,99.57,1181,0,4,1,1185,1182
19,2012988.xml,3,5,Ø,2.15,0.2,97.84,1.72,0.2,0.27,99.72,1475,1,0,2,1476,1478
20,2012904.xml,3,3,Ø,1.66,0.25,98.33,1.66,0.25,0.34,99.65,1163,1,2,0,1166,1164
21,2012979.xml,4,5,1142,2.06,0.26,97.93,1.65,0.26,0.26,99.73,1514,0,2,2,1516,1516
22,312_bc383_default.xml,15,8,Ø,3.73,1.07,96.26,3.27,1.06,1.56,98.43,1388,7,6,2,1401,1397
23,2012922.xml,6,6,Ø,2.69,0.39,97.3,2.46,0.39,0.71,99.28,1523,5,1,0,1529,1528
24,2012898.xml,5,7,Ø,4.0,0.42,96.0,3.42,0.42,0.6,99.39,1159,2,2,1,1163,1162
25,2012940.xml,1,1,Ø,0.39,0.06,99.6,0.39,0.06,0.06,99.93,1613,0,0,1,1613,1614
26,2012963.xml,6,7,562,3.24,0.45,96.75,3.0,0.45,0.75,99.24,1312,4,1,1,1317,1317
27,283_3e2b0_default.xml,6,6,Ø,2.56,0.43,97.43,2.13,0.43,0.57,99.42,1387,2,4,0,1393,1389
28,2012980.xml,1,2,Ø,0.8,0.06,99.19,0.6,0.06,0.06,99.93,1585,0,0,1,1585,1586
29,2012932.xml,2,2,2,0.91,0.15,99.08,0.91,0.15,0.3,99.69,1320,2,0,0,1322,1322
30,2012994.xml,3,5,226,2.27,0.2,97.72,1.81,0.2,0.27,99.72,1442,1,1,1,1444,1444
31,2012924.xml,5,6,Ø,2.56,0.33,97.43,2.13,0.33,0.4,99.59,1475,1,4,0,1480,1476
32,2012914.xml,12,17,Ø,8.25,0.9,91.74,6.55,0.89,1.19,98.8,1322,4,3,5,1329,1331
33,2012897.xml,2,3,612,1.77,0.17,98.22,1.47,0.17,0.17,99.82,1157,0,1,1,1158,1158
34,2012971.xml,3,2,Ø,0.98,0.22,99.01,0.73,0.22,0.22,99.77,1342,0,2,1,1344,1343
35,2012959.xml,5,10,Ø,4.58,0.36,95.41,3.89,0.36,0.36,99.63,1365,0,2,3,1367,1368
36,2012992.xml,5,6,Ø,2.75,0.33,97.24,2.52,0.33,0.46,99.53,1507,2,1,2,1510,1511
37,2012996.xml,2,4,Ø,1.68,0.13,98.31,1.26,0.13,0.13,99.86,1499,0,0,2,1499,1501
38,2012955.xml,16,9,Ø,3.61,1.06,96.38,3.41,1.05,1.38,98.61,1499,5,5,6,1509,1510
39,2012961.xml,1,1,1,0.44,0.06,99.55,0.44,0.06,0.13,99.86,1518,1,0,0,1519,1519
40,2012989.xml,5,9,Ø,4.03,0.33,95.96,3.13,0.33,0.4,99.59,1490,1,0,4,1491,1495
41,2012931.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1555,0,0,0,1555,1555
42,2012901.xml,11,7,Ø,3.91,0.92,96.08,3.63,0.92,1.26,98.73,1172,4,7,0,1183,1176
