,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,T_M_Daneau_1_Tim_C2_2012996.xml,2,4,Ø,1.68,0.13,98.31,1.26,0.13,0.13,99.86,1499,0,0,2,1499,1501
1,T_M_Daneau_1_Tim_C1_2012894.xml,5,6,Ø,3.12,0.41,96.87,2.86,0.41,0.66,99.33,1190,3,2,0,1195,1193
2,T_M_Daneau_1_Tim_C2_2012984.xml,8,10,Ø,4.21,0.5,95.78,3.58,0.5,0.69,99.3,1582,3,1,4,1586,1589
3,T_M_Daneau_1_Tim_C1_2012927.xml,2,3,Ø,1.27,0.13,98.72,1.06,0.13,0.2,99.79,1433,1,1,0,1435,1434
4,T_M_Daneau_1_Tim_C2_2012961.xml,1,2,Ø,0.89,0.06,99.1,0.66,0.06,0.06,99.93,1518,0,1,0,1519,1518
5,T_M_Daneau_1_Tim_C1_2012893.xml,3,3,Ø,1.68,0.25,98.31,1.68,0.25,0.33,99.66,1190,1,2,0,1193,1191
6,T_M_Daneau_1_Tim_C2_2012969.xml,4,6,813,2.58,0.27,97.41,2.15,0.27,0.41,99.58,1447,2,1,1,1450,1450
7,T_M_Daneau_1_Tim_C2_2012968.xml,3,2,Ø,0.91,0.2,99.08,0.91,0.2,0.34,99.65,1437,2,0,1,1439,1440
8,T_M_Daneau_1_Tim_C1_2012936.xml,9,10,Ø,4.01,0.57,95.98,3.41,0.57,0.69,99.3,1566,2,3,4,1571,1572
9,T_M_Daneau_1_Tim_C1_2012935.xml,3,3,Ø,1.32,0.2,98.67,1.32,0.2,0.34,99.65,1435,2,1,0,1438,1437
10,T_M_Daneau_1_Tim_C1_2012923.xml,2,3,Ø,1.19,0.12,98.8,0.79,0.12,0.12,99.87,1580,0,2,0,1582,1580
11,T_M_Daneau_1_Tim_C1_2012903.xml,6,8,Ø,4.49,0.51,95.5,3.93,0.51,0.59,99.4,1168,1,4,1,1173,1170
12,T_M_Daneau_1_Tim_C1_2012901.xml,12,13,Ø,7.26,1.01,92.73,6.42,1.01,1.26,98.73,1172,3,8,1,1183,1176
13,T_M_Daneau_1_Tim_C1_2012906.xml,2,2,Ø,1.18,0.17,98.81,1.18,0.17,0.26,99.73,1145,1,0,1,1146,1147
14,T_M_Daneau_1_Tim_C2_2012978.xml,5,8,Ø,3.3,0.32,96.69,2.47,0.32,0.38,99.61,1555,1,3,1,1559,1557
15,T_M_Daneau_1_Tim_C1_2012947.xml,8,10,Ø,4.18,0.51,95.81,3.55,0.51,0.83,99.16,1541,5,3,0,1549,1546
16,T_M_Daneau_1_Tim_C2_2012953.xml,5,6,Ø,2.46,0.32,97.53,2.05,0.32,0.45,99.54,1529,2,2,1,1533,1532
17,T_M_Daneau_1_Tim_C2_2012964.xml,6,10,1354,3.95,0.38,96.04,3.16,0.38,0.51,99.48,1557,2,2,2,1561,1561
18,T_M_Daneau_1_Tim_C1_2012932.xml,1,1,1,0.45,0.07,99.54,0.45,0.07,0.15,99.84,1321,1,0,0,1322,1322
19,Daneau_1-Tim_33_425fa_default.xml,7,12,Ø,4.95,0.47,95.04,3.92,0.47,0.6,99.39,1482,2,4,1,1488,1485
20,T_M_Daneau_1_Tim_C2_2012975.xml,6,7,695,3.43,0.43,96.56,2.69,0.43,0.57,99.42,1386,2,2,2,1390,1390
21,T_M_Daneau_1_Tim_C1_2012916.xml,9,10,178,4.2,0.6,95.79,3.78,0.6,0.94,99.05,1476,5,2,2,1483,1483
22,T_M_Daneau_1_Tim_C1_2012938.xml,7,7,Ø,2.75,0.44,97.24,2.36,0.44,0.57,99.42,1564,2,3,2,1569,1568
23,Daneau_1-Tim_4_6c6d2_default.xml,4,3,Ø,2.34,0.47,97.65,2.34,0.47,0.83,99.16,837,3,1,0,841,840
25,Daneau_1-Tim_488_6c491_default.xml,8,8,Ø,3.17,0.51,96.82,2.57,0.51,0.51,99.48,1552,0,5,3,1557,1555
26,T_M_Daneau_1_Tim_C1_2012946.xml,2,3,Ø,1.23,0.12,98.76,1.02,0.12,0.19,99.8,1549,1,1,0,1551,1550
