,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,T_M_Daneau_1_Tim_C2_2012996.xml,3,5,Ø,2.18,0.2,97.81,1.74,0.2,0.2,99.79,1437,0,0,3,1437,1440
1,T_M_Daneau_1_Tim_C1_2012894.xml,29,14,Ø,7.44,2.47,92.55,7.18,2.44,3.61,96.38,1155,14,2,13,1171,1182
2,T_M_Daneau_1_Tim_C2_2012984.xml,9,11,Ø,4.91,0.59,95.08,4.24,0.59,0.78,99.21,1513,3,1,5,1517,1521
3,T_M_Daneau_1_Tim_C1_2012927.xml,2,3,Ø,1.39,0.14,98.6,1.16,0.14,0.22,99.77,1359,1,1,0,1361,1360
4,T_M_Daneau_1_Tim_C2_2012961.xml,1,2,Ø,0.95,0.06,99.04,0.71,0.06,0.06,99.93,1469,0,1,0,1470,1469
5,T_M_Daneau_1_Tim_C1_2012893.xml,12,8,Ø,4.79,1.04,95.2,4.79,1.03,1.47,98.52,1142,5,2,5,1149,1152
6,T_M_Daneau_1_Tim_C2_2012969.xml,6,7,Ø,3.18,0.43,96.81,2.72,0.43,0.65,99.34,1375,3,1,2,1379,1380
7,T_M_Daneau_1_Tim_C2_2012968.xml,5,2,Ø,0.96,0.36,99.03,0.96,0.36,0.58,99.41,1364,3,0,2,1367,1369
8,T_M_Daneau_1_Tim_C1_2012936.xml,10,8,Ø,3.36,0.65,96.63,2.73,0.65,0.85,99.14,1512,3,2,5,1517,1520
9,T_M_Daneau_1_Tim_C1_2012935.xml,6,4,Ø,1.86,0.43,98.13,1.86,0.43,0.79,99.2,1383,5,0,1,1388,1389
10,T_M_Daneau_1_Tim_C1_2012923.xml,5,5,1041,2.13,0.32,97.86,1.7,0.32,0.39,99.6,1514,1,2,2,1517,1517
11,T_M_Daneau_1_Tim_C1_2012903.xml,14,11,515,6.35,1.23,93.64,6.06,1.22,1.75,98.24,1127,6,4,4,1137,1137
