,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,Guillet_1546_bpt6k3182270_95.xml,15,14,Ø,10.21,1.87,89.78,10.21,1.86,3.45,96.54,789,13,0,2,802,804
1,Sceve_1544_btv1b8609581h_5.xml,4,5,Ø,20.83,2.87,79.16,18.75,2.85,3.57,96.42,136,1,2,1,139,138
2,Apologia_1534_77_6fdbc_default.xml,48,35,Ø,20.34,4.31,79.65,18.02,4.28,6.48,93.51,1071,25,16,7,1112,1103
3,Tyard_1549_btv1b8617188p_90.xml,4,3,Ø,2.58,0.6,97.41,2.58,0.6,1.05,98.94,658,3,1,0,662,661
4,desAutels_1550_bpt6k15272172_17.xml,6,5,Ø,3.31,0.72,96.68,3.31,0.72,1.2,98.79,822,4,0,2,826,828
5,Apologia_1534_36_6c6d4_default.xml,43,45,Ø,23.19,3.13,76.8,21.13,3.13,4.57,95.42,1329,20,21,2,1370,1351
6,Tyard_1549_btv1b8617188p_34.xml,8,5,Ø,3.81,1.05,96.18,3.43,1.04,1.44,98.55,754,3,2,3,759,760
7,Montenay_btv1b8609568n_133.xml,4,4,Ø,6.45,1.13,93.54,6.45,1.13,1.98,98.01,348,3,1,0,352,351
8,Labe_1555_btv1b86095588_122.xml,15,14,Ø,7.03,1.35,92.96,6.78,1.34,2.23,97.76,1098,10,3,2,1111,1110
9,desRoches_1585_bpt6k706947_32.xml,8,10,Ø,5.88,0.81,94.11,5.29,0.81,1.41,98.58,976,6,0,2,982,984
10,Labe_1555_btv1b86095588_53.xml,2,1,Ø,0.49,0.17,99.5,0.49,0.17,0.26,99.73,1141,1,0,1,1142,1143
11,Aretius_1-Tim_page_00076.xml,83,37,Ø,21.02,6.7,78.97,18.18,6.67,11.7,88.29,1160,66,11,6,1237,1232
12,Montenay_btv1b8609568n_93.xml,4,3,209,5.76,1.18,94.23,5.76,1.18,1.77,98.22,334,2,1,1,337,337
14,Liber_loquitur_1520_15_0caf1_default.xml,6,6,573,6.0,0.91,94.0,6.0,0.91,1.51,98.48,653,4,1,1,658,658
15,Marquets_1562_bpt6k1521180m_34.xml,5,4,Ø,3.92,0.88,96.07,3.92,0.87,1.05,98.94,566,1,0,4,567,571
16,Labe_1555_btv1b86095588_109.xml,22,7,Ø,3.38,1.86,96.61,2.17,1.86,1.94,98.05,1160,1,21,0,1182,1161
17,T_M_Daneau_1_Tim_C1_2012901.xml,31,16,Ø,8.93,2.61,91.06,8.37,2.6,4.01,95.98,1158,17,12,2,1187,1177
18,Labe_1555_btv1b86095588_64.xml,6,2,Ø,1.03,0.52,98.96,0.77,0.52,0.6,99.39,1143,1,5,0,1149,1144
19,Magny_1553_bpt6k8711906g_68.xml,1,1,1,0.53,0.09,99.46,0.53,0.09,0.18,99.81,1103,1,0,0,1104,1104
20,Marquets_1562_bpt6k1521180m_10.xml,6,4,Ø,3.47,0.87,96.52,3.47,0.87,1.45,98.54,682,4,0,2,686,688
21,Guillet_1546_bpt6k3182270_88.xml,16,12,Ø,8.69,1.94,91.3,8.33,1.93,3.13,96.86,809,10,2,4,821,823
22,Marquets_1562_bpt6k1521180m_45.xml,7,6,260,2.62,0.54,97.37,2.62,0.54,0.93,99.06,1276,5,1,1,1282,1282
23,Labe_1555_btv1b86095588_106.xml,56,30,Ø,14.15,4.79,85.84,12.73,4.77,6.37,93.62,1116,19,34,3,1169,1138
24,T_M_Daneau_1_Tim_C1_2012938.xml,38,14,Ø,5.51,2.41,94.48,5.11,2.41,4.04,95.95,1534,26,11,1,1571,1561
25,Sceve_1544_btv1b8609581h_65.xml,28,18,Ø,10.05,2.64,89.94,10.05,2.61,4.18,95.81,1042,17,1,10,1060,1069
26,desAutels_1550_bpt6k15272172_33.xml,3,3,Ø,2.39,0.42,97.59,2.39,0.42,0.7,99.29,701,2,1,0,704,703
27,Apologia_1534_14_295a5_default.xml,31,28,Ø,14.0,2.3,86.0,13.0,2.29,3.32,96.67,1320,14,10,7,1344,1341
28,T_M_Daneau_1_Tim_C2_2012987.xml,19,19,Ø,7.98,1.2,92.01,7.14,1.2,1.89,98.1,1557,11,5,3,1573,1571
29,index_Lambert_2012910.xml,46,34,Ø,50.0,9.78,50.0,41.91,9.62,14.6,85.39,432,25,13,8,470,465
30,desAutels_1550_bpt6k15272172_24.xml,2,2,2,1.42,0.26,98.57,1.42,0.26,0.52,99.47,753,2,0,0,755,755
31,T_M_Daneau_1_Tim_C1_2012908.xml,12,12,Ø,16.66,2.41,83.33,15.97,2.39,3.78,96.21,488,7,2,3,497,498
32,Sceve_1544_btv1b8609581h_6.xml,24,13,Ø,5.93,1.86,94.06,5.93,1.85,2.69,97.3,1272,11,1,12,1284,1295
34,Herbarum_eicones_1530_Herbarum_1530.xml,45,32,Ø,20.91,4.5,79.08,19.28,4.48,7.38,92.61,959,30,11,4,1000,993
35,T_M_Daneau_1_Tim_C1_2012915.xml,13,15,1269,6.38,0.85,93.61,5.53,0.85,1.31,98.68,1506,7,3,3,1516,1516
36,Guillet_1546_bpt6k3182270_63.xml,14,10,394,8.26,2.1,91.73,7.85,2.09,3.28,96.71,654,8,3,3,665,665
37,Guillet_1546_bpt6k3182270_87.xml,31,19,Ø,13.47,3.87,86.52,13.47,3.83,6.35,93.64,778,21,0,10,799,809
38,Magny_1553_bpt6k8711906g_70.xml,3,3,Ø,1.63,0.27,98.36,1.63,0.27,0.27,99.72,1082,0,3,0,1085,1082
39,Megander_Eph_page_105.xml,20,15,Ø,12.29,2.53,87.7,12.29,2.53,3.65,96.34,770,9,10,1,789,780
40,Labe_1555_btv1b86095588_21.xml,11,4,Ø,2.06,1.07,97.93,1.8,1.06,1.54,98.45,1021,5,0,6,1026,1032
41,Bucer_1530_Bucer_1530.xml,37,25,Ø,19.68,4.33,80.31,17.32,4.31,6.82,93.17,820,22,12,3,854,845
42,Labe_1555_btv1b86095588_42.xml,7,3,Ø,1.49,0.6,98.5,1.24,0.6,0.77,99.22,1149,2,5,0,1156,1151
43,Montenay_btv1b8609568n_35.xml,8,8,8,13.55,2.33,86.44,13.55,2.33,4.61,95.38,335,8,0,0,343,343
44,Sceve_1544_btv1b8609581h_47.xml,12,8,Ø,7.69,2.02,92.3,7.69,2.0,3.15,96.84,587,7,0,5,594,599
45,Tyard_1549_btv1b8617188p_41.xml,1,1,1,0.93,0.16,99.06,0.93,0.16,0.33,99.66,598,1,0,0,599,599
46,desRoches_1585_bpt6k706947_6.xml,2,2,2,2.35,0.42,97.64,2.35,0.42,0.84,99.15,471,2,0,0,473,473
47,T_M_Daneau_1_Tim_C1_2012894.xml,70,16,Ø,8.33,5.78,91.66,7.81,5.78,10.63,89.36,1141,62,7,1,1210,1204
48,Aretius_1-Tim_page_00238.xml,32,26,941,13.97,2.65,86.02,12.36,2.63,3.78,96.21,1182,14,9,9,1205,1205
49,poetry_13982576.xml,46,47,Ø,23.73,3.4,76.26,22.22,3.38,5.26,94.73,1312,26,14,6,1352,1344
50,Labe_1555_btv1b86095588_90.xml,24,18,Ø,8.29,2.01,91.7,8.06,2.01,2.51,97.48,1166,6,18,0,1190,1172
52,Apologia_1534_23_7c58b_default.xml,52,41,Ø,20.81,3.82,79.18,19.28,3.79,5.73,94.26,1317,27,16,9,1360,1353
53,Marquets_1562_bpt6k1521180m_14.xml,12,11,491,8.2,1.54,91.79,7.83,1.53,2.29,97.7,770,6,3,3,779,779
54,T_M_Daneau_1_Tim_C1_2012931.xml,34,19,Ø,7.39,2.17,92.6,7.0,2.17,3.55,96.44,1532,22,11,1,1565,1555
58,T_M_Daneau_1_Tim_C2_2012956.xml,27,21,Ø,8.53,1.73,91.46,7.92,1.73,2.75,97.24,1530,16,8,3,1554,1549
