,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,Guillet_1546_bpt6k3182270_95.xml,8,7,Ø,5.1,0.99,94.89,5.1,0.99,1.86,98.13,795,7,0,1,802,803
1,Sceve_1544_btv1b8609581h_5.xml,4,5,Ø,20.83,2.87,79.16,18.75,2.85,3.57,96.42,136,1,2,1,139,138
2,Apologia_1534_77_6fdbc_default.xml,8,5,421,2.9,0.71,97.09,2.61,0.71,1.07,98.92,1106,4,2,2,1112,1112
3,Tyard_1549_btv1b8617188p_90.xml,4,3,Ø,2.58,0.6,97.41,2.58,0.6,1.05,98.94,659,3,0,1,662,663
4,desAutels_1550_bpt6k15272172_17.xml,2,1,Ø,0.66,0.24,99.33,0.66,0.24,0.36,99.63,825,1,0,1,826,827
5,Apologia_1534_36_6c6d4_default.xml,9,11,Ø,5.67,0.65,94.32,5.15,0.65,0.8,99.19,1362,2,6,1,1370,1365
6,Tyard_1549_btv1b8617188p_34.xml,8,5,Ø,3.81,1.05,96.18,3.43,1.04,1.44,98.55,754,3,2,3,759,760
7,Montenay_btv1b8609568n_133.xml,2,2,Ø,3.22,0.56,96.77,3.22,0.56,0.85,99.14,350,1,1,0,352,351
8,Labe_1555_btv1b86095588_122.xml,9,10,Ø,5.02,0.81,94.97,4.52,0.8,1.16,98.83,1103,4,4,1,1111,1108
9,desRoches_1585_bpt6k706947_32.xml,5,5,Ø,2.94,0.5,97.05,2.64,0.5,0.81,99.18,979,3,0,2,982,984
10,Labe_1555_btv1b86095588_53.xml,3,2,Ø,0.98,0.26,99.01,0.98,0.26,0.34,99.65,1141,1,0,2,1142,1144
11,Aretius_1-Tim_page_00076.xml,28,15,Ø,8.52,2.26,91.47,7.95,2.24,3.51,96.48,1218,16,3,9,1237,1243
12,Montenay_btv1b8609568n_93.xml,5,4,Ø,7.69,1.48,92.3,7.69,1.47,2.06,97.93,334,2,1,2,337,338
14,Liber_loquitur_1520_15_0caf1_default.xml,1,1,Ø,1.0,0.15,99.0,1.0,0.15,0.15,99.84,658,0,0,1,658,659
15,Marquets_1562_bpt6k1521180m_34.xml,7,5,Ø,4.9,1.23,95.09,4.9,1.22,1.74,98.25,564,3,0,4,567,571
16,Labe_1555_btv1b86095588_109.xml,22,7,Ø,3.38,1.86,96.61,2.17,1.86,1.94,98.05,1160,1,21,0,1182,1161
17,T_M_Daneau_1_Tim_C1_2012901.xml,21,11,Ø,6.14,1.76,93.85,5.86,1.76,2.59,97.4,1171,10,6,5,1187,1186
18,Labe_1555_btv1b86095588_64.xml,6,2,Ø,1.03,0.52,98.96,0.77,0.52,0.6,99.39,1143,1,5,0,1149,1144
19,Magny_1553_bpt6k8711906g_68.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1104,0,0,0,1104,1104
20,Marquets_1562_bpt6k1521180m_10.xml,6,4,Ø,3.47,0.87,96.52,3.47,0.87,1.45,98.54,682,4,0,2,686,688
21,Guillet_1546_bpt6k3182270_88.xml,12,7,Ø,5.07,1.46,94.92,5.07,1.45,2.41,97.58,812,8,1,3,821,823
22,Marquets_1562_bpt6k1521180m_45.xml,5,4,Ø,1.74,0.39,98.25,1.74,0.38,0.7,99.29,1278,4,0,1,1282,1283
23,Labe_1555_btv1b86095588_106.xml,35,21,Ø,9.9,2.99,90.09,9.43,2.99,3.67,96.32,1135,8,26,1,1169,1144
24,T_M_Daneau_1_Tim_C1_2012938.xml,5,4,Ø,1.57,0.31,98.42,1.57,0.31,0.5,99.49,1568,3,0,2,1571,1573
25,Sceve_1544_btv1b8609581h_65.xml,23,14,Ø,7.82,2.16,92.17,7.82,2.14,3.34,96.65,1047,13,0,10,1060,1070
26,desAutels_1550_bpt6k15272172_33.xml,1,1,1,0.8,0.14,99.2,0.8,0.14,0.28,99.71,703,1,0,0,704,704
27,Apologia_1534_14_295a5_default.xml,3,2,601,1.0,0.22,99.0,1.0,0.22,0.29,99.7,1342,1,1,1,1344,1344
28,T_M_Daneau_1_Tim_C2_2012987.xml,3,4,Ø,1.68,0.19,98.31,1.47,0.19,0.25,99.74,1572,1,0,2,1573,1575
29,index_Lambert_2012910.xml,10,13,Ø,19.11,2.12,80.88,14.7,2.12,2.76,97.23,460,3,7,0,470,463
30,desAutels_1550_bpt6k15272172_24.xml,1,1,1,0.71,0.13,99.28,0.71,0.13,0.26,99.73,754,1,0,0,755,755
31,T_M_Daneau_1_Tim_C1_2012908.xml,16,12,Ø,16.66,3.21,83.33,15.97,3.17,4.54,95.45,488,7,2,7,497,502
32,Sceve_1544_btv1b8609581h_6.xml,24,13,Ø,5.93,1.86,94.06,5.7,1.85,2.61,97.38,1272,10,2,12,1284,1294
34,Herbarum_eicones_1530_Herbarum_1530.xml,12,9,Ø,5.88,1.19,94.11,5.88,1.19,1.69,98.3,992,5,3,4,1000,1001
