,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,Guillet_1546_bpt6k3182270_95.xml,8,7,Ø,5.34,1.05,94.65,5.34,1.04,1.44,98.55,755,3,0,5,758,763
1,Sceve_1544_btv1b8609581h_5.xml,4,5,Ø,20.83,3.03,79.16,18.75,3.0,3.76,96.23,129,1,2,1,132,131
2,Apologia_1534_77_6fdbc_default.xml,8,5,407,2.95,0.74,97.04,2.66,0.74,1.11,98.88,1066,4,2,2,1072,1072
3,Tyard_1549_btv1b8617188p_90.xml,4,3,Ø,2.67,0.64,97.32,2.67,0.63,0.79,99.2,623,1,1,2,625,626
4,desAutels_1550_bpt6k15272172_17.xml,2,1,Ø,0.66,0.25,99.33,0.66,0.25,0.37,99.62,792,1,0,1,793,794
5,Apologia_1534_36_6c6d4_default.xml,9,11,Ø,5.72,0.67,94.27,5.2,0.67,0.82,99.17,1321,2,6,1,1329,1324
6,Tyard_1549_btv1b8617188p_34.xml,7,5,Ø,3.87,0.96,96.12,3.48,0.95,1.23,98.76,723,2,2,3,727,728
7,Montenay_btv1b8609568n_133.xml,1,1,Ø,1.61,0.29,98.38,1.61,0.29,0.29,99.7,338,0,1,0,339,338
8,Labe_1555_btv1b86095588_122.xml,8,9,Ø,4.63,0.75,95.36,4.12,0.75,0.94,99.05,1050,2,4,2,1056,1054
9,desRoches_1585_bpt6k706947_32.xml,4,4,Ø,2.36,0.41,97.63,2.07,0.41,0.52,99.47,953,1,0,3,954,957
10,Labe_1555_btv1b86095588_53.xml,2,1,Ø,0.51,0.18,99.48,0.51,0.18,0.27,99.72,1104,1,0,1,1105,1106
11,Aretius_1-Tim_page_00076.xml,27,15,Ø,8.77,2.25,91.22,8.18,2.23,3.54,96.45,1180,16,2,9,1198,1205
12,Montenay_btv1b8609568n_93.xml,4,3,Ø,6.0,1.22,94.0,6.0,1.21,1.52,98.47,324,1,1,2,326,327
14,Liber_loquitur_1520_15_0caf1_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,631,0,0,0,631,631
15,Marquets_1562_bpt6k1521180m_34.xml,6,4,Ø,4.08,1.09,95.91,4.08,1.08,1.62,98.37,546,3,0,3,549,552
16,Labe_1555_btv1b86095588_109.xml,20,7,Ø,3.51,1.76,96.48,2.26,1.76,1.76,98.23,1116,0,19,1,1135,1117
17,T_M_Daneau_1_Tim_C1_2012901.xml,19,11,Ø,6.47,1.65,93.52,6.17,1.64,2.51,97.48,1133,10,4,5,1147,1148
18,Labe_1555_btv1b86095588_64.xml,6,2,Ø,1.05,0.53,98.94,0.78,0.53,0.62,99.37,1109,1,5,0,1115,1110
19,Magny_1553_bpt6k8711906g_68.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1075,0,0,0,1075,1075
20,Marquets_1562_bpt6k1521180m_10.xml,6,4,Ø,3.57,0.9,96.42,3.57,0.9,1.34,98.65,660,3,0,3,663,666
21,Guillet_1546_bpt6k3182270_88.xml,12,7,Ø,5.26,1.52,94.73,5.26,1.51,2.26,97.73,781,6,2,4,789,791
