,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,Bucer_Eph_b_72_9304e_default.xml,15,17,Ø,7.48,0.98,92.51,6.6,0.98,1.5,98.49,1512,8,6,1,1526,1521
1,Sceve_1544_btv1b8609581h_89.xml,3,3,3,1.7,0.29,98.29,1.7,0.29,0.59,99.4,1011,3,0,0,1014,1014
2,Tyard_1549_btv1b8617188p_25.xml,3,2,302,1.6,0.4,98.4,1.6,0.4,0.54,99.45,730,1,1,1,732,732
4,T_M_Daneau_1_Tim_C2_2012996.xml,2,4,Ø,1.68,0.13,98.31,1.26,0.13,0.13,99.86,1499,0,0,2,1499,1501
5,Epigrammata_1520_35_6ad07_default.xml,1,2,Ø,1.61,0.12,98.38,1.2,0.12,0.12,99.87,830,0,1,0,831,830
6,Sceve_1544_btv1b8609581h_29.xml,2,2,2,1.08,0.19,98.91,1.08,0.19,0.38,99.61,1029,2,0,0,1031,1031
7,desAutels_1550_bpt6k15272172_19.xml,1,1,1,0.6,0.1,99.39,0.6,0.1,0.2,99.79,954,1,0,0,955,955
8,Tyard_1549_btv1b8617188p_78.xml,5,5,Ø,3.52,0.64,96.47,3.16,0.64,0.89,99.1,773,2,1,2,776,777
9,Montenay_btv1b8609568n_79.xml,1,1,1,1.49,0.28,98.5,1.49,0.28,0.55,99.44,356,1,0,0,357,357
10,desAutels_1550_bpt6k15272172_60.xml,4,4,Ø,2.4,0.42,97.59,2.1,0.42,0.63,99.36,938,2,0,2,940,942
11,Apologia_1534_26_2ac30_default.xml,2,1,Ø,0.52,0.14,99.47,0.52,0.14,0.14,99.85,1334,0,2,0,1336,1334
12,Tyard_1549_btv1b8617188p_69.xml,4,3,9,2.25,0.53,97.74,2.25,0.53,0.8,99.19,739,2,1,1,742,742
13,Sceve_1544_btv1b8609581h_70.xml,3,2,Ø,1.1,0.28,98.89,1.1,0.28,0.47,99.52,1041,2,0,1,1043,1044
14,Bucer_Eph_b_81_c9c48_default.xml,13,13,Ø,5.6,0.85,94.39,5.38,0.85,1.18,98.81,1511,5,8,0,1524,1516
15,Apologia_1534_81_4af17_default.xml,22,12,Ø,6.09,1.83,93.9,5.58,1.82,2.73,97.26,1182,11,9,2,1202,1195
16,desAutels_1550_bpt6k15272172_31.xml,1,1,1,0.53,0.09,99.46,0.53,0.09,0.19,99.8,1005,1,0,0,1006,1006
17,Montenay_btv1b8609568n_215.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,313,0,0,0,313,313
19,Montenay_btv1b8609568n_63.xml,1,1,Ø,1.81,0.29,98.18,1.81,0.29,0.29,99.7,341,0,0,1,341,342
20,Montenay_btv1b8609568n_5.xml,1,1,1,4.76,0.7,95.23,4.76,0.7,1.41,98.58,140,1,0,0,141,141
21,T_M_Daneau_1_Tim_C1_2012894.xml,5,6,Ø,3.12,0.41,96.87,2.86,0.41,0.66,99.33,1190,3,2,0,1195,1193
22,T_M_Daneau_1_Tim_C2_2012984.xml,8,10,Ø,4.21,0.5,95.78,3.58,0.5,0.69,99.3,1582,3,1,4,1586,1589
