,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,Bucer_Eph_b_72_9304e_default.xml,17,15,Ø,6.78,1.15,93.21,5.88,1.14,1.55,98.44,1462,6,9,2,1477,1470
1,Sceve_1544_btv1b8609581h_89.xml,19,12,Ø,6.89,1.93,93.1,6.89,1.92,2.92,97.07,970,10,0,9,980,989
2,Tyard_1549_btv1b8617188p_25.xml,5,3,Ø,2.45,0.71,97.54,2.45,0.71,1.0,98.99,692,2,1,2,695,696
4,T_M_Daneau_1_Tim_C2_2012996.xml,3,5,Ø,2.18,0.2,97.81,1.74,0.2,0.2,99.79,1437,0,0,3,1437,1440
5,Epigrammata_1520_35_6ad07_default.xml,5,4,Ø,3.22,0.62,96.77,2.82,0.62,0.87,99.12,799,2,1,2,802,803
6,Sceve_1544_btv1b8609581h_29.xml,6,5,Ø,2.76,0.6,97.23,2.76,0.6,0.9,99.09,984,3,1,2,988,989
7,desAutels_1550_bpt6k15272172_19.xml,2,2,Ø,1.22,0.21,98.77,1.22,0.21,0.32,99.67,911,1,0,1,912,913
8,Tyard_1549_btv1b8617188p_78.xml,14,9,Ø,6.33,1.87,93.66,5.98,1.85,2.91,97.08,739,8,0,6,747,753
9,Montenay_btv1b8609568n_79.xml,1,1,1,1.53,0.29,98.46,1.53,0.29,0.58,99.41,343,1,0,0,344,344
10,desAutels_1550_bpt6k15272172_60.xml,6,6,Ø,3.63,0.66,96.36,3.33,0.65,0.87,99.12,904,2,0,4,906,910
11,Apologia_1534_26_2ac30_default.xml,1,1,Ø,0.53,0.07,99.46,0.53,0.07,0.07,99.92,1307,0,1,0,1308,1307
12,Tyard_1549_btv1b8617188p_69.xml,7,5,Ø,3.87,0.99,96.12,3.87,0.99,1.56,98.43,696,4,1,2,701,702
13,Sceve_1544_btv1b8609581h_70.xml,11,6,Ø,3.38,1.09,96.61,3.38,1.09,1.58,98.41,996,5,1,5,1002,1006
14,Bucer_Eph_b_81_c9c48_default.xml,15,14,Ø,6.25,1.02,93.75,6.02,1.02,1.43,98.56,1452,6,7,2,1465,1460
15,Apologia_1534_81_4af17_default.xml,19,12,Ø,6.12,1.63,93.87,5.61,1.63,2.65,97.34,1143,12,5,2,1160,1157
16,desAutels_1550_bpt6k15272172_31.xml,4,3,Ø,1.64,0.41,98.35,1.64,0.4,0.61,99.38,973,2,0,2,975,977
17,Montenay_btv1b8609568n_215.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,303,0,0,0,303,303
19,Montenay_btv1b8609568n_63.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,327,0,0,0,327,327
20,Montenay_btv1b8609568n_5.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,132,0,0,0,132,132
21,T_M_Daneau_1_Tim_C1_2012894.xml,29,14,Ø,7.44,2.47,92.55,7.18,2.44,3.61,96.38,1155,14,2,13,1171,1182
22,T_M_Daneau_1_Tim_C2_2012984.xml,9,11,Ø,4.91,0.59,95.08,4.24,0.59,0.78,99.21,1513,3,1,5,1517,1521
23,Montenay_btv1b8609568n_179.xml,1,1,Ø,1.72,0.29,98.27,1.72,0.29,0.29,99.7,338,0,0,1,338,339
25,desAutels_1550_bpt6k15272172_49.xml,5,4,Ø,2.85,0.64,97.14,2.85,0.64,0.77,99.22,769,1,0,4,770,774
26,Aphorismi_1519_0_2ba54_default.xml,4,3,Ø,4.22,0.83,95.77,4.22,0.82,1.24,98.75,479,2,0,2,481,483
27,Guillet_1546_bpt6k3182270_73.xml,3,3,Ø,3.4,0.62,96.59,3.4,0.62,0.62,99.37,480,0,0,3,480,483
28,Montenay_btv1b8609568n_181.xml,4,4,Ø,6.55,1.19,93.44,6.55,1.19,2.07,97.92,332,3,0,1,335,336
29,Marquets_1562_bpt6k1521180m_44.xml,20,20,Ø,9.21,1.57,90.78,8.29,1.56,1.95,98.04,1261,5,5,10,1271,1276
30,Megander_Eph_page_102.xml,10,7,Ø,5.73,1.32,94.26,5.32,1.31,1.83,98.16,752,4,0,6,756,762
31,T_M_Daneau_1_Tim_C1_2012927.xml,2,3,Ø,1.39,0.14,98.6,1.16,0.14,0.22,99.77,1359,1,1,0,1361,1360
33,Labe_1555_btv1b86095588_105.xml,13,11,Ø,5.41,1.15,94.58,5.17,1.15,2.03,97.96,1114,10,1,2,1125,1126
34,test_6289387.xml,11,7,Ø,3.53,0.88,96.46,3.53,0.87,1.43,98.56,1243,7,0,4,1250,1254
35,Tyard_1549_btv1b8617188p_27.xml,17,8,Ø,5.71,2.18,94.28,5.71,2.16,3.29,96.7,768,9,0,8,777,785
36,Bucer_Eph_b_62_cadb9_default.xml,59,28,Ø,12.61,4.08,87.38,11.48,4.0,5.61,94.38,1414,24,7,28,1445,1466
38,Apologia_1534_45_4c823_default.xml,4,5,Ø,2.8,0.3,97.19,2.52,0.3,0.3,99.69,1323,0,4,0,1327,1323
40,Montenay_btv1b8609568n_135.xml,3,3,Ø,5.45,0.92,94.54,5.45,0.92,0.92,99.07,323,0,1,2,324,325
41,desAutels_1550_bpt6k15272172_42.xml,2,2,Ø,1.12,0.2,98.87,1.12,0.2,0.31,99.68,964,1,0,1,965,966
42,Magny_1553_bpt6k8711906g_56.xml,5,5,Ø,2.67,0.45,97.32,2.67,0.45,0.45,99.54,1105,0,0,5,1105,1110
43,Apologia_1534_27_ff9f9_default.xml,3,3,Ø,1.54,0.22,98.45,1.54,0.22,0.3,99.69,1315,1,2,0,1318,1316
44,Montenay_btv1b8609568n_21.xml,4,4,Ø,7.01,1.24,92.98,7.01,1.23,1.53,98.46,321,1,0,3,322,325
47,Guillet_1546_bpt6k3182270_99.xml,10,7,Ø,4.66,1.24,95.33,4.66,1.24,1.85,98.14,796,5,1,4,802,805
48,Marquets_1562_bpt6k1521180m_27.xml,9,9,Ø,4.52,0.73,95.47,4.27,0.73,1.14,98.85,1213,5,0,4,1218,1222
49,Montenay_btv1b8609568n_159.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,324,0,0,0,324,324
50,Labe_1555_btv1b86095588_17.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,987,0,0,0,987,987
51,Sceve_1544_btv1b8609581h_43.xml,11,7,Ø,6.73,1.85,93.26,6.73,1.83,2.5,97.49,587,4,1,6,592,597
52,desRoches_1585_bpt6k706947_69.xml,10,9,Ø,7.08,1.33,92.91,7.08,1.32,2.12,97.87,742,6,0,4,748,752
53,T_M_Daneau_1_Tim_C2_2012961.xml,1,2,Ø,0.95,0.06,99.04,0.71,0.06,0.06,99.93,1469,0,1,0,1470,1469
54,Labe_1555_btv1b86095588_13.xml,1,1,1,0.81,0.13,99.18,0.81,0.13,0.27,99.72,719,1,0,0,720,720
55,Guillet_1546_bpt6k3182270_69.xml,16,11,Ø,12.94,3.48,87.05,12.94,3.41,4.89,95.1,452,7,0,9,459,468
57,Montenay_btv1b8609568n_83.xml,2,2,2,3.77,0.61,96.22,3.77,0.61,1.22,98.77,323,2,0,0,325,325
58,Sceve_1544_btv1b8609581h_73.xml,20,12,Ø,7.14,2.12,92.85,7.14,2.1,3.15,96.84,929,10,1,9,940,948
59,Guillet_1546_bpt6k3182270_20.xml,7,5,Ø,3.81,0.99,96.18,3.81,0.98,1.54,98.45,703,4,0,3,707,710
62,Apologia_1534_38_21492_default.xml,6,6,Ø,3.26,0.47,96.73,3.26,0.47,0.55,99.44,1261,1,5,0,1267,1262
63,desAutels_1550_bpt6k15272172_43.xml,2,2,Ø,1.3,0.22,98.69,1.3,0.22,0.33,99.66,881,1,0,1,882,883
64,Sceve_1544_btv1b8609581h_97.xml,21,11,Ø,6.58,2.22,93.41,6.28,2.2,3.14,96.85,931,9,2,10,942,950
65,Montenay_btv1b8609568n_7.xml,7,7,Ø,6.6,1.15,93.39,6.6,1.15,1.8,98.19,600,4,0,3,604,607
66,desRoches_1585_bpt6k706947_5.xml,7,6,Ø,5.04,0.98,94.95,5.04,0.98,1.26,98.73,706,2,3,2,711,710
67,Apologia_1534_80_94f42_default.xml,5,5,Ø,2.82,0.44,97.17,2.82,0.43,0.52,99.47,1133,1,1,3,1135,1137
69,desRoches_1585_bpt6k706947_24.xml,3,2,Ø,1.58,0.47,98.41,1.58,0.47,0.79,99.2,628,2,1,0,631,630
70,T_M_Daneau_1_Tim_C1_2012893.xml,12,8,Ø,4.79,1.04,95.2,4.79,1.03,1.47,98.52,1142,5,2,5,1149,1152
72,Apologia_1534_50_c0361_default.xml,3,4,Ø,2.09,0.23,97.9,1.83,0.23,0.38,99.61,1281,2,1,0,1284,1283
73,Guillet_1546_bpt6k3182270_61.xml,17,10,Ø,7.69,2.4,92.3,7.69,2.37,3.48,96.51,698,8,0,9,706,715
74,Tyard_1549_btv1b8617188p_56.xml,5,3,Ø,2.65,0.74,97.34,2.65,0.74,1.04,98.95,665,2,0,3,667,670
75,Magny_1553_bpt6k8711906g_15.xml,45,16,Ø,88.88,43.68,11.11,86.11,37.19,53.26,46.73,76,26,1,18,103,120
76,Montenay_btv1b8609568n_117.xml,10,7,Ø,10.93,3.27,89.06,10.93,3.21,4.48,95.51,301,4,0,6,305,311
77,T_M_Daneau_1_Tim_C2_2012969.xml,6,7,Ø,3.18,0.43,96.81,2.72,0.43,0.65,99.34,1375,3,1,2,1379,1380
78,Sceve_1544_btv1b8609581h_77.xml,20,14,Ø,7.82,2.03,92.17,7.54,2.01,2.81,97.18,972,8,1,11,981,991
79,Marquets_1562_bpt6k1521180m_12.xml,6,4,Ø,8.0,1.96,92.0,7.0,1.94,2.9,97.09,303,3,0,3,306,309
80,T_M_Daneau_1_Tim_C2_2012968.xml,5,2,Ø,0.96,0.36,99.03,0.96,0.36,0.58,99.41,1364,3,0,2,1367,1369
81,test_2013217.xml,10,14,Ø,6.19,0.7,93.8,5.08,0.7,0.77,99.22,1402,1,8,1,1411,1404
82,Guillet_1546_bpt6k3182270_46.xml,23,15,Ø,11.71,3.34,88.28,11.71,3.29,4.84,95.15,675,11,2,10,688,696
83,Tyard_1549_btv1b8617188p_20.xml,13,7,Ø,5.3,1.88,94.69,4.54,1.86,2.58,97.41,683,5,3,5,691,693
84,Montenay_btv1b8609568n_224.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,731,0,0,0,731,731
85,Guillet_1546_bpt6k3182270_94.xml,16,11,Ø,8.2,2.14,91.79,8.2,2.11,2.89,97.1,741,6,0,10,747,757
86,Aretius_1-Tim_page_00073.xml,11,7,618,4.63,1.03,95.36,4.63,1.03,1.5,98.49,1052,5,3,3,1060,1060
