,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,Epigrammata_1520_2_4bf64_default.xml,20,10,Ø,62.5,17.69,37.5,56.25,17.54,27.59,72.4,94,13,6,1,113,108
1,Apologia_1534_4_93d6d_default.xml,6,4,Ø,11.76,2.56,88.23,10.29,2.56,2.98,97.01,228,1,5,0,234,229
2,Apologia_1534_82_24d8f_default.xml,14,18,Ø,10.0,1.21,90.0,8.61,1.21,1.55,98.44,1143,4,6,4,1153,1151
3,Epigrammata_1520_45_b007d_default.xml,7,9,Ø,7.14,0.84,92.85,5.95,0.84,0.96,99.03,823,1,4,2,828,826
4,Epigrammata_1520_10_1dff8_default.xml,7,7,Ø,6.03,0.9,93.96,5.17,0.9,1.03,98.96,766,1,6,0,773,767
5,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_14.xml,2,2,Ø,0.96,0.14,99.03,0.72,0.14,0.14,99.85,1335,0,2,0,1337,1335
6,In_Fabrum_1526_0_cbb1c_default.xml,114,37,Ø,33.33,14.57,66.66,30.18,14.44,24.43,75.56,675,89,18,7,782,771
7,Apologia_1534_10_17511_default.xml,29,29,Ø,15.34,2.23,84.65,13.49,2.22,2.99,97.0,1274,10,15,4,1299,1288
8,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_19.xml,8,7,414,3.34,0.58,96.65,3.34,0.58,1.02,98.97,1361,6,1,1,1368,1368
9,Apologia_1534_25_bad3e_default.xml,38,34,Ø,17.89,2.93,82.1,16.31,2.9,3.29,96.7,1272,5,19,14,1296,1291
10,Ad_Leonem_1514_5_03975_default.xml,6,5,Ø,3.37,0.64,96.62,3.04,0.64,0.74,99.25,930,1,1,4,932,935
11,Apologia_1534_66_d33e2_default.xml,30,30,Ø,15.95,2.6,84.04,14.09,2.58,3.36,96.63,1129,9,12,9,1150,1147
12,Ad_Sodales_1518_00000174.xml,8,9,Ø,6.66,0.9,93.33,5.92,0.9,1.23,98.76,879,3,3,2,885,884
14,Apologia_1534_53_7214b_default.xml,48,43,Ø,23.24,3.81,76.75,21.35,3.78,5.5,94.49,1219,22,16,10,1257,1251
15,Apologia_1534_7_e3215_default.xml,33,29,Ø,15.34,2.61,84.65,14.55,2.59,3.3,96.69,1237,9,18,6,1264,1252
16,Apologia_1534_59_33b44_default.xml,17,17,Ø,10.36,1.54,89.63,9.75,1.53,2.06,97.93,1094,6,3,8,1103,1108
17,Aphorismi_1519_0_2ba54_default.xml,5,5,322,7.04,1.03,92.95,6.33,1.03,1.65,98.34,478,3,1,1,482,482
18,Apologia_1534_17_bee9f_default.xml,21,15,Ø,7.46,1.57,92.53,7.21,1.56,1.71,98.28,1320,2,8,11,1330,1333
19,Epigrammata_1520_32_0ccc5_default.xml,6,8,Ø,5.19,0.68,94.8,4.22,0.68,0.8,99.19,867,1,3,2,871,870
20,Apologia_1534_72_44a88_default.xml,22,21,Ø,12.42,1.96,87.57,11.83,1.96,2.67,97.32,1100,8,9,5,1117,1113
21,Apologia_1534_80_94f42_default.xml,25,23,Ø,12.99,2.2,87.0,11.86,2.18,2.97,97.02,1117,9,6,10,1132,1136
22,Epigrammata_1520_34_57220_default.xml,16,19,Ø,13.1,1.78,86.89,11.03,1.77,2.32,97.67,886,5,7,4,898,895
23,Apologia_1534_44_745b2_default.xml,32,23,Ø,12.1,2.42,87.89,11.05,2.4,2.93,97.06,1300,7,12,13,1319,1320
