,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,Epigrammata_1520_2_4bf64_default.xml,20,10,Ø,62.5,17.54,37.5,56.25,17.39,27.37,72.62,95,13,6,1,114,109
1,Apologia_1534_4_93d6d_default.xml,5,4,Ø,11.76,2.15,88.23,10.29,2.15,3.0,96.99,227,2,3,0,232,229
2,Apologia_1534_82_24d8f_default.xml,15,19,Ø,10.55,1.3,89.44,9.16,1.3,1.99,98.0,1134,8,4,3,1146,1145
3,Epigrammata_1520_45_b007d_default.xml,13,13,Ø,10.31,1.58,89.68,9.12,1.57,2.05,97.94,813,4,5,4,822,821
4,Epigrammata_1520_10_1dff8_default.xml,7,8,Ø,6.89,0.9,93.1,6.03,0.9,1.29,98.7,766,3,4,0,773,769
5,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_14.xml,7,6,Ø,2.89,0.52,97.1,2.65,0.52,0.59,99.4,1331,1,5,1,1337,1333
6,In_Fabrum_1526_0_cbb1c_default.xml,158,39,Ø,35.13,20.28,64.86,31.98,20.02,34.47,65.52,631,139,9,10,779,780
7,Apologia_1534_10_17511_default.xml,35,36,Ø,19.04,2.69,80.95,17.19,2.68,3.9,96.09,1267,16,15,4,1298,1287
8,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_19.xml,17,14,Ø,6.69,1.23,93.3,6.69,1.23,2.03,97.96,1355,11,5,1,1371,1367
9,Apologia_1534_25_bad3e_default.xml,40,41,Ø,21.57,3.05,78.42,20.0,3.04,4.47,95.52,1275,19,15,6,1309,1300
10,Ad_Leonem_1514_5_03975_default.xml,8,8,Ø,5.4,0.85,94.59,4.72,0.85,1.17,98.82,930,3,2,3,935,936
11,Apologia_1534_66_d33e2_default.xml,33,31,Ø,16.48,2.86,83.51,14.62,2.85,4.39,95.6,1123,18,11,4,1152,1145
12,Ad_Sodales_1518_00000174.xml,15,15,Ø,11.11,1.68,88.88,10.37,1.68,2.57,97.42,875,8,5,2,888,885
14,Apologia_1534_53_7214b_default.xml,50,49,Ø,26.48,3.95,73.51,24.32,3.94,6.26,93.73,1217,30,16,4,1263,1251
15,Apologia_1534_7_e3215_default.xml,33,33,Ø,17.46,2.6,82.53,16.66,2.59,4.14,95.85,1238,20,11,2,1269,1260
16,Apologia_1534_59_33b44_default.xml,29,29,Ø,17.68,2.61,82.31,16.46,2.59,3.83,96.16,1088,14,9,6,1111,1108
17,Aphorismi_1519_0_2ba54_default.xml,6,6,323,8.45,1.24,91.54,7.74,1.24,2.06,97.93,476,4,1,1,481,481
18,Apologia_1534_17_bee9f_default.xml,22,17,Ø,8.45,1.64,91.54,8.2,1.63,2.52,97.47,1321,12,7,3,1340,1336
19,Epigrammata_1520_32_0ccc5_default.xml,6,10,Ø,6.49,0.68,93.5,5.19,0.67,0.9,99.09,877,2,3,1,882,880
20,Apologia_1534_72_44a88_default.xml,24,23,Ø,13.6,2.15,86.39,13.01,2.14,3.55,96.44,1094,16,5,3,1115,1113
21,Apologia_1534_80_94f42_default.xml,34,29,Ø,16.38,2.99,83.61,14.68,2.97,4.53,95.46,1108,18,9,7,1135,1133
22,Epigrammata_1520_34_57220_default.xml,16,20,Ø,13.79,1.77,86.2,11.72,1.77,2.65,97.34,887,8,6,2,901,897
23,Apologia_1534_44_745b2_default.xml,31,26,Ø,13.68,2.32,86.31,12.63,2.31,3.56,96.43,1309,17,10,4,1336,1330
24,Epigrammata_1520_29_680d5_default.xml,18,17,Ø,12.23,2.02,87.76,10.79,2.01,3.0,96.99,877,9,5,4,891,890
25,Epigrammata_1520_46_f31e3_default.xml,10,16,Ø,10.81,1.1,89.18,8.44,1.1,1.32,98.67,897,2,7,1,906,900
26,Apologia_1534_64_c564d_default.xml,27,23,Ø,12.99,2.36,87.0,12.42,2.35,3.64,96.35,1121,15,8,4,1144,1140
27,Apologia_1534_50_c0361_default.xml,24,28,Ø,14.65,1.86,85.34,13.35,1.86,3.02,96.97,1260,15,9,0,1284,1275
28,Liber_loquitur_1520_15_0caf1_default.xml,4,4,4,4.0,0.63,96.0,4.0,0.63,1.26,98.73,627,4,0,0,631,631
29,Epigrammata_1520_55_5090d_default.xml,6,9,Ø,9.09,0.88,90.9,7.07,0.88,1.17,98.82,672,2,3,1,677,675
30,Bucer_1530_Bucer_1530.xml,36,24,Ø,19.19,4.35,80.8,16.8,4.34,6.92,93.07,793,22,11,3,826,818
31,Apologia_1534_89_ddfff_default.xml,29,34,Ø,20.11,3.11,79.88,15.97,3.1,3.95,96.04,905,8,19,2,932,915
32,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_15.xml,11,10,Ø,4.97,0.8,95.02,4.97,0.8,1.17,98.82,1348,5,6,0,1359,1353
33,Apologia_1534_35_97fa2_default.xml,44,43,Ø,23.24,3.32,76.75,21.62,3.31,4.72,95.27,1285,19,18,7,1322,1311
34,Apologia_1534_38_21492_default.xml,32,35,Ø,19.02,2.52,80.97,17.66,2.51,3.61,96.38,1238,14,15,3,1267,1255
35,Epigrammata_1520_59_e1ba8_default.xml,13,10,Ø,10.41,1.9,89.58,8.85,1.88,2.17,97.82,677,2,5,6,684,685
36,Apologia_1534_73_b0927_default.xml,14,16,Ø,9.09,1.23,90.9,8.52,1.23,2.1,97.89,1123,10,1,3,1134,1136
37,Apologia_1534_16_ecc71_default.xml,31,31,Ø,16.23,2.34,83.76,13.61,2.33,3.46,96.53,1294,15,12,4,1321,1313
38,Apologia_1534_91_07954_default.xml,2,3,Ø,18.75,2.06,81.25,15.62,2.06,3.08,96.91,95,1,1,0,97,96
39,Epigrammata_1520_9_989dd_default.xml,5,5,215,4.38,0.64,95.61,3.94,0.64,1.02,98.97,773,3,1,1,777,777
40,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_23.xml,11,13,Ø,6.59,0.81,93.4,6.09,0.81,1.25,98.74,1337,6,5,0,1348,1343
41,Apologia_1534_62_4300c_default.xml,25,23,Ø,13.29,2.27,86.7,12.42,2.26,3.42,96.57,1080,13,8,4,1101,1097
42,Epigrammata_1520_39_bbe26_default.xml,13,20,Ø,14.28,1.48,85.71,11.07,1.47,1.7,98.29,869,2,7,4,878,875
43,Apologia_1534_68_2f81f_default.xml,22,21,Ø,11.66,1.95,88.33,11.38,1.94,2.9,97.09,1110,11,6,5,1127,1126
44,Apologia_1534_58_f831b_default.xml,21,21,628,15.0,2.32,85.0,14.28,2.3,3.29,96.7,889,9,6,6,904,904
45,Epigrammata_1520_47_87b75_default.xml,20,19,Ø,15.32,2.53,84.67,14.11,2.51,3.88,96.11,774,11,5,4,790,789
46,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_18.xml,13,11,1148,5.36,0.95,94.63,5.12,0.95,1.61,98.38,1346,9,2,2,1357,1357
47,Ad_Sodales_1518_00000175.xml,12,9,Ø,6.61,1.35,93.38,6.61,1.34,2.24,97.75,877,8,1,3,886,888
48,poetry_13982576.xml,45,47,Ø,23.73,3.43,76.26,22.22,3.41,5.21,94.78,1271,24,14,7,1309,1302
49,Apologia_1534_20_5ff4e_default.xml,33,29,Ø,14.87,2.5,85.12,14.1,2.5,3.99,96.0,1287,20,11,2,1318,1309
50,Epigrammata_1520_57_83a75_default.xml,25,21,Ø,17.94,3.25,82.05,15.81,3.24,4.78,95.21,745,12,10,3,767,760
51,Apologia_1534_27_ff9f9_default.xml,28,27,Ø,13.91,2.12,86.08,12.88,2.11,3.02,96.97,1293,12,13,3,1318,1308
52,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_21.xml,20,19,Ø,8.83,1.44,91.16,8.37,1.44,2.09,97.9,1364,9,7,4,1380,1377
53,Apologia_1534_49_e1305_default.xml,30,24,Ø,12.69,2.3,87.3,11.64,2.29,3.5,96.49,1278,16,9,5,1303,1299
54,Apologia_1534_77_6fdbc_default.xml,46,35,Ø,20.71,4.29,79.28,18.34,4.25,5.91,94.08,1034,18,20,8,1072,1060
55,Epigrammata_1520_58_7ea4c_default.xml,17,14,Ø,12.84,2.27,87.15,12.38,2.27,3.59,96.4,731,10,6,1,747,742
56,Spiegel_1531_v2_bsb10149493_00618_full_1161__0_default.xml,72,47,Ø,11.54,2.6,88.45,10.81,2.59,4.19,95.8,2700,45,17,10,2762,2755
57,Epigrammata_1520_30_f10d3_default.xml,5,4,Ø,3.17,0.62,96.82,2.77,0.62,0.99,99.0,800,3,2,0,805,803
58,Ad_Sodales_1518_00000176.xml,17,18,Ø,11.92,1.82,88.07,10.92,1.81,2.45,97.54,919,6,6,5,931,930
59,Apologia_1534_34_ed38e_default.xml,31,27,Ø,14.28,2.43,85.71,13.75,2.43,3.9,96.09,1244,19,8,4,1271,1267
60,Apologia_1534_88_0c57b_default.xml,24,25,Ø,17.98,2.67,82.01,15.46,2.65,3.64,96.35,881,9,7,8,897,898
61,Epigrammata_1520_24_e0f06_default.xml,4,5,Ø,4.16,0.52,95.83,3.75,0.52,0.91,99.08,756,3,1,0,760,759
62,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_22.xml,13,13,Ø,6.59,0.96,93.4,6.34,0.96,1.48,98.51,1329,7,6,0,1342,1336
63,Apologia_1534_54_ff6c0_default.xml,33,31,Ø,17.51,2.59,82.48,15.81,2.58,3.97,96.02,1244,18,10,5,1272,1267
64,Epigrammata_1520_20_85549_default.xml,13,20,Ø,14.7,1.48,85.29,12.13,1.48,2.16,97.83,864,6,6,1,876,871
65,Apologia_1534_56_bd994_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,65,0,0,0,65,65
66,Apologia_1534_51_5987c_default.xml,33,29,Ø,16.38,2.51,83.61,15.25,2.5,3.71,96.28,1283,16,11,6,1310,1305
67,Apologia_1534_42_95d1a_default.xml,36,29,Ø,14.35,2.66,85.64,13.36,2.65,4.18,95.81,1319,21,11,4,1351,1344
68,Epigrammata_1520_5_303bf_default.xml,8,15,Ø,10.2,0.88,89.79,7.82,0.88,0.99,99.0,892,1,7,0,900,893
69,Apologia_1534_15_1507e_default.xml,30,33,Ø,16.5,2.27,83.5,15.0,2.26,3.31,96.68,1293,14,13,3,1320,1310
70,Apologia_1534_45_4c823_default.xml,29,28,Ø,15.73,2.18,84.26,14.32,2.18,3.15,96.84,1301,13,13,3,1327,1317
71,Apologia_1534_65_c2894_default.xml,29,29,Ø,16.38,2.56,83.61,15.25,2.54,3.93,96.06,1109,16,6,7,1131,1132
72,Epigrammata_1520_15_90153_default.xml,25,25,Ø,19.23,2.92,80.76,17.3,2.91,4.29,95.7,833,12,11,2,856,847
73,Epigrammata_1520_56_0c02b_default.xml,12,16,Ø,14.15,1.71,85.84,11.94,1.7,2.55,97.44,690,6,5,1,701,697
