,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,Epigrammata_1520_2_4bf64_default.xml,9,3,19,18.75,7.69,81.25,18.75,7.56,11.6,88.39,110,5,2,2,117,117
1,Apologia_1534_4_93d6d_default.xml,4,4,Ø,11.76,1.63,88.23,11.76,1.62,2.03,97.96,242,1,2,1,245,244
2,Apologia_1534_82_24d8f_default.xml,3,3,Ø,1.63,0.25,98.36,1.63,0.25,0.42,99.57,1185,2,1,0,1188,1187
3,Epigrammata_1520_45_b007d_default.xml,4,2,Ø,1.56,0.46,98.43,1.56,0.46,0.7,99.29,852,2,0,2,854,856
4,Epigrammata_1520_10_1dff8_default.xml,4,2,572,1.69,0.49,98.3,1.69,0.49,0.74,99.25,801,2,1,1,804,804
5,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_14.xml,4,2,309,0.94,0.28,99.05,0.94,0.28,0.43,99.56,1378,2,1,1,1381,1381
6,In_Fabrum_1526_0_cbb1c_default.xml,78,24,Ø,21.42,9.67,78.57,20.98,9.36,14.58,85.41,755,46,5,27,806,828
7,Apologia_1534_10_17511_default.xml,4,5,Ø,2.57,0.29,97.42,2.31,0.29,0.29,99.7,1336,0,4,0,1340,1336
8,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_19.xml,10,11,Ø,4.97,0.7,95.02,4.07,0.7,0.91,99.08,1405,3,4,3,1412,1411
9,Apologia_1534_25_bad3e_default.xml,3,3,Ø,1.53,0.22,98.46,1.53,0.22,0.22,99.77,1355,0,2,1,1357,1356
10,Ad_Leonem_1514_5_03975_default.xml,2,2,Ø,1.34,0.2,98.65,1.34,0.2,0.3,99.69,971,1,1,0,973,972
11,Apologia_1534_66_d33e2_default.xml,2,1,Ø,0.52,0.16,99.47,0.52,0.16,0.25,99.74,1189,1,1,0,1191,1190
12,Ad_Sodales_1518_00000174.xml,10,9,16,6.52,1.07,93.47,6.52,1.07,1.92,98.07,922,8,1,1,931,931
14,Apologia_1534_53_7214b_default.xml,8,9,Ø,4.71,0.61,95.28,4.45,0.61,0.83,99.16,1303,3,4,1,1310,1307
15,Apologia_1534_7_e3215_default.xml,11,9,Ø,4.63,0.83,95.36,4.38,0.83,1.06,98.93,1306,3,5,3,1314,1312
16,Apologia_1534_59_33b44_default.xml,5,4,Ø,2.36,0.43,97.63,2.36,0.43,0.52,99.47,1149,1,1,3,1151,1153
17,Aphorismi_1519_0_2ba54_default.xml,5,5,Ø,7.04,0.99,92.95,6.33,0.98,1.38,98.61,501,2,1,2,504,505
18,Apologia_1534_17_bee9f_default.xml,5,4,Ø,1.98,0.36,98.01,1.98,0.36,0.5,99.49,1381,2,2,1,1385,1384
19,Epigrammata_1520_32_0ccc5_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,922,0,0,0,922,922
20,Apologia_1534_72_44a88_default.xml,1,1,Ø,0.57,0.08,99.42,0.57,0.08,0.08,99.91,1155,0,1,0,1156,1155
21,Apologia_1534_80_94f42_default.xml,3,3,Ø,1.68,0.25,98.31,1.68,0.25,0.34,99.65,1168,1,2,0,1171,1169
22,Epigrammata_1520_34_57220_default.xml,6,5,Ø,3.44,0.64,96.55,3.1,0.64,0.96,99.03,927,3,1,2,931,932
23,Apologia_1534_44_745b2_default.xml,3,3,Ø,1.56,0.21,98.43,1.56,0.21,0.21,99.78,1371,0,2,1,1373,1372
24,Epigrammata_1520_29_680d5_default.xml,3,3,535,2.12,0.32,97.87,2.12,0.32,0.43,99.56,916,1,1,1,918,918
25,Epigrammata_1520_46_f31e3_default.xml,3,1,Ø,0.67,0.31,99.32,0.67,0.31,0.52,99.47,942,2,0,1,944,945
26,Apologia_1534_64_c564d_default.xml,3,3,554,1.64,0.25,98.35,1.37,0.25,0.33,99.66,1178,1,1,1,1180,1180
27,Apologia_1534_50_c0361_default.xml,6,7,Ø,3.64,0.45,96.35,3.38,0.45,0.67,99.32,1318,3,2,1,1323,1322
28,Liber_loquitur_1520_15_0caf1_default.xml,1,1,Ø,1.0,0.15,99.0,1.0,0.15,0.15,99.84,658,0,0,1,658,659
29,Epigrammata_1520_55_5090d_default.xml,2,1,Ø,0.99,0.28,99.0,0.99,0.28,0.42,99.57,703,1,0,1,704,705
30,Bucer_1530_Bucer_1530.xml,16,12,817,9.44,1.87,90.55,9.05,1.86,3.02,96.97,841,10,3,3,854,854
31,Apologia_1534_89_ddfff_default.xml,13,12,Ø,6.97,1.3,93.02,6.39,1.3,2.0,97.99,984,7,4,2,995,993
32,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_15.xml,4,3,Ø,1.47,0.28,98.52,1.47,0.28,0.35,99.64,1394,1,0,3,1395,1398
33,Apologia_1534_35_97fa2_default.xml,8,9,Ø,4.81,0.58,95.18,4.54,0.58,0.58,99.41,1358,0,8,0,1366,1358
34,Apologia_1534_38_21492_default.xml,5,5,Ø,2.59,0.37,97.4,2.59,0.37,0.37,99.62,1324,0,5,0,1329,1324
35,Epigrammata_1520_59_e1ba8_default.xml,2,2,2,2.06,0.28,97.93,2.06,0.28,0.56,99.43,707,2,0,0,709,709
36,Apologia_1534_73_b0927_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1173,0,0,0,1173,1173
37,Apologia_1534_16_ecc71_default.xml,3,4,Ø,2.01,0.21,97.98,1.75,0.21,0.36,99.63,1365,2,1,0,1368,1367
38,Apologia_1534_91_07954_default.xml,1,1,1,6.25,1.0,93.75,6.25,1.0,1.99,98.0,99,1,0,0,100,100
39,Epigrammata_1520_9_989dd_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,811,0,0,0,811,811
40,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_23.xml,2,1,Ø,0.48,0.14,99.51,0.48,0.14,0.21,99.78,1393,1,0,1,1394,1395
41,Apologia_1534_62_4300c_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1143,0,0,0,1143,1143
42,Epigrammata_1520_39_bbe26_default.xml,3,4,Ø,2.83,0.33,97.16,2.48,0.33,0.44,99.55,902,1,0,2,903,905
43,Apologia_1534_68_2f81f_default.xml,1,2,Ø,1.09,0.08,98.9,0.81,0.08,0.08,99.91,1162,0,1,0,1163,1162
44,Apologia_1534_58_f831b_default.xml,3,3,Ø,2.12,0.32,97.87,2.12,0.32,0.42,99.57,929,1,2,0,932,930
45,Epigrammata_1520_47_87b75_default.xml,7,5,Ø,4.0,0.85,96.0,3.2,0.85,1.09,98.9,812,2,0,5,814,819
46,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_18.xml,13,7,Ø,3.34,0.93,96.65,3.34,0.93,1.36,98.63,1382,6,0,7,1388,1395
47,Ad_Sodales_1518_00000175.xml,6,6,Ø,4.37,0.65,95.62,4.37,0.65,1.2,98.79,906,5,1,0,912,911
48,poetry_13982576.xml,31,29,Ø,14.64,2.29,85.35,14.14,2.29,4.03,95.96,1322,24,6,1,1352,1347
49,Apologia_1534_20_5ff4e_default.xml,9,10,Ø,5.07,0.66,94.92,4.56,0.66,0.81,99.18,1347,2,6,1,1355,1350
50,Epigrammata_1520_57_83a75_default.xml,4,5,Ø,4.2,0.49,95.79,3.78,0.49,0.62,99.37,802,1,2,1,805,804
51,Apologia_1534_27_ff9f9_default.xml,5,5,Ø,2.55,0.36,97.44,2.55,0.36,0.43,99.56,1361,1,4,0,1366,1362
52,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_21.xml,12,6,Ø,2.75,0.84,97.24,2.75,0.84,1.25,98.74,1415,6,0,6,1421,1427
53,Apologia_1534_49_e1305_default.xml,2,2,Ø,1.03,0.14,98.96,1.03,0.14,0.21,99.78,1366,1,0,1,1367,1368
54,Apologia_1534_77_6fdbc_default.xml,8,5,421,2.9,0.71,97.09,2.61,0.71,1.07,98.92,1106,4,2,2,1112,1112
55,Epigrammata_1520_58_7ea4c_default.xml,3,2,Ø,1.78,0.38,98.21,1.78,0.38,0.63,99.36,782,2,0,1,784,785
56,Spiegel_1531_v2_bsb10149493_00618_full_1161__0_default.xml,40,14,Ø,3.33,1.39,96.66,3.21,1.39,2.22,97.77,2829,24,7,9,2860,2862
57,Epigrammata_1520_30_f10d3_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,835,0,0,0,835,835
58,Ad_Sodales_1518_00000176.xml,7,7,Ø,4.51,0.72,95.48,4.19,0.72,0.82,99.17,960,1,4,2,965,963
59,Apologia_1534_34_ed38e_default.xml,6,5,Ø,2.61,0.45,97.38,2.61,0.45,0.6,99.39,1313,2,3,1,1318,1316
60,Apologia_1534_88_0c57b_default.xml,3,5,Ø,3.57,0.32,96.42,2.85,0.32,0.43,99.56,926,1,2,0,929,927
61,Epigrammata_1520_24_e0f06_default.xml,5,3,Ø,2.47,0.63,97.52,2.47,0.63,1.0,98.99,786,3,0,2,789,791
62,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_22.xml,9,6,Ø,2.91,0.64,97.08,2.91,0.64,0.93,99.06,1382,4,1,4,1387,1390
63,Apologia_1534_54_ff6c0_default.xml,7,7,Ø,3.88,0.53,96.11,3.88,0.53,0.6,99.39,1312,1,6,0,1319,1313
64,Epigrammata_1520_20_85549_default.xml,2,1,Ø,0.72,0.21,99.27,0.72,0.21,0.32,99.67,913,1,0,1,914,915
65,Apologia_1534_56_bd994_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,69,0,0,0,69,69
66,Apologia_1534_51_5987c_default.xml,7,7,614,3.86,0.52,96.13,3.86,0.51,0.74,99.25,1341,3,2,2,1346,1346
67,Apologia_1534_42_95d1a_default.xml,5,6,Ø,2.95,0.35,97.04,2.7,0.35,0.49,99.5,1400,2,3,0,1405,1402
68,Epigrammata_1520_5_303bf_default.xml,2,1,Ø,0.67,0.21,99.32,0.67,0.21,0.32,99.67,925,1,0,1,926,927
69,Apologia_1534_15_1507e_default.xml,7,8,Ø,3.94,0.51,96.05,3.69,0.51,0.66,99.33,1354,2,4,1,1360,1357
70,Apologia_1534_45_4c823_default.xml,5,5,Ø,2.76,0.36,97.23,2.76,0.36,0.43,99.56,1371,1,3,1,1375,1373
71,Apologia_1534_65_c2894_default.xml,4,5,213,2.8,0.34,97.19,2.52,0.34,0.51,99.48,1162,2,1,1,1165,1165
72,Epigrammata_1520_15_90153_default.xml,9,8,Ø,6.1,1.01,93.89,5.34,1.01,1.45,98.54,882,4,0,5,886,891
73,Epigrammata_1520_56_0c02b_default.xml,6,6,Ø,5.26,0.81,94.73,4.82,0.8,0.94,99.05,737,1,2,3,740,741
74,Apologia_1534_69_5ab43_default.xml,3,3,Ø,1.56,0.25,98.43,1.3,0.25,0.33,99.66,1195,1,0,2,1196,1198
75,Apologia_1534_21_4c490_default.xml,6,6,Ø,3.04,0.43,96.95,3.04,0.43,0.43,99.56,1362,0,5,1,1367,1363
76,Epigrammata_1520_11_a4d28_default.xml,10,5,Ø,4.42,1.34,95.57,4.42,1.33,1.86,98.13,738,4,1,5,743,747
77,Apologia_1534_29_1f1e2_default.xml,5,4,Ø,2.11,0.38,97.88,2.11,0.38,0.61,99.38,1304,3,2,0,1309,1307
78,Epigrammata_1520_52_3627d_default.xml,4,3,203,2.72,0.55,97.27,2.72,0.55,0.83,99.16,717,2,1,1,720,720
79,Ad_Leonem_1514_7_16665_default.xml,1,1,1,1.19,0.19,98.8,1.19,0.19,0.39,99.6,511,1,0,0,512,512
80,Apologia_1534_74_e5ede_default.xml,3,3,223,1.82,0.27,98.17,1.82,0.27,0.36,99.63,1096,1,1,1,1098,1098
81,Apologia_1534_70_4dfd3_default.xml,4,4,4,2.28,0.34,97.71,2.28,0.34,0.68,99.31,1161,4,0,0,1165,1165
82,Epigrammata_1520_60_e750e_default.xml,2,1,Ø,1.11,0.29,98.88,1.11,0.29,0.43,99.56,680,1,0,1,681,682
83,Apologia_1534_48_dd90f_default.xml,8,7,Ø,3.36,0.57,96.63,3.36,0.57,0.71,99.28,1381,2,5,1,1388,1384
85,Epigrammata_1520_18_7759b_default.xml,6,4,Ø,2.73,0.65,97.26,2.73,0.65,0.97,99.02,913,3,1,2,917,918
86,In_Fabrum_1526_41_63350_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,784,0,0,0,784,784
87,Apologia_1534_30_276dc_default.xml,3,3,Ø,1.61,0.22,98.38,1.61,0.22,0.22,99.77,1327,0,3,0,1330,1327
88,Epigrammata_1520_37_6e2eb_default.xml,3,3,165,2.18,0.34,97.81,1.82,0.34,0.45,99.54,874,1,1,1,876,876
89,Apologia_1534_55_75e0e_default.xml,6,6,Ø,4.31,0.62,95.68,4.31,0.62,0.93,99.06,957,3,3,0,963,960
90,Apologia_1534_52_87253_default.xml,6,8,Ø,4.44,0.44,95.55,3.88,0.44,0.66,99.33,1341,3,1,2,1345,1346
91,Apologia_1534_81_4af17_default.xml,22,11,Ø,5.58,1.82,94.41,5.32,1.82,2.48,97.51,1183,8,12,2,1203,1193
92,Apologia_1534_36_6c6d4_default.xml,9,11,Ø,5.67,0.65,94.32,5.15,0.65,0.8,99.19,1362,2,6,1,1370,1365
93,Apologia_1534_67_0b06e_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1165,0,0,0,1165,1165
94,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_17.xml,1,1,1,0.45,0.07,99.54,0.45,0.07,0.14,99.85,1412,1,0,0,1413,1413
95,Apologia_1534_85_1dd5a_default.xml,1,2,Ø,1.11,0.08,98.88,0.83,0.08,0.08,99.91,1197,0,0,1,1197,1198
96,Apologia_1534_12_787a6_default.xml,8,8,Ø,3.96,0.58,96.03,3.96,0.58,0.81,99.18,1348,3,5,0,1356,1351
97,Apologia_1534_6_55c4f_default.xml,6,6,Ø,3.22,0.47,96.77,2.95,0.47,0.54,99.45,1270,1,4,1,1275,1272
98,Apologia_1534_19_2c887_default.xml,9,8,Ø,4.02,0.66,95.97,4.02,0.66,1.02,98.97,1350,5,4,0,1359,1355
99,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_20.xml,5,3,Ø,1.43,0.36,98.56,1.43,0.36,0.57,99.42,1375,3,0,2,1378,1380
100,Apologia_1534_11_77e51_default.xml,13,13,Ø,6.56,0.95,93.43,6.06,0.95,1.25,98.74,1345,4,7,2,1356,1351
101,Ad_Leonem_1514_3_615f0_default.xml,19,11,Ø,7.74,1.89,92.25,7.74,1.88,2.96,97.03,990,11,0,8,1001,1009
102,poetry_13982731.xml,31,33,801,16.75,2.4,83.24,16.24,2.4,4.44,95.55,1260,27,2,2,1289,1289
103,Apologia_1534_39_f30b4_default.xml,5,5,Ø,2.68,0.37,97.31,2.68,0.37,0.44,99.55,1329,1,4,0,1334,1330
104,Epigrammata_1520_31_f334f_default.xml,6,3,Ø,2.38,0.66,97.61,2.38,0.66,0.99,99.0,894,3,0,3,897,900
105,Epigrammata_1520_43_92f11_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,943,0,0,0,943,943
106,Apologia_1534_26_2ac30_default.xml,1,1,Ø,0.52,0.07,99.47,0.52,0.07,0.07,99.92,1352,0,1,0,1353,1352
107,Epigrammata_1520_44_d33b4_default.xml,8,5,Ø,3.9,0.89,96.09,3.9,0.88,1.43,98.56,893,5,0,3,898,901
108,Apologia_1534_79_cd4a5_default.xml,1,1,Ø,0.61,0.08,99.38,0.61,0.08,0.08,99.91,1126,0,0,1,1126,1127
109,Apologia_1534_47_e0210_default.xml,8,8,Ø,3.98,0.57,96.01,3.73,0.57,0.64,99.35,1383,1,6,1,1390,1385
110,Epigrammata_1520_26_ada42_default.xml,3,2,Ø,1.51,0.33,98.48,1.51,0.33,0.45,99.54,882,1,0,2,883,885
111,Dictionarum_1535_1535.xml,5,5,91,12.19,1.8,87.8,10.97,1.79,2.86,97.13,273,3,1,1,277,277
112,Epigrammata_1520_38_94fa7_default.xml,5,4,Ø,3.0,0.56,96.99,3.0,0.56,0.78,99.21,881,2,2,1,885,884
113,In_Fabrum_1526_42_9d123_default.xml,3,2,4,3.77,0.95,96.22,3.77,0.95,1.27,98.72,311,1,1,1,313,313
114,Ad_Leonem_1514_4_760bb_default.xml,1,1,Ø,0.68,0.1,99.31,0.68,0.1,0.1,99.89,911,0,1,0,912,911
115,Apologia_1534_31_8e2ee_default.xml,11,15,Ø,8.06,0.84,91.93,6.72,0.84,1.07,98.92,1288,3,5,3,1296,1294
116,Apologia_1534_9_33729_default.xml,7,7,Ø,3.53,0.5,96.46,3.53,0.5,0.72,99.27,1367,3,3,1,1373,1371
117,Epigrammata_1520_16_9fded_default.xml,10,6,Ø,4.25,1.09,95.74,4.25,1.09,1.74,98.25,904,6,0,4,910,914
