,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_15.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1353,0,0,0,1353,1353
1,Epigrammata_1520_20_85549_default.xml,1,2,Ø,1.47,0.11,98.52,1.1,0.11,0.11,99.88,869,0,1,0,870,869
2,Apologia_1534_36_6c6d4_default.xml,10,6,Ø,3.12,0.75,96.87,3.12,0.75,0.9,99.09,1319,2,8,0,1329,1321
3,Epigrammata_1520_5_303bf_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,901,0,0,0,901,901
4,Apologia_1534_85_1dd5a_default.xml,1,2,Ø,1.14,0.08,98.85,0.85,0.08,0.08,99.91,1134,0,1,0,1135,1134
5,Apologia_1534_30_276dc_default.xml,6,5,Ø,2.74,0.46,97.25,2.47,0.46,0.46,99.53,1295,0,5,1,1300,1296
6,Epigrammata_1520_31_f334f_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,859,0,0,0,859,859
7,Ad_Sodales_1518_00000173.xml,6,2,Ø,1.63,0.69,98.36,1.63,0.69,0.92,99.07,854,2,4,0,860,856
8,Epigrammata_1520_39_bbe26_default.xml,2,3,Ø,2.14,0.22,97.85,1.78,0.22,0.22,99.77,877,0,0,2,877,879
9,Apologia_1534_29_1f1e2_default.xml,7,5,Ø,2.68,0.55,97.31,2.41,0.55,0.55,99.44,1260,0,7,0,1267,1260
10,Epigrammata_1520_28_a99f8_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,839,0,0,0,839,839
11,Apologia_1534_91_07954_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,97,0,0,0,97,97
12,Ad_Sodales_1518_00000174.xml,1,1,1,0.74,0.11,99.25,0.74,0.11,0.22,99.77,884,1,0,0,885,885
13,Epigrammata_1520_55_5090d_default.xml,1,1,1,1.01,0.14,98.98,1.01,0.14,0.29,99.7,676,1,0,0,677,677
