,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_15.xml,3,2,Ø,0.98,0.21,99.01,0.98,0.21,0.28,99.71,1394,1,0,2,1395,1397
1,Epigrammata_1520_20_85549_default.xml,3,3,162,2.17,0.32,97.82,1.81,0.32,0.43,99.56,912,1,1,1,914,914
2,Apologia_1534_36_6c6d4_default.xml,7,7,Ø,3.6,0.51,96.39,3.6,0.51,0.65,99.34,1363,2,5,0,1370,1365
3,Epigrammata_1520_5_303bf_default.xml,2,1,Ø,0.67,0.21,99.32,0.67,0.21,0.32,99.67,925,1,0,1,926,927
4,Apologia_1534_85_1dd5a_default.xml,1,2,Ø,1.11,0.08,98.88,0.83,0.08,0.08,99.91,1196,0,1,0,1197,1196
5,Apologia_1534_30_276dc_default.xml,4,5,Ø,2.68,0.3,97.31,2.41,0.3,0.3,99.69,1327,0,3,1,1330,1328
6,Epigrammata_1520_31_f334f_default.xml,6,3,Ø,2.38,0.66,97.61,2.38,0.66,0.99,99.0,894,3,0,3,897,900
7,Ad_Sodales_1518_00000173.xml,8,12,Ø,9.23,0.88,90.76,7.69,0.88,1.1,98.89,898,2,6,0,906,900
8,Epigrammata_1520_39_bbe26_default.xml,2,3,Ø,2.12,0.22,97.87,1.77,0.22,0.22,99.77,903,0,0,2,903,905
9,Apologia_1534_29_1f1e2_default.xml,4,5,Ø,2.64,0.3,97.35,2.38,0.3,0.3,99.69,1305,0,4,0,1309,1305
10,Epigrammata_1520_28_a99f8_default.xml,9,5,Ø,3.47,1.03,96.52,3.47,1.02,1.48,98.51,868,4,0,5,872,877
11,Apologia_1534_91_07954_default.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,100,0,0,0,100,100
12,Ad_Sodales_1518_00000174.xml,10,10,Ø,7.24,1.07,92.75,7.24,1.07,1.92,98.07,921,8,2,0,931,929
13,Epigrammata_1520_55_5090d_default.xml,3,2,Ø,1.98,0.42,98.01,1.98,0.42,0.7,99.29,702,2,0,1,704,705
14,Apologia_1534_37_05f5f_default.xml,6,7,Ø,3.58,0.44,96.41,3.33,0.44,0.44,99.55,1352,0,5,1,1357,1353
15,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_26.xml,5,5,Ø,2.61,0.44,97.38,2.35,0.44,0.61,99.38,1130,2,2,1,1134,1133
16,Epigrammata_1520_60_e750e_default.xml,2,1,Ø,1.11,0.29,98.88,1.11,0.29,0.43,99.56,680,1,0,1,681,682
17,Apologia_1534_72_44a88_default.xml,1,1,1,0.57,0.08,99.42,0.57,0.08,0.17,99.82,1155,1,0,0,1156,1156
18,Apologia_1534_21_4c490_default.xml,7,7,Ø,3.55,0.51,96.44,3.55,0.51,0.65,99.34,1361,2,4,1,1367,1364
19,Apologia_1534_87_98050_default.xml,5,5,Ø,3.96,0.61,96.03,3.96,0.61,0.85,99.14,813,2,2,1,817,816
20,Apologia_1534_49_e1305_default.xml,1,1,Ø,0.51,0.07,99.48,0.51,0.07,0.07,99.92,1366,0,1,0,1367,1366
21,Apologia_1534_38_21492_default.xml,6,6,Ø,3.1,0.45,96.89,3.1,0.45,0.52,99.47,1323,1,5,0,1329,1324
22,Apologia_1534_86_74215_default.xml,1,2,Ø,1.83,0.13,98.16,1.37,0.13,0.13,99.86,726,0,1,0,727,726
23,Apologia_1534_82_24d8f_default.xml,4,5,Ø,2.73,0.33,97.26,2.45,0.33,0.5,99.49,1184,2,2,0,1188,1186
24,Apologia_1534_75_91fbf_default.xml,3,2,Ø,1.11,0.25,98.88,1.11,0.25,0.42,99.57,1165,2,0,1,1167,1168
25,Apologia_1534_58_f831b_default.xml,2,2,Ø,1.41,0.21,98.58,1.41,0.21,0.32,99.67,930,1,1,0,932,931
26,Dictionarum_1535_1535.xml,5,4,Ø,9.75,1.8,90.24,8.53,1.8,3.22,96.77,272,4,1,0,277,276
27,Apologia_1534_47_e0210_default.xml,7,7,Ø,3.48,0.5,96.51,3.23,0.5,0.57,99.42,1383,1,6,0,1390,1384
28,Epigrammata_1520_46_f31e3_default.xml,2,1,2,0.67,0.21,99.32,0.67,0.21,0.42,99.57,942,2,0,0,944,944
29,Ad_Leonem_1514_3_615f0_default.xml,18,10,Ø,7.04,1.79,92.95,7.04,1.78,2.76,97.23,991,10,0,8,1001,1009
30,Apologia_1534_52_87253_default.xml,6,7,Ø,3.88,0.44,96.11,3.61,0.44,0.51,99.48,1342,1,2,3,1345,1346
31,Apothesosis_Poculo_1536-7_Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_14.xml,4,2,309,0.94,0.28,99.05,0.94,0.28,0.43,99.56,1378,2,1,1,1381,1381
32,Apologia_1534_41_7c437_default.xml,3,3,Ø,1.5,0.21,98.49,1.5,0.21,0.21,99.78,1378,0,3,0,1381,1378
33,Apologia_1534_76_33a13_default.xml,2,3,Ø,1.67,0.16,98.32,1.39,0.16,0.25,99.74,1186,1,1,0,1188,1187
34,Aphorismi_1519_0_2ba54_default.xml,4,3,Ø,4.22,0.79,95.77,4.22,0.79,1.38,98.61,501,3,0,1,504,505
