,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,197.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,331,0,0,0,331,331
1,24.xml,1,1,1,0.75,0.13,99.24,0.75,0.13,0.27,99.72,733,1,0,0,734,734
2,187.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,307,0,0,0,307,307
3,13982576.xml,37,40,Ø,20.2,2.84,79.79,18.68,2.82,4.11,95.88,1272,17,12,8,1301,1297
4,2012948.xml,9,9,1015,4.26,0.64,95.73,3.79,0.64,1.0,98.99,1381,5,2,2,1388,1388
5,9_33729_default.xml,33,25,Ø,12.88,2.5,87.11,12.37,2.49,2.95,97.04,1290,6,19,8,1315,1304
6,45_4c823_default.xml,26,23,Ø,12.92,1.99,87.07,11.51,1.97,2.36,97.63,1289,5,12,9,1306,1303
8,45.xml,8,9,Ø,7.03,1.18,92.96,6.64,1.17,1.47,98.52,671,2,1,5,674,678
9,189.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,336,0,0,0,336,336
10,21301657.xml,83,54,Ø,15.65,3.51,84.34,14.78,3.5,5.73,94.26,2286,54,19,10,2359,2350
12,Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_16.xml,1,1,1,0.46,0.07,99.53,0.46,0.07,0.14,99.85,1376,1,0,0,1377,1377
13,66.xml,4,3,Ø,4.05,0.95,95.94,4.05,0.95,1.19,98.8,415,1,2,1,418,417
14,2012920.xml,17,18,Ø,8.25,1.21,91.74,6.88,1.21,1.99,98.0,1382,11,4,2,1397,1395
16,33.xml,4,5,Ø,4.03,0.6,95.96,3.62,0.6,0.91,99.08,653,2,2,0,657,655
19,19.xml,1,1,1,0.74,0.13,99.25,0.74,0.13,0.27,99.72,737,1,0,0,738,738
20,2012897.xml,4,3,331,1.85,0.35,98.14,1.85,0.35,0.53,99.46,1122,2,1,1,1125,1125
