,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,197.xml,7,6,Ø,9.37,2.0,90.62,9.37,2.0,3.68,96.31,343,6,0,1,349,350
1,24.xml,5,4,Ø,3.03,0.66,96.96,3.03,0.66,1.19,98.8,747,4,1,0,752,751
2,187.xml,1,1,1,1.88,0.31,98.11,1.88,0.31,0.62,99.37,319,1,0,0,320,320
3,13982576.xml,46,47,Ø,23.73,3.4,76.26,22.22,3.38,5.26,94.73,1312,26,14,6,1352,1344
4,2012948.xml,15,15,Ø,6.81,1.02,93.18,6.36,1.02,1.43,98.56,1446,6,7,2,1459,1454
5,9_33729_default.xml,41,30,Ø,15.15,2.98,84.84,14.64,2.98,4.41,95.58,1333,20,20,1,1373,1354
6,45_4c823_default.xml,33,31,Ø,17.12,2.39,82.87,15.74,2.39,3.4,96.59,1346,14,15,4,1375,1364
8,45.xml,30,18,Ø,13.84,4.23,86.15,13.46,4.16,6.33,93.66,691,16,1,13,708,720
9,189.xml,1,1,1,1.81,0.28,98.18,1.81,0.28,0.57,99.42,346,1,0,0,347,347
10,21301657.xml,112,73,Ø,20.05,4.57,79.94,18.68,4.55,7.74,92.25,2346,81,21,10,2448,2437
12,Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_16.xml,6,6,Ø,2.7,0.42,97.29,2.7,0.42,0.7,99.29,1414,4,2,0,1420,1418
13,66.xml,4,3,Ø,4.05,0.91,95.94,4.05,0.91,1.37,98.62,433,2,2,0,437,435
14,2012920.xml,35,26,Ø,11.15,2.37,88.84,9.87,2.36,3.7,96.29,1444,20,9,6,1473,1470
16,33.xml,7,7,Ø,5.6,1.01,94.39,5.2,1.01,1.58,98.41,686,4,2,1,692,691
19,19.xml,13,9,Ø,6.56,1.69,93.43,6.56,1.68,2.83,97.16,759,9,0,4,768,772
20,2012897.xml,11,11,Ø,6.5,0.95,93.49,6.21,0.94,1.29,98.7,1148,4,5,2,1157,1154
21,213.xml,6,5,235,8.92,1.69,91.07,8.92,1.69,2.8,97.19,349,4,1,1,354,354
22,234.xml,31,22,Ø,11.39,2.89,88.6,11.39,2.87,5.04,94.95,1048,24,0,7,1072,1079
23,2012984.xml,22,30,Ø,12.65,1.38,87.34,10.12,1.37,1.92,98.07,1582,9,1,12,1592,1603
24,2012990.xml,23,28,Ø,11.47,1.49,88.52,9.83,1.48,1.87,98.12,1526,6,11,6,1543,1538
25,2012904.xml,9,9,Ø,5.0,0.76,95.0,5.0,0.76,1.26,98.73,1174,6,3,0,1183,1180
26,0_cbb1c_default.xml,163,42,Ø,37.5,20.22,62.5,33.92,20.0,34.64,65.35,652,146,8,9,806,807
27,page_00469.xml,10,10,Ø,7.29,1.08,92.7,7.29,1.08,1.62,98.37,911,5,3,2,919,918
28,2013217.xml,38,34,Ø,14.52,2.56,85.47,12.82,2.56,3.56,96.43,1446,15,20,3,1481,1464
29,page_010.xml,33,30,Ø,24.0,4.06,76.0,21.19,4.04,5.73,94.26,783,14,14,5,811,802
30,12.xml,13,11,Ø,7.14,1.45,92.85,7.14,1.45,2.11,97.88,882,6,5,2,893,890
31,2012894.xml,70,16,Ø,8.33,5.78,91.66,7.81,5.78,10.63,89.36,1141,62,7,1,1210,1204
32,42_95d1a_default.xml,40,33,Ø,16.25,2.84,83.74,15.02,2.83,4.65,95.34,1369,26,10,4,1405,1399
33,2012971.xml,27,19,Ø,9.35,1.99,90.64,8.12,1.98,3.29,96.7,1333,18,5,4,1356,1355
34,Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_15.xml,12,11,Ø,5.39,0.86,94.6,5.39,0.85,1.21,98.78,1384,5,6,1,1395,1390
35,2012888.xml,46,15,Ø,8.15,3.88,91.84,7.88,3.87,6.81,93.18,1142,36,6,4,1184,1182
36,Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_25.xml,7,7,Ø,4.21,0.64,95.78,3.91,0.64,0.92,99.07,1077,3,4,0,1084,1080
