,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,197.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,346,0,0,0,346,346
1,24.xml,3,3,Ø,2.27,0.39,97.72,2.27,0.39,0.66,99.33,750,2,1,0,753,752
2,187.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,318,0,0,0,318,318
3,13982576.xml,38,40,Ø,20.2,2.82,79.79,18.68,2.81,4.2,95.79,1313,19,12,7,1344,1339
4,2012948.xml,12,11,Ø,5.0,0.82,95.0,4.54,0.82,1.23,98.76,1448,6,4,2,1458,1456
5,9_33729_default.xml,36,25,Ø,12.62,2.64,87.37,12.12,2.62,3.28,96.71,1334,9,20,7,1363,1350
6,45_4c823_default.xml,30,26,Ø,14.36,2.21,85.63,12.98,2.19,2.64,97.35,1334,6,14,10,1354,1350
8,45.xml,6,7,Ø,5.38,0.85,94.61,5.0,0.85,1.13,98.86,697,2,1,3,700,702
9,189.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,348,0,0,0,348,348
10,21301657.xml,86,63,Ø,17.35,3.51,82.64,16.11,3.5,5.77,94.22,2369,57,19,10,2445,2436
12,Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_16.xml,1,1,1,0.45,0.07,99.54,0.45,0.07,0.14,99.85,1423,1,0,0,1424,1424
13,66.xml,3,2,Ø,2.7,0.69,97.29,2.7,0.69,0.92,99.07,431,1,2,0,434,432
14,2012920.xml,20,20,Ø,8.58,1.35,91.41,7.29,1.35,2.09,97.9,1456,11,6,3,1473,1470
16,33.xml,4,5,Ø,4.0,0.57,96.0,3.59,0.57,0.86,99.13,686,2,2,0,690,688
19,19.xml,1,1,1,0.72,0.13,99.27,0.72,0.13,0.26,99.73,761,1,0,0,762,762
20,2012897.xml,4,5,346,2.95,0.34,97.04,2.66,0.34,0.51,99.48,1155,2,1,1,1158,1158
21,213.xml,1,1,1,1.78,0.28,98.21,1.78,0.28,0.57,99.42,347,1,0,0,348,348
22,234.xml,1,1,1,0.51,0.09,99.48,0.51,0.09,0.18,99.81,1059,1,0,0,1060,1060
23,2012984.xml,21,29,Ø,12.23,1.32,87.76,9.7,1.31,1.87,98.12,1577,9,0,12,1586,1598
24,2012990.xml,17,22,1203,9.01,1.1,90.98,7.37,1.1,1.42,98.57,1528,5,6,6,1539,1539
25,2012904.xml,4,4,Ø,2.22,0.34,97.77,2.22,0.34,0.51,99.48,1162,2,2,0,1166,1164
26,0_cbb1c_default.xml,119,41,Ø,36.6,14.7,63.39,33.03,14.56,24.53,75.46,698,92,19,8,809,798
27,page_00469.xml,5,5,390,3.64,0.54,96.35,3.64,0.54,0.87,99.12,910,3,1,1,914,914
28,2013217.xml,25,24,Ø,10.25,1.69,89.74,8.54,1.69,2.56,97.43,1454,13,9,3,1476,1470
29,page_010.xml,24,21,Ø,16.8,2.97,83.2,14.0,2.95,3.69,96.3,788,6,12,6,806,800
30,12.xml,8,8,Ø,5.19,0.9,94.8,5.19,0.9,1.23,98.76,879,3,5,0,887,882
31,2012894.xml,44,15,Ø,7.81,3.68,92.18,7.29,3.66,5.95,94.04,1155,28,12,4,1195,1187
32,42_95d1a_default.xml,40,30,1162,14.77,2.89,85.22,13.54,2.85,3.58,96.41,1359,10,15,15,1384,1384
33,2012971.xml,21,15,1223,7.38,1.56,92.61,6.15,1.55,2.51,97.48,1327,13,4,4,1344,1344
34,Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_15.xml,5,5,Ø,2.45,0.35,97.54,2.45,0.35,0.5,99.49,1387,2,0,3,1389,1392
35,2012888.xml,24,8,Ø,4.34,2.06,95.65,4.07,2.06,3.58,96.41,1141,18,6,0,1165,1159
36,Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_25.xml,4,4,Ø,2.4,0.37,97.59,2.1,0.37,0.64,99.35,1077,3,1,0,1081,1080
37,Herbarum_1530.xml,41,31,Ø,20.26,4.08,79.73,18.62,4.06,6.67,93.32,967,27,9,5,1003,999
38,83_5edd8_default.xml,31,20,Ø,10.75,2.56,89.24,9.67,2.54,4.0,95.99,1187,18,4,9,1209,1214
39,9_989dd_default.xml,5,5,Ø,4.31,0.61,95.68,3.87,0.61,0.98,99.01,809,3,2,0,814,812
40,227.xml,3,2,Ø,1.78,0.46,98.21,1.78,0.46,0.77,99.22,640,2,1,0,643,642
41,page_108.xml,15,15,Ø,11.45,1.79,88.54,9.54,1.79,1.79,98.2,819,0,15,0,834,819
43,2012909.xml,95,69,Ø,40.82,8.03,59.17,33.43,7.87,11.86,88.13,1112,50,21,24,1183,1186
44,113.xml,1,1,Ø,1.58,0.28,98.41,1.58,0.28,0.28,99.71,353,0,0,1,353,354
46,2012906.xml,4,6,Ø,3.55,0.34,96.44,2.95,0.34,0.43,99.56,1144,1,1,2,1146,1147
47,37_05f5f_default.xml,39,36,Ø,18.46,2.88,81.53,16.92,2.86,3.38,96.61,1324,7,23,9,1354,1340
48,91_07954_default.xml,3,4,Ø,25.0,3.0,75.0,21.87,3.0,3.98,96.01,97,1,2,0,100,98
49,19_a979a_default.xml,12,13,Ø,9.28,1.34,90.71,8.57,1.33,1.89,98.1,885,5,5,2,895,892
50,86.xml,6,4,Ø,2.98,0.77,97.01,2.61,0.77,1.03,98.96,769,2,1,3,772,774
51,2012962.xml,12,9,Ø,3.81,0.78,96.18,3.17,0.77,1.23,98.76,1528,7,3,2,1538,1537
53,2012986.xml,16,19,Ø,7.78,1.02,92.21,6.14,1.01,1.27,98.72,1556,4,5,7,1565,1567
54,25.xml,4,3,Ø,2.18,0.53,97.81,2.18,0.53,0.94,99.05,738,3,0,1,741,742
55,209.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,360,0,0,0,360,360
56,3_e7096_default.xml,12,13,Ø,8.28,1.15,91.71,7.32,1.14,1.43,98.56,1034,3,6,3,1043,1040
58,2012896.xml,16,10,Ø,5.74,1.37,94.25,4.59,1.37,2.22,97.77,1147,10,5,1,1162,1158
59,284_bb953_default.xml,27,8,Ø,3.25,1.76,96.74,2.84,1.75,3.1,96.89,1511,21,1,5,1533,1537
60,page_00493.xml,31,21,Ø,10.71,2.43,89.28,9.69,2.41,3.49,96.5,1253,14,5,12,1272,1279
61,53_8f47b_default.xml,22,26,Ø,22.41,2.85,77.58,18.1,2.84,3.87,96.12,751,8,11,3,770,762
62,2012901.xml,24,14,Ø,7.82,2.02,92.17,7.26,2.02,2.77,97.22,1162,9,12,3,1183,1174
63,2012908.xml,9,9,Ø,12.5,1.82,87.5,11.8,1.8,2.01,97.98,489,1,3,5,493,495
64,57_1757c_default.xml,93,48,Ø,30.18,8.3,69.81,23.89,8.2,12.75,87.24,1041,54,25,14,1120,1109
65,page_00055.xml,24,8,Ø,4.14,1.97,95.85,4.14,1.97,3.51,96.48,1191,19,3,2,1213,1212
66,32_0ccc5_default.xml,7,8,Ø,5.06,0.76,94.93,4.11,0.76,0.98,99.01,906,2,3,2,911,910
67,39.xml,2,2,Ø,1.49,0.28,98.5,1.49,0.28,0.43,99.56,694,1,1,0,696,695
68,55.xml,3,3,Ø,2.22,0.38,97.77,2.22,0.38,0.64,99.35,767,2,1,0,770,769
69,46.xml,8,6,Ø,4.58,1.12,95.41,4.58,1.12,1.55,98.44,701,3,4,1,708,705
70,page_102.xml,10,11,Ø,8.73,1.27,91.26,7.53,1.26,1.64,98.35,778,3,6,1,787,782
71,101.xml,2,2,Ø,4.54,0.85,95.45,4.54,0.85,1.28,98.71,231,1,1,0,233,232
72,201.xml,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,321,0,0,0,321,321
73,page_103.xml,7,6,Ø,4.95,0.87,95.04,4.13,0.87,1.24,98.75,795,3,4,0,802,798
75,2012940.xml,22,14,Ø,5.49,1.36,94.5,5.09,1.36,2.28,97.71,1594,15,4,3,1613,1612
77,235.xml,5,5,216,2.5,0.46,97.5,2.5,0.46,0.55,99.44,1077,1,2,2,1080,1080
78,84_bab49_default.xml,26,18,Ø,10.52,2.24,89.47,10.23,2.22,3.07,96.92,1143,10,7,9,1160,1162
79,88.xml,4,5,Ø,3.62,0.49,96.37,3.26,0.49,0.61,99.38,807,1,2,1,810,809
82,Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_18.xml,5,4,1235,1.91,0.35,98.08,1.67,0.35,0.57,99.42,1388,3,1,1,1392,1392
83,71.xml,2,2,Ø,2.5,0.42,97.5,2.5,0.42,0.42,99.57,465,0,2,0,467,465
85,Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_22.xml,6,6,Ø,2.91,0.43,97.08,2.66,0.43,0.57,99.42,1377,2,3,1,1382,1380
86,121.xml,2,2,Ø,3.7,0.58,96.29,3.7,0.58,0.58,99.41,341,0,2,0,343,341
87,27_9c54d_default.xml,6,8,Ø,5.63,0.64,94.36,4.57,0.64,0.75,99.24,925,1,4,1,930,927
88,2012991.xml,21,9,Ø,3.82,1.36,96.17,3.61,1.36,2.0,97.99,1522,10,5,6,1537,1538
90,2122892.xml,11,10,Ø,6.32,1.07,93.67,5.69,1.07,1.55,98.44,1017,5,5,1,1027,1023
91,228.xml,2,2,142,1.34,0.23,98.65,1.34,0.23,0.23,99.76,858,0,1,1,859,859
