,filename,levensthein_distance_char,levensthein_distance_words,hamming_distance,wer,cer,wacc,wer_hunt,mer,cil,cip,hits,substitutions,deletions,insertions,Length_reference,Length_prediction
0,197.xml,7,6,Ø,9.67,2.09,90.32,9.67,2.08,3.84,96.15,328,6,0,1,334,335
1,24.xml,3,3,3,2.27,0.4,97.72,2.27,0.4,0.81,99.18,730,3,0,0,733,733
2,187.xml,1,1,1,1.88,0.32,98.11,1.88,0.32,0.64,99.35,308,1,0,0,309,309
3,13982576.xml,45,47,Ø,23.73,3.43,76.26,22.22,3.41,5.21,94.78,1271,24,14,7,1309,1302
4,2012948.xml,12,13,Ø,6.16,0.86,93.83,5.68,0.86,1.22,98.77,1379,5,5,2,1389,1386
5,9_33729_default.xml,37,30,Ø,15.46,2.79,84.53,14.94,2.79,4.13,95.86,1289,18,18,1,1325,1308
6,45_4c823_default.xml,29,28,Ø,15.73,2.18,84.26,14.32,2.18,3.15,96.84,1301,13,13,3,1327,1317
8,45.xml,30,18,Ø,14.06,4.39,85.93,13.67,4.3,6.27,93.72,667,14,1,15,682,696
9,189.xml,1,1,1,1.85,0.29,98.14,1.85,0.29,0.59,99.4,334,1,0,0,335,335
10,21301657.xml,109,64,Ø,18.49,4.61,81.5,17.48,4.59,7.77,92.22,2263,78,21,10,2362,2351
12,Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_16.xml,6,6,Ø,2.76,0.43,97.23,2.76,0.43,0.72,99.27,1367,4,2,0,1373,1371
13,66.xml,4,3,Ø,4.05,0.95,95.94,4.05,0.94,1.18,98.81,418,1,2,1,421,420
14,2012920.xml,32,24,Ø,11.0,2.29,88.99,9.63,2.28,3.69,96.3,1370,20,7,5,1397,1395
16,33.xml,7,7,Ø,5.64,1.06,94.35,5.24,1.06,1.66,98.33,653,4,2,1,659,658
19,19.xml,13,9,Ø,6.71,1.74,93.28,6.71,1.73,2.92,97.07,735,9,0,4,744,748
20,2012897.xml,11,9,Ø,5.55,0.97,94.44,5.55,0.97,1.33,98.66,1115,4,5,2,1124,1121
21,213.xml,5,4,Ø,7.14,1.44,92.85,7.14,1.44,2.01,97.98,342,2,1,2,345,346
22,234.xml,30,21,Ø,11.29,2.92,88.7,11.29,2.9,5.08,94.91,1002,23,0,7,1025,1032
23,2012984.xml,21,29,Ø,12.94,1.38,87.05,10.26,1.37,1.82,98.17,1509,7,1,13,1517,1529
24,2012990.xml,20,21,Ø,9.01,1.35,90.98,7.72,1.34,1.68,98.31,1465,5,8,7,1478,1477
25,2012904.xml,9,9,Ø,5.29,0.78,94.7,5.29,0.78,1.3,98.69,1135,6,3,0,1144,1141
26,0_cbb1c_default.xml,158,39,Ø,35.13,20.28,64.86,31.98,20.02,34.47,65.52,631,139,9,10,779,780
27,page_00469.xml,10,10,Ø,7.46,1.12,92.53,7.46,1.12,1.68,98.31,877,5,3,2,885,884
28,2013217.xml,34,32,Ø,14.15,2.4,85.84,12.61,2.4,3.24,96.75,1382,12,17,5,1411,1399
29,page_010.xml,29,27,Ø,22.13,3.75,77.86,19.67,3.72,5.37,94.62,749,13,11,5,773,767
30,12.xml,13,11,Ø,7.18,1.49,92.81,7.18,1.49,2.06,97.93,859,5,6,2,870,866
31,2012894.xml,70,16,Ø,8.51,5.97,91.48,7.97,5.96,10.89,89.1,1103,61,7,2,1171,1166
32,42_95d1a_default.xml,36,29,Ø,14.35,2.66,85.64,13.36,2.65,4.18,95.81,1319,21,11,4,1351,1344
33,2012971.xml,25,19,Ø,9.74,1.92,90.25,8.46,1.91,3.13,96.86,1279,16,5,4,1300,1299
34,Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_15.xml,11,10,Ø,4.97,0.8,95.02,4.97,0.8,1.17,98.82,1348,5,6,0,1359,1353
35,2012888.xml,44,14,Ø,7.9,3.88,92.09,7.62,3.86,6.85,93.14,1093,35,5,4,1133,1132
36,Epitaphiorum_ac_tumulorum_libellus_quibus_Des_Erasmi_Roterodami_mors_defletur.pdf_page_25.xml,6,6,Ø,3.65,0.56,96.34,3.65,0.56,0.85,99.14,1049,3,3,0,1055,1052
37,Herbarum_1530.xml,41,30,Ø,19.86,4.24,80.13,18.21,4.22,7.03,92.96,929,28,9,4,966,961
38,83_5edd8_default.xml,35,23,Ø,12.63,3.0,87.36,11.26,2.97,4.56,95.43,1142,19,5,11,1166,1172
39,9_989dd_default.xml,5,5,215,4.38,0.64,95.61,3.94,0.64,1.02,98.97,773,3,1,1,777,777
40,227.xml,13,10,Ø,8.92,2.07,91.07,8.92,2.06,3.47,96.52,616,9,1,3,626,628
41,page_108.xml,15,19,Ø,14.84,1.86,85.15,12.89,1.86,2.6,97.39,789,6,9,0,804,795
43,2012909.xml,84,68,Ø,41.21,7.98,58.78,33.93,7.8,11.66,88.33,992,43,17,24,1052,1059
44,113.xml,8,8,Ø,12.9,2.35,87.09,12.9,2.34,4.07,95.92,333,6,0,2,339,341
46,2012906.xml,10,11,Ø,6.91,0.9,93.08,6.28,0.89,1.25,98.74,1103,4,4,2,1111,1109
47,37_05f5f_default.xml,33,37,Ø,19.17,2.51,80.82,17.35,2.51,3.64,96.35,1281,15,17,1,1313,1297
48,91_07954_default.xml,2,3,Ø,18.75,2.06,81.25,15.62,2.06,3.08,96.91,95,1,1,0,97,96
49,19_a979a_default.xml,10,12,Ø,8.57,1.16,91.42,7.85,1.16,1.73,98.26,851,5,3,2,859,858
50,86.xml,30,20,Ø,15.38,4.03,84.61,15.0,3.97,6.17,93.82,725,17,1,12,743,754
51,2012962.xml,20,10,898,4.44,1.34,95.55,3.77,1.34,2.27,97.72,1472,14,3,3,1489,1489
53,2012986.xml,17,22,Ø,9.32,1.14,90.67,7.62,1.13,1.47,98.52,1479,5,5,7,1489,1491
54,25.xml,10,7,Ø,5.26,1.4,94.73,5.26,1.39,2.5,97.49,705,8,0,2,713,715
55,209.xml,4,4,Ø,6.55,1.15,93.44,6.55,1.15,2.01,97.98,342,3,0,1,345,346
56,3_e7096_default.xml,14,13,Ø,8.44,1.38,91.55,7.46,1.37,1.77,98.22,1002,4,7,3,1013,1009
